instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j102_2	7	29.000	29.000	0.000	22	9.936	218.812
j102_4	7	28.000	25.000	0.107	108	32.619	3600.000
j102_5	7	22.000	17.000	0.227	104	33.863	3600.000
j102_6	7	26.000	26.000	0.000	79	34.243	2705.546
j102_7	7	42.000	37.000	0.119	101	34.861	3600.000
j102_9	7	27.000	26.000	0.037	83	42.674	3600.000
j102_10	7	40.000	29.000	0.275	168	21.237	3600.000
j103_2	7	20.000	20.000	0.000	129	6.403	826.207
j103_3	7	29.000	22.000	0.241	216	16.577	3600.000
j103_4	7	36.000	36.000	0.000	127	13.993	1777.314
j103_5	7	32.000	31.000	0.031	200	17.875	3600.000
j103_6	7	46.000	35.000	0.239	53	66.228	3600.000
j103_7	7	22.000	22.000	0.000	182	3.305	601.708
j103_8	7	37.000	29.000	0.216	119	29.880	3600.000
j103_9	7	32.000	32.000	0.000	136	7.155	973.313
j103_10	7	25.000	25.000	0.000	119	4.468	531.807
j104_1	7	43.000	35.000	0.186	147	23.931	3600.000
j104_2	7	32.000	26.000	0.187	117	29.967	3600.000
j104_3	7	37.000	37.000	0.000	252	11.659	2938.264
j104_4	7	22.000	19.000	0.136	156	22.772	3600.000
j104_5	7	49.000	36.000	0.265	309	11.574	3600.000
j104_6	7	34.000	31.000	0.088	247	14.419	3600.000
j104_8	7	30.000	25.000	0.167	86	41.230	3600.000
j104_9	7	33.000	33.000	0.000	121	15.296	1851.026
j104_10	7	24.000	24.000	0.000	46	7.198	331.242
j105_1	7	53.000	40.000	0.245	416	8.610	3600.000
j105_3	7	20.000	20.000	0.000	59	0.514	30.452
j105_4	7	22.000	19.000	0.136	249	14.388	3600.000
j105_6	7	27.000	27.000	0.000	69	1.231	85.181
j105_8	7	33.000	26.000	0.212	118	30.127	3600.000
j105_10	7	25.000	23.000	0.080	110	32.400	3600.000
j106_1	7	27.000	27.000	0.000	261	10.503	2741.347
