instance	Gamma	objval	objbound	gap	runtime
j102_2	10	29.000	29.000	0.000	7.007
j102_4	10	28.000	28.000	0.000	9.688
j102_5	10	22.000	22.000	0.000	24.057
j102_6	10	26.000	26.000	0.000	18.929
j102_7	10	42.000	42.000	0.000	7.607
j102_9	10	27.000	27.000	0.000	8.626
j102_10	10	40.000	40.000	0.000	44.264
j103_2	10	20.000	20.000	0.000	8.813
j103_3	10	29.000	29.000	0.000	25.420
j103_4	10	36.000	36.000	0.000	8.036
j103_5	10	32.000	32.000	0.000	21.378
j103_6	10	46.000	46.000	0.000	38.835
j103_7	10	22.000	22.000	0.000	4.240
j103_8	10	37.000	37.000	0.000	20.617
j103_9	10	32.000	32.000	0.000	16.071
j103_10	10	25.000	25.000	0.000	3.857
j104_1	10	43.000	43.000	0.000	4.972
j104_2	10	32.000	32.000	0.000	22.568
j104_3	10	37.000	37.000	0.000	21.606
j104_4	10	22.000	22.000	0.000	15.293
j104_5	10	49.000	49.000	0.000	33.068
j104_6	10	34.000	34.000	0.000	5.775
j104_8	10	30.000	30.000	0.000	31.852
j104_9	10	33.000	33.000	0.000	12.120
j104_10	10	24.000	24.000	0.000	3.092
j105_1	10	53.000	53.000	0.000	26.635
j105_3	10	20.000	20.000	0.000	0.751
j105_4	10	22.000	22.000	0.000	19.282
j105_6	10	27.000	27.000	0.000	2.613
j105_8	10	33.000	33.000	0.000	46.505
j105_10	10	25.000	25.000	0.000	9.113
j106_1	10	27.000	27.000	0.000	5.538
j106_3	10	36.000	36.000	0.000	5.169
j106_4	10	29.000	29.000	0.000	19.771
j106_5	10	57.000	57.000	0.000	31.401
j106_7	10	32.000	32.000	0.000	19.622
j106_8	10	29.000	29.000	0.000	12.180
j107_1	10	20.000	20.000	0.000	3.829
j107_2	10	35.000	35.000	0.000	28.313
j107_3	10	34.000	34.000	0.000	19.998
j107_4	10	24.000	24.000	0.000	3.070
j107_5	10	39.000	39.000	0.000	17.194
j107_6	10	59.000	59.000	0.000	51.094
j107_8	10	50.000	50.000	0.000	37.489
j107_9	10	46.000	46.000	0.000	30.004
j108_3	10	27.000	27.000	0.000	6.223
j108_5	10	40.000	40.000	0.000	8.718
j108_6	10	36.000	36.000	0.000	24.143
j108_7	10	32.000	32.000	0.000	12.235
j108_8	10	21.000	21.000	0.000	6.672
j108_10	10	36.000	36.000	0.000	28.550
j1010_1	10	26.000	26.000	0.000	2.202
j1010_2	10	35.000	35.000	0.000	2.290
j1010_3	10	32.000	32.000	0.000	2.746
j1010_4	10	24.000	24.000	0.000	1.047
j1010_5	10	34.000	34.000	0.000	0.825
j1010_6	10	20.000	20.000	0.000	9.796
