instance	Gamma	objval	objbound	gap	runtime
j102_2	5	29.000	29.000	0.000	4.170
j102_4	5	28.000	28.000	0.000	6.033
j102_5	5	22.000	22.000	0.000	9.830
j102_6	5	26.000	26.000	0.000	12.283
j102_7	5	42.000	42.000	0.000	4.046
j102_9	5	27.000	27.000	0.000	11.057
j102_10	5	40.000	40.000	0.000	41.900
j103_2	5	20.000	20.000	0.000	3.878
j103_3	5	29.000	29.000	0.000	9.858
j103_4	5	36.000	36.000	0.000	4.083
j103_5	5	32.000	32.000	0.000	7.815
j103_6	5	46.000	46.000	0.000	28.110
j103_7	5	22.000	22.000	0.000	1.440
j103_8	5	37.000	37.000	0.000	18.869
j103_9	5	32.000	32.000	0.000	5.133
j103_10	5	25.000	25.000	0.000	1.907
j104_1	5	43.000	43.000	0.000	5.317
j104_2	5	32.000	32.000	0.000	9.226
j104_3	5	37.000	37.000	0.000	3.628
j104_4	5	22.000	22.000	0.000	5.535
j104_5	5	49.000	49.000	0.000	10.119
j104_6	5	34.000	34.000	0.000	2.107
j104_8	5	30.000	30.000	0.000	13.033
j104_9	5	33.000	33.000	0.000	12.398
j104_10	5	24.000	24.000	0.000	1.742
j105_1	5	52.000	52.000	0.000	8.067
j105_3	5	20.000	20.000	0.000	0.265
j105_4	5	22.000	22.000	0.000	6.181
j105_6	5	27.000	27.000	0.000	1.338
j105_8	5	33.000	33.000	0.000	16.256
j105_10	5	25.000	25.000	0.000	2.878
j106_1	5	27.000	27.000	0.000	2.514
j106_3	5	36.000	36.000	0.000	2.632
j106_4	5	29.000	29.000	0.000	8.184
j106_5	5	55.000	55.000	0.000	16.812
j106_7	5	32.000	32.000	0.000	8.624
j106_8	5	29.000	29.000	0.000	8.055
j107_1	5	20.000	20.000	0.000	2.752
j107_2	5	35.000	35.000	0.000	10.132
j107_3	5	34.000	34.000	0.000	6.686
j107_4	5	24.000	24.000	0.000	1.271
j107_5	5	39.000	39.000	0.000	8.562
j107_6	5	57.000	57.000	0.000	20.172
j107_8	5	49.000	49.000	0.000	14.033
j107_9	5	46.000	46.000	0.000	11.875
j108_3	5	27.000	27.000	0.000	2.844
j108_5	5	40.000	40.000	0.000	10.385
j108_6	5	36.000	36.000	0.000	8.031
j108_7	5	32.000	32.000	0.000	18.729
j108_8	5	21.000	21.000	0.000	2.330
j108_10	5	36.000	36.000	0.000	12.806
j1010_1	5	26.000	26.000	0.000	1.417
j1010_2	5	35.000	35.000	0.000	0.847
j1010_3	5	32.000	32.000	0.000	0.613
j1010_4	5	24.000	24.000	0.000	1.107
j1010_5	5	34.000	34.000	0.000	0.309
j1010_6	5	20.000	20.000	0.000	2.226
j1010_7	5	20.000	20.000	0.000	0.489
j1010_8	5	18.000	18.000	0.000	2.063
j1010_9	5	15.000	15.000	0.000	1.589
j1010_10	5	20.000	20.000	0.000	1.204
j1011_1	5	31.000	31.000	0.000	1.147
j1011_2	5	16.000	16.000	0.000	0.476
j1011_3	5	19.000	19.000	0.000	0.633
j1011_4	5	38.000	38.000	0.000	0.819
j1011_5	5	24.000	24.000	0.000	0.811
j1011_6	5	23.000	23.000	0.000	0.941
j1011_7	5	17.000	17.000	0.000	1.138
j1011_8	5	23.000	23.000	0.000	1.426
j1011_9	5	24.000	24.000	0.000	0.398
j1011_10	5	33.000	33.000	0.000	0.595
j1012_1	5	25.000	25.000	0.000	1.789
j1012_2	5	24.000	24.000	0.000	0.852
j1012_3	5	25.000	25.000	0.000	2.297
j1012_4	5	27.000	27.000	0.000	0.521
j1012_5	5	21.000	21.000	0.000	0.658
j1012_6	5	35.000	35.000	0.000	1.604
j1012_7	5	19.000	19.000	0.000	1.388
j1012_8	5	30.000	30.000	0.000	0.476
j1012_9	5	33.000	33.000	0.000	0.598
j1012_10	5	14.000	14.000	0.000	0.383
j1013_1	5	25.000	25.000	0.000	0.744
j1013_2	5	28.000	28.000	0.000	0.577
j1013_3	5	27.000	27.000	0.000	1.548
j1013_4	5	31.000	31.000	0.000	0.822
j1013_5	5	16.000	16.000	0.000	1.152
j1013_6	5	28.000	28.000	0.000	0.917
j1013_7	5	19.000	19.000	0.000	0.217
j1013_8	5	15.000	15.000	0.000	0.504
j1013_9	5	23.000	23.000	0.000	0.531
j1013_10	5	20.000	20.000	0.000	0.693
j1014_1	5	21.000	21.000	0.000	0.359
j1014_2	5	22.000	22.000	0.000	0.504
j1014_3	5	30.000	30.000	0.000	0.903
j1014_4	5	27.000	27.000	0.000	1.421
j1014_5	5	30.000	30.000	0.000	0.681
j1014_6	5	23.000	23.000	0.000	2.491
j1014_7	5	24.000	24.000	0.000	1.191
j1014_8	5	30.000	30.000	0.000	1.006
j1014_9	5	32.000	32.000	0.000	0.647
j1014_10	5	14.000	14.000	0.000	0.799
j1015_1	5	20.000	20.000	0.000	1.781
j1015_2	5	39.000	39.000	0.000	1.027
j1015_3	5	23.000	23.000	0.000	1.053
j1015_4	5	16.000	16.000	0.000	0.376
j1015_5	5	10.000	10.000	0.000	0.621
j1015_6	5	30.000	30.000	0.000	1.932
j1015_7	5	13.000	13.000	0.000	0.441
j1015_8	5	16.000	16.000	0.000	0.917
j1015_9	5	21.000	21.000	0.000	2.410
j1015_10	5	27.000	27.000	0.000	1.396
j1016_1	5	21.000	21.000	0.000	0.788
j1016_2	5	27.000	27.000	0.000	0.224
j1016_3	5	18.000	18.000	0.000	0.488
j1016_4	5	33.000	33.000	0.000	0.437
j1016_5	5	40.000	40.000	0.000	0.352
j1016_6	5	33.000	33.000	0.000	2.623
j1016_7	5	19.000	19.000	0.000	0.241
j1016_8	5	13.000	13.000	0.000	1.276
j1016_9	5	25.000	25.000	0.000	1.466
j1016_10	5	42.000	42.000	0.000	1.323
j1018_1	5	21.000	21.000	0.000	0.825
j1018_2	5	24.000	24.000	0.000	1.201
j1018_3	5	25.000	25.000	0.000	1.165
j1018_4	5	28.000	28.000	0.000	0.419
j1018_5	5	20.000	20.000	0.000	0.806
j1018_6	5	24.000	24.000	0.000	0.429
j1018_7	5	19.000	19.000	0.000	0.396
j1018_8	5	25.000	25.000	0.000	0.218
j1018_9	5	21.000	21.000	0.000	0.236
j1018_10	5	23.000	23.000	0.000	0.400
j1019_1	5	21.000	21.000	0.000	1.514
j1019_2	5	24.000	24.000	0.000	0.198
j1019_3	5	26.000	26.000	0.000	1.405
j1019_4	5	24.000	24.000	0.000	1.368
j1019_5	5	20.000	20.000	0.000	0.313
j1019_6	5	26.000	26.000	0.000	0.315
j1019_7	5	22.000	22.000	0.000	1.026
j1019_8	5	22.000	22.000	0.000	0.480
j1019_9	5	18.000	18.000	0.000	0.850
j1019_10	5	16.000	16.000	0.000	0.469
j1020_1	5	18.000	18.000	0.000	0.434
j1020_2	5	28.000	28.000	0.000	0.735
j1020_3	5	34.000	34.000	0.000	0.406
j1020_4	5	27.000	27.000	0.000	0.428
j1020_5	5	19.000	19.000	0.000	0.515
j1020_6	5	31.000	31.000	0.000	0.566
j1020_8	5	18.000	18.000	0.000	0.644
j1020_9	5	14.000	14.000	0.000	0.427
j1020_10	5	16.000	16.000	0.000	0.383
j1021_1	5	27.000	27.000	0.000	0.319
j1021_2	5	19.000	19.000	0.000	0.171
j1021_3	5	42.000	42.000	0.000	0.456
j1021_4	5	18.000	18.000	0.000	0.947
j1021_5	5	37.000	37.000	0.000	0.262
j1021_6	5	21.000	21.000	0.000	0.318
j1021_7	5	17.000	17.000	0.000	0.427
j1021_8	5	19.000	19.000	0.000	0.996
j1021_9	5	19.000	19.000	0.000	1.573
j1021_10	5	25.000	25.000	0.000	1.010
j1022_1	5	28.000	28.000	0.000	1.597
j1022_2	5	16.000	16.000	0.000	0.396
j1022_3	5	31.000	31.000	0.000	0.663
j1022_4	5	21.000	21.000	0.000	0.709
j1022_5	5	19.000	19.000	0.000	0.230
j1022_6	5	24.000	24.000	0.000	0.409
j1022_7	5	12.000	12.000	0.000	0.304
j1022_8	5	27.000	27.000	0.000	1.139
j1022_9	5	29.000	29.000	0.000	0.786
j1022_10	5	26.000	26.000	0.000	0.458
j1023_1	5	21.000	21.000	0.000	0.762
j1023_2	5	23.000	23.000	0.000	0.214
j1023_3	5	25.000	25.000	0.000	0.465
j1023_4	5	24.000	24.000	0.000	0.431
j1023_5	5	23.000	23.000	0.000	0.456
j1023_6	5	28.000	28.000	0.000	1.049
j1023_8	5	29.000	29.000	0.000	1.158
j1023_9	5	17.000	17.000	0.000	0.367
j1023_10	5	24.000	24.000	0.000	0.150
j1024_1	5	11.000	11.000	0.000	0.437
j1024_2	5	22.000	22.000	0.000	0.223
j1024_3	5	16.000	16.000	0.000	0.228
j1024_4	5	23.000	23.000	0.000	1.285
j1024_5	5	22.000	22.000	0.000	0.317
j1024_6	5	26.000	26.000	0.000	0.840
j1024_7	5	27.000	27.000	0.000	0.432
j1024_8	5	40.000	40.000	0.000	0.481
j1024_9	5	16.000	16.000	0.000	0.451
j1024_10	5	24.000	24.000	0.000	0.478
j1026_1	5	22.000	22.000	0.000	0.381
j1026_2	5	16.000	16.000	0.000	0.296
j1026_3	5	26.000	26.000	0.000	0.220
j1026_4	5	22.000	22.000	0.000	0.484
j1026_5	5	27.000	27.000	0.000	0.258
j1026_6	5	28.000	28.000	0.000	0.561
j1026_7	5	22.000	22.000	0.000	0.312
j1026_8	5	24.000	24.000	0.000	0.502
j1026_9	5	18.000	18.000	0.000	0.269
