instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j102_2	5	29.000	29.000	0.000	21	12.200	256.589
j102_4	5	28.000	25.000	0.107	98	36.217	3600.000
j102_5	5	22.000	17.000	0.227	90	39.337	3600.000
j102_6	5	26.000	26.000	0.000	81	36.661	2969.906
j102_7	5	42.000	35.000	0.167	88	39.603	3600.000
j102_9	5	27.000	27.000	0.000	63	41.279	2600.918
j102_10	5	40.000	29.000	0.275	165	21.536	3600.000
j103_2	5	20.000	20.000	0.000	125	9.191	1149.353
j103_3	5	29.000	22.000	0.241	175	20.278	3600.000
j103_4	5	36.000	36.000	0.000	132	21.911	2892.600
j103_5	5	32.000	30.000	0.062	152	23.215	3600.000
j103_6	5	46.000	32.000	0.304	50	69.888	3600.000
j103_7	5	22.000	22.000	0.000	174	4.994	869.329
j103_8	5	37.000	28.000	0.243	84	42.144	3600.000
j103_9	5	32.000	32.000	0.000	125	10.516	1314.919
j103_10	5	25.000	25.000	0.000	113	6.738	761.789
j104_1	5	43.000	34.000	0.209	121	29.140	3600.000
j104_2	5	32.000	26.000	0.188	97	36.704	3600.000
j104_3	5	37.000	35.000	0.054	222	15.937	3600.000
j104_4	5	22.000	18.000	0.182	103	33.569	3600.000
j104_5	5	49.000	35.000	0.286	211	16.751	3600.000
j104_6	5	34.000	32.000	0.059	216	16.508	3600.000
j104_8	5	30.000	25.000	0.167	60	58.898	3600.000
j104_9	5	33.000	33.000	0.000	123	27.237	3350.478
j104_10	5	24.000	24.000	0.000	50	11.171	558.916
j105_1	5	52.000	39.000	0.250	268	13.358	3600.000
j105_3	5	20.000	20.000	0.000	62	0.934	58.287
j105_4	5	22.000	19.000	0.136	188	18.741	3600.000
j105_6	5	27.000	27.000	0.000	69	1.898	131.310
j105_8	5	33.000	26.000	0.212	114	31.116	3600.000
j105_10	5	25.000	23.000	0.080	100	35.311	3600.000
j106_1	5	27.000	27.000	0.000	228	10.399	2371.335
j106_3	5	36.000	33.000	0.083	112	31.776	3600.000
j106_4	5	29.000	23.000	0.207	228	15.601	3600.000
j106_5	5	55.000	42.000	0.236	132	26.974	3600.000
j106_7	5	32.000	24.000	0.250	71	49.552	3600.000
j106_8	5	29.000	25.000	0.138	145	24.619	3600.000
j107_1	5	20.000	20.000	0.000	118	11.583	1367.211
j107_2	5	35.000	35.000	0.000	55	12.139	668.070
j107_3	5	34.000	34.000	0.000	97	18.510	1795.933
j107_4	5	24.000	24.000	0.000	75	5.448	408.952
j107_5	5	39.000	39.000	0.000	32	7.092	227.278
j107_6	5	57.000	38.000	0.333	113	31.229	3600.000
j107_8	5	49.000	42.000	0.143	93	37.610	3600.000
j107_9	5	46.000	46.000	0.000	15	27.773	417.020
j108_3	5	27.000	27.000	0.000	166	10.353	1719.047
j108_5	5	40.000	40.000	0.000	32	8.582	275.056
j108_6	5	36.000	33.000	0.083	182	19.508	3600.000
j108_7	5	32.000	26.000	0.188	116	30.675	3600.000
j108_8	5	21.000	21.000	0.000	33	8.279	273.648
j108_10	5	36.000	35.000	0.028	133	26.708	3600.000
j1010_1	5	26.000	26.000	0.000	55	1.624	89.755
j1010_2	5	35.000	35.000	0.000	171	1.810	309.869
j1010_3	5	32.000	32.000	0.000	269	1.775	477.980
j1010_4	5	24.000	24.000	0.000	43	7.955	342.473
j1010_5	5	34.000	34.000	0.000	173	4.647	804.312
j1010_6	5	20.000	20.000	0.000	44	7.140	314.592
j1010_7	5	20.000	20.000	0.000	12	0.978	12.153
j1010_8	5	18.000	18.000	0.000	76	6.903	524.994
j1010_9	5	15.000	15.000	0.000	54	2.993	162.041
j1010_10	5	20.000	20.000	0.000	53	9.143	485.007
j1011_1	5	31.000	31.000	0.000	222	1.331	295.931
j1011_2	5	16.000	16.000	0.000	25	0.855	21.807
j1011_3	5	19.000	19.000	0.000	21	0.839	18.014
j1011_4	5	38.000	38.000	0.000	222	4.733	1051.138
j1011_5	5	24.000	24.000	0.000	77	1.363	105.332
j1011_6	5	23.000	23.000	0.000	69	1.670	115.674
j1011_7	5	17.000	17.000	0.000	38	1.499	57.381
j1011_8	5	23.000	23.000	0.000	53	2.388	126.974
j1011_9	5	24.000	24.000	0.000	89	1.538	137.313
j1011_10	5	33.000	33.000	0.000	141	1.684	237.901
j1012_1	5	25.000	25.000	0.000	48	1.155	55.833
j1012_2	5	24.000	24.000	0.000	14	0.949	13.657
j1012_3	5	25.000	25.000	0.000	96	5.671	544.738
j1012_4	5	27.000	27.000	0.000	59	1.172	69.523
j1012_5	5	21.000	21.000	0.000	32	4.565	146.504
j1012_6	5	35.000	29.000	0.171	287	12.280	3600.000
j1012_7	5	19.000	19.000	0.000	56	2.095	117.699
j1012_8	5	30.000	30.000	0.000	73	0.774	56.895
j1012_9	5	33.000	33.000	0.000	108	1.478	159.942
j1012_10	5	14.000	14.000	0.000	3	0.545	1.997
j1013_1	5	25.000	25.000	0.000	67	1.421	95.558
j1013_2	5	28.000	28.000	0.000	30	3.278	98.686
j1013_3	5	27.000	27.000	0.000	58	1.193	69.593
j1013_4	5	31.000	31.000	0.000	82	1.248	102.808
j1013_5	5	16.000	16.000	0.000	61	2.571	157.300
j1013_6	5	28.000	27.000	0.036	172	20.674	3600.000
j1013_7	5	19.000	19.000	0.000	30	0.977	29.714
j1013_8	5	15.000	15.000	0.000	5	0.546	3.087
j1013_9	5	23.000	23.000	0.000	58	1.055	61.532
j1013_10	5	20.000	20.000	0.000	25	1.793	45.180
j1014_1	5	21.000	21.000	0.000	13	0.813	11.033
j1014_2	5	22.000	22.000	0.000	26	1.071	28.271
j1014_3	5	30.000	30.000	0.000	142	17.602	2499.862
j1014_4	5	27.000	27.000	0.000	131	5.373	704.274
j1014_5	5	30.000	30.000	0.000	74	1.151	85.629
j1014_6	5	23.000	23.000	0.000	229	10.997	2518.670
j1014_7	5	24.000	24.000	0.000	55	1.508	83.384
j1014_8	5	30.000	30.000	0.000	137	2.049	281.233
j1014_9	5	32.000	32.000	0.000	118	1.293	152.932
j1014_10	5	14.000	14.000	0.000	13	0.818	11.034
j1015_1	5	20.000	20.000	0.000	19	1.109	21.425
j1015_2	5	39.000	39.000	0.000	552	5.402	2982.108
j1015_3	5	23.000	23.000	0.000	184	5.596	1030.082
j1015_4	5	16.000	16.000	0.000	7	0.746	5.640
j1015_5	5	10.000	10.000	0.000	9	0.529	5.104
j1015_6	5	30.000	26.000	0.133	124	28.658	3600.000
j1015_7	5	13.000	13.000	0.000	9	1.443	13.357
j1015_8	5	16.000	16.000	0.000	15	0.846	13.027
j1015_9	5	21.000	21.000	0.000	94	5.001	470.506
j1015_10	5	27.000	27.000	0.000	151	1.776	268.594
j1016_1	5	21.000	21.000	0.000	12	0.856	10.613
j1016_2	5	27.000	27.000	0.000	32	1.425	46.118
j1016_3	5	18.000	18.000	0.000	68	1.527	104.266
j1016_4	5	33.000	33.000	0.000	312	3.680	1148.630
j1016_5	5	40.000	40.000	0.000	100	2.070	207.415
j1016_6	5	33.000	33.000	0.000	69	19.378	1337.512
j1016_7	5	19.000	19.000	0.000	28	1.469	41.568
j1016_8	5	13.000	13.000	0.000	55	4.181	230.358
j1016_9	5	25.000	25.000	0.000	65	1.613	105.277
j1016_10	5	42.000	42.000	0.000	97	1.213	118.124
j1018_1	5	21.000	21.000	0.000	72	1.748	126.312
j1018_2	5	24.000	24.000	0.000	122	5.178	632.184
j1018_3	5	25.000	25.000	0.000	27	1.339	36.473
j1018_4	5	28.000	28.000	0.000	60	1.844	111.055
j1018_5	5	20.000	20.000	0.000	66	0.998	66.205
j1018_6	5	24.000	24.000	0.000	50	1.066	53.765
j1018_7	5	19.000	19.000	0.000	18	0.915	16.866
j1018_8	5	25.000	25.000	0.000	36	0.994	36.302
j1018_9	5	21.000	21.000	0.000	53	1.107	59.087
j1018_10	5	23.000	23.000	0.000	15	0.981	15.116
j1019_1	5	21.000	21.000	0.000	16	0.988	16.227
j1019_2	5	24.000	24.000	0.000	49	1.266	62.469
j1019_3	5	26.000	26.000	0.000	63	2.564	161.915
j1019_4	5	24.000	24.000	0.000	52	4.017	209.267
j1019_5	5	20.000	20.000	0.000	16	0.724	11.953
j1019_6	5	26.000	26.000	0.000	94	1.671	157.540
j1019_7	5	22.000	22.000	0.000	28	0.723	20.575
j1019_8	5	22.000	22.000	0.000	67	1.804	121.171
j1019_9	5	18.000	18.000	0.000	138	8.021	1107.251
j1019_10	5	16.000	16.000	0.000	11	0.584	6.845
j1020_1	5	18.000	18.000	0.000	15	0.623	9.751
j1020_2	5	28.000	27.000	0.036	133	26.827	3600.000
j1020_3	5	34.000	34.000	0.000	89	1.350	120.561
j1020_4	5	27.000	27.000	0.000	68	1.038	71.037
j1020_5	5	19.000	19.000	0.000	55	1.296	71.714
j1020_6	5	31.000	31.000	0.000	144	1.418	204.629
j1020_8	5	18.000	18.000	0.000	32	1.050	33.935
j1020_9	5	14.000	14.000	0.000	21	0.989	21.106
j1020_10	5	16.000	16.000	0.000	4	0.831	3.737
j1021_1	5	27.000	27.000	0.000	45	0.999	45.313
j1021_2	5	19.000	19.000	0.000	30	1.003	30.494
j1021_3	5	42.000	42.000	0.000	262	1.842	483.084
j1021_4	5	18.000	18.000	0.000	37	1.037	38.750
j1021_5	5	37.000	37.000	0.000	227	1.935	439.615
j1021_6	5	21.000	21.000	0.000	93	1.572	146.587
j1021_7	5	17.000	17.000	0.000	26	1.003	26.498
j1021_8	5	19.000	19.000	0.000	50	2.611	130.923
j1021_9	5	19.000	19.000	0.000	105	7.527	790.628
j1021_10	5	25.000	25.000	0.000	57	1.995	114.099
j1022_1	5	28.000	28.000	0.000	79	3.644	288.253
j1022_2	5	16.000	16.000	0.000	46	1.302	60.298
j1022_3	5	31.000	31.000	0.000	69	1.049	72.791
