instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j203_2	5	29.000	29.000	0.000	92	2.455	226.667
j203_5	5	19.000	19.000	0.000	61	0.658	40.559
j205_7	5	inf	-inf	nan	0	inf	7200.000
j206_3	5	34.000	24.000	0.294	121	58.273	7200.000
j207_3	5	35.000	35.000	0.000	379	2.577	977.270
j209_1	5	44.000	31.000	0.295	56	123.290	7200.000
j209_2	5	33.000	24.000	0.273	64	108.246	7200.000
j209_3	5	32.000	23.000	0.281	14	364.661	7200.000
j209_5	5	52.000	37.000	0.288	48	143.037	7200.000
j209_6	5	38.000	28.000	0.263	53	131.570	7200.000
j209_7	5	44.000	32.000	0.273	109	65.219	7200.000
j209_8	5	26.000	20.000	0.231	109	64.888	7200.000
j209_9	5	30.000	26.000	0.133	535	13.413	7200.000
j209_10	5	33.000	25.000	0.242	135	52.879	7200.000
j2010_1	5	27.000	27.000	0.000	345	1.524	526.547
j2010_2	5	37.000	37.000	0.000	364	1.344	489.677
j2010_3	5	31.000	31.000	0.000	418	4.295	1795.613
j2010_4	5	29.000	29.000	0.000	234	0.885	207.395
j2010_5	5	33.000	32.000	0.030	852	8.431	7200.000
j2010_6	5	40.000	29.000	0.275	137	51.890	7200.000
j2010_7	5	34.000	34.000	0.000	508	1.937	984.486
j2010_8	5	27.000	27.000	0.000	58	1.665	97.010
j2010_9	5	31.000	27.000	0.129	199	35.456	7200.000
j2010_10	5	42.000	42.000	0.000	1135	4.786	5432.150
j2011_1	5	33.000	33.000	0.000	156	0.810	126.707
j2011_2	5	27.000	27.000	0.000	101	1.759	178.078
j2011_3	5	39.000	39.000	0.000	458	2.783	1275.061
j2011_4	5	46.000	33.000	0.283	258	27.599	7200.000
j2011_5	5	34.000	34.000	0.000	582	2.534	1475.301
j2011_6	5	50.000	50.000	0.000	266	1.155	307.491
j2011_7	5	36.000	36.000	0.000	231	1.621	374.738
j2011_8	5	29.000	29.000	0.000	204	0.867	177.298
j2011_9	5	31.000	31.000	0.000	174	0.586	102.441
j2011_10	5	40.000	40.000	0.000	474	1.172	556.171
j2012_1	5	29.000	29.000	0.000	101	0.597	60.745
j2012_2	5	31.000	31.000	0.000	61	0.645	39.835
j2012_3	5	54.000	54.000	0.000	759	1.538	1167.727
j2012_4	5	28.000	28.000	0.000	162	0.641	104.280
j2012_5	5	36.000	36.000	0.000	580	1.071	621.789
j2012_6	5	31.000	31.000	0.000	95	0.794	75.805
j2012_7	5	32.000	32.000	0.000	277	0.683	189.480
j2012_8	5	45.000	45.000	0.000	758	0.869	659.194
j2012_9	5	48.000	48.000	0.000	671	1.341	900.655
j2012_10	5	32.000	32.000	0.000	144	1.319	190.262
j2013_1	5	inf	-inf	nan	0	inf	7200.000
j2013_2	5	inf	-inf	nan	0	inf	7200.000
j2013_3	5	inf	-inf	nan	0	inf	7200.000
j2013_4	5	62.000	39.000	0.371	2	1937.247	7200.000
j2013_5	5	inf	-inf	nan	0	inf	7200.000
j2013_6	5	55.000	37.000	0.327	15	429.552	7200.000
j2013_7	5	inf	-inf	nan	0	inf	7200.000
j2013_8	5	inf	-inf	nan	0	inf	7200.000
j2013_9	5	56.000	36.000	0.357	1	2191.915	7200.000
j2013_10	5	inf	-inf	nan	0	inf	7200.000
j2014_1	5	38.000	25.000	0.342	38	183.254	7200.000
j2014_2	5	38.000	27.000	0.289	123	56.161	7200.000
j2014_3	5	32.000	22.000	0.312	62	111.705	7200.000
j2014_4	5	45.000	28.000	0.378	27	254.141	7200.000
j2014_5	5	45.000	30.000	0.333	18	360.279	7200.000
j2014_6	5	30.000	20.000	0.333	22	311.985	7200.000
j2014_7	5	43.000	34.000	0.209	495	14.483	7200.000
j2014_8	5	40.000	27.000	0.325	2	1769.430	7200.000
j2014_9	5	40.000	27.000	0.325	109	65.138	7200.000
j2014_10	5	38.000	28.000	0.263	416	17.233	7200.000
j2015_1	5	37.000	36.000	0.027	1614	4.456	7200.000
j2015_2	5	38.000	38.000	0.000	222	8.016	1779.888
j2015_3	5	40.000	40.000	0.000	308	3.728	1148.630
j2015_4	5	43.000	43.000	0.000	243	1.601	389.541
j2015_5	5	38.000	35.000	0.079	894	8.029	7200.000
j2015_6	5	30.000	30.000	0.000	319	1.286	410.764
j2015_7	5	43.000	43.000	0.000	264	2.057	543.473
j2015_8	5	35.000	35.000	0.000	291	5.894	1715.371
j2015_9	5	32.000	32.000	0.000	430	3.412	1467.426
j2015_10	5	36.000	36.000	0.000	623	2.674	1666.310
j2016_1	5	37.000	36.000	0.027	1412	5.091	7200.000
j2016_2	5	36.000	36.000	0.000	482	1.099	530.293
j2016_3	5	49.000	49.000	0.000	750	0.676	507.498
j2016_4	5	55.000	49.000	0.109	1990	3.612	7200.000
j2016_5	5	31.000	31.000	0.000	842	4.375	3684.516
j2016_6	5	57.000	49.000	0.140	1811	3.972	7200.000
j2016_7	5	39.000	39.000	0.000	698	0.845	589.898
j2016_8	5	42.000	41.000	0.024	1820	3.951	7200.000
j2016_9	5	29.000	29.000	0.000	69	1.626	112.612
j2016_10	5	58.000	51.000	0.121	1647	4.368	7200.000
j2017_1	5	26.000	19.000	0.269	41	167.594	7200.000
j2017_2	5	54.000	37.000	0.315	8	504.366	7200.000
j2017_3	5	49.000	38.000	0.224	805	8.925	7200.000
j2017_4	5	47.000	34.000	0.277	60	116.366	7200.000
j2017_5	5	28.000	21.000	0.250	21	256.835	7200.000
j2017_6	5	51.000	40.000	0.216	100	71.279	7200.000
j2017_7	5	41.000	30.000	0.268	89	79.659	7200.000
j2017_8	5	44.000	34.000	0.227	82	84.935	7200.000
j2017_9	5	27.000	20.000	0.259	82	85.130	7200.000
j2017_10	5	43.000	30.000	0.302	32	215.530	7200.000
j2018_1	5	48.000	48.000	0.000	656	1.556	1021.257
j2018_2	5	42.000	42.000	0.000	324	0.650	211.043
j2018_3	5	31.000	25.000	0.194	246	28.954	7200.000
j2018_4	5	33.000	26.000	0.212	349	20.463	7200.000
j2018_5	5	36.000	36.000	0.000	108	1.217	132.079
j2018_6	5	34.000	34.000	0.000	259	2.756	714.283
j2018_7	5	38.000	38.000	0.000	996	4.186	4169.202
j2018_8	5	45.000	45.000	0.000	722	3.629	2620.542
j2018_9	5	32.000	32.000	0.000	304	1.461	444.351
j2018_10	5	40.000	36.000	0.100	1477	4.869	7200.000
j2019_1	5	39.000	39.000	0.000	613	1.646	1009.233
j2019_2	5	31.000	31.000	0.000	46	1.309	60.768
j2019_3	5	42.000	42.000	0.000	1153	2.973	3428.543
j2019_4	5	30.000	30.000	0.000	1393	3.874	5397.190
j2019_5	5	35.000	35.000	0.000	717	2.438	1748.504
j2019_6	5	52.000	44.000	0.154	1483	4.846	7200.000
j2019_7	5	45.000	45.000	0.000	1801	3.794	6833.254
j2019_8	5	32.000	32.000	0.000	133	0.746	99.593
j2019_9	5	30.000	30.000	0.000	236	1.199	283.425
j2019_10	5	51.000	41.000	0.196	576	12.455	7200.000
j2020_1	5	38.000	38.000	0.000	424	1.055	447.817
j2020_2	5	44.000	44.000	0.000	1610	2.707	4359.380
j2020_3	5	33.000	33.000	0.000	311	1.200	373.417
j2020_4	5	36.000	36.000	0.000	289	0.718	208.003
j2020_5	5	31.000	31.000	0.000	631	1.474	930.590
j2020_6	5	33.000	33.000	0.000	387	0.823	319.366
j2020_7	5	39.000	39.000	0.000	156	0.594	92.993
j2020_8	5	25.000	25.000	0.000	72	0.645	46.799
j2020_9	5	51.000	51.000	0.000	1101	1.809	1992.554
j2020_10	5	33.000	33.000	0.000	253	1.489	377.207
j2021_1	5	51.000	33.000	0.353	1	3124.247	7200.000
j2021_2	5	inf	-inf	nan	0	inf	7200.000
j2021_3	5	49.000	33.000	0.327	7	881.569	7200.000
j2021_4	5	59.000	42.000	0.288	16	421.726	7200.000
j2021_5	5	inf	-inf	nan	0	inf	7200.000
j2021_6	5	39.000	26.000	0.333	3	1199.361	7200.000
j2021_7	5	47.000	31.000	0.340	1	2160.886	7200.000
j2021_8	5	inf	-inf	nan	0	inf	7200.000
j2021_9	5	inf	-inf	nan	0	inf	7200.000
j2021_10	5	inf	-inf	nan	0	inf	7200.000
j2022_1	5	40.000	38.000	0.050	1196	6.010	7200.000
j2022_2	5	45.000	40.000	0.111	1082	6.642	7200.000
j2022_3	5	37.000	25.000	0.324	17	391.659	7200.000
j2022_4	5	41.000	26.000	0.366	2	1974.555	7200.000
j2022_5	5	inf	-inf	nan	0	inf	7200.000
j2022_6	5	38.000	37.000	0.026	794	9.050	7200.000
j2022_7	5	32.000	22.000	0.313	32	216.260	7200.000
j2022_8	5	52.000	36.000	0.308	54	126.994	7200.000
j2022_9	5	33.000	23.000	0.303	184	38.312	7200.000
j2022_10	5	46.000	46.000	0.000	691	2.516	1738.590
j2023_1	5	39.000	39.000	0.000	495	4.461	2208.824
j2023_2	5	34.000	34.000	0.000	573	3.162	1812.362
j2023_3	5	44.000	44.000	0.000	579	2.846	1647.959
j2023_4	5	37.000	37.000	0.000	921	4.218	3885.193
j2023_5	5	34.000	34.000	0.000	732	7.191	5263.986
j2023_6	5	35.000	25.000	0.286	321	22.353	7200.000
j2023_7	5	29.000	29.000	0.000	426	4.307	1835.143
j2023_8	5	29.000	29.000	0.000	67	1.942	130.499
j2023_9	5	27.000	22.000	0.185	240	29.678	7200.000
j2023_10	5	41.000	41.000	0.000	231	3.526	814.862
j2024_1	5	41.000	41.000	0.000	312	0.878	274.395
j2024_2	5	47.000	46.000	0.021	1520	4.718	7200.000
j2024_3	5	26.000	26.000	0.000	217	2.153	467.613
j2024_4	5	42.000	42.000	0.000	666	2.306	1536.212
j2024_5	5	49.000	46.000	0.061	1623	4.429	7200.000
j2024_6	5	22.000	22.000	0.000	67	1.087	73.239
j2024_7	5	28.000	28.000	0.000	162	1.180	191.605
j2024_8	5	44.000	44.000	0.000	260	2.410	627.181
j2024_9	5	38.000	38.000	0.000	515	1.194	615.210
j2024_10	5	29.000	29.000	0.000	222	0.822	182.809
j2025_1	5	58.000	39.000	0.328	14	474.996	7200.000
j2025_2	5	32.000	23.000	0.281	103	67.742	7200.000
j2025_3	5	32.000	24.000	0.250	94	73.182	7200.000
j2025_4	5	39.000	26.000	0.333	30	220.556	7200.000
j2025_5	5	45.000	32.000	0.289	86	80.655	7200.000
j2025_6	5	38.000	33.000	0.132	977	7.359	7200.000
j2025_7	5	40.000	29.000	0.275	68	103.746	7200.000
j2025_8	5	27.000	21.000	0.222	70	98.791	7200.000
j2025_9	5	36.000	25.000	0.306	16	358.943	7200.000
j2025_10	5	49.000	34.000	0.306	25	276.169	7200.000
j2026_1	5	33.000	33.000	0.000	710	1.772	1258.272
j2026_2	5	32.000	27.000	0.156	239	29.939	7200.000
j2026_3	5	42.000	42.000	0.000	1115	6.394	7130.262
j2026_4	5	34.000	27.000	0.206	191	37.064	7200.000
j2026_5	5	42.000	42.000	0.000	287	2.266	650.706
j2026_6	5	38.000	27.000	0.289	176	40.476	7200.000
j2026_7	5	23.000	19.000	0.174	177	40.021	7200.000
j2026_8	5	47.000	44.000	0.064	1733	4.150	7200.000
j2026_9	5	33.000	29.000	0.121	191	37.352	7200.000
j2026_10	5	65.000	46.000	0.292	44	153.960	7200.000
j2027_1	5	26.000	26.000	0.000	136	0.755	103.489
j2027_2	5	33.000	31.000	0.061	551	13.034	7200.000
j2027_3	5	35.000	35.000	0.000	287	1.029	295.717
j2027_4	5	41.000	41.000	0.000	86	0.791	68.859
j2027_5	5	41.000	41.000	0.000	458	2.740	1255.297
j2027_6	5	34.000	34.000	0.000	219	3.111	681.731
j2027_7	5	42.000	42.000	0.000	83	0.604	50.490
j2027_8	5	33.000	33.000	0.000	402	1.107	445.419
j2027_9	5	33.000	33.000	0.000	591	1.243	735.152
j2027_10	5	33.000	33.000	0.000	255	2.053	523.865
j2028_1	5	34.000	34.000	0.000	214	0.735	157.828
j2028_2	5	36.000	36.000	0.000	709	2.472	1752.850
j2028_3	5	29.000	29.000	0.000	73	0.690	50.785
j2028_4	5	33.000	33.000	0.000	542	2.223	1205.254
j2028_5	5	42.000	42.000	0.000	261	0.864	226.041
j2028_6	5	27.000	27.000	0.000	65	0.964	63.482
j2028_7	5	38.000	35.000	0.079	2283	3.151	7200.000
j2028_8	5	28.000	24.000	0.143	584	12.304	7200.000
j2028_9	5	30.000	30.000	0.000	24	0.393	9.781
j2028_10	5	39.000	39.000	0.000	1275	1.833	2337.984
j2029_1	5	inf	-inf	nan	0	inf	7200.000
j2029_2	5	inf	-inf	nan	0	inf	7200.000
j2029_3	5	inf	-inf	nan	0	inf	7200.000
j2029_4	5	inf	-inf	nan	0	inf	7200.000
j2029_5	5	inf	-inf	nan	0	inf	7200.000
j2029_6	5	inf	-inf	nan	0	inf	7200.000
j2029_7	5	inf	-inf	nan	0	inf	7200.000
j2029_8	5	46.000	30.000	0.348	4	1331.377	7200.000
j2029_9	5	inf	-inf	nan	0	inf	7200.000
j2029_10	5	inf	-inf	nan	0	inf	7200.000
j2030_1	5	42.000	40.000	0.048	1855	3.877	7200.000
j2030_2	5	30.000	19.000	0.367	3	1490.682	7200.000
j2030_3	5	39.000	26.000	0.333	10	609.716	7200.000
j2030_4	5	49.000	49.000	0.000	266	17.098	4548.425
j2030_5	5	42.000	27.000	0.357	2	2108.445	7200.000
j2030_6	5	54.000	40.000	0.259	320	22.288	7200.000
j2030_7	5	53.000	46.000	0.132	638	11.254	7200.000
j2030_8	5	36.000	26.000	0.278	86	80.949	7200.000
j2030_9	5	46.000	31.000	0.326	69	102.078	7200.000
j2030_10	5	43.000	33.000	0.233	146	48.917	7200.000
j2031_1	5	40.000	40.000	0.000	207	2.309	478.505
j2031_2	5	40.000	28.000	0.300	142	50.118	7200.000
j2031_3	5	34.000	25.000	0.265	318	22.126	7200.000
j2031_4	5	40.000	40.000	0.000	622	4.455	2771.385
j2031_5	5	27.000	27.000	0.000	66	0.851	56.564
j2031_6	5	37.000	37.000	0.000	293	14.530	4257.858
j2031_7	5	32.000	22.000	0.313	67	104.002	7200.000
j2031_8	5	38.000	38.000	0.000	636	4.688	2982.085
j2031_9	5	51.000	44.000	0.137	769	9.325	7200.000
j2031_10	5	44.000	39.000	0.114	1234	5.822	7200.000
j2032_1	5	33.000	32.000	0.030	909	7.903	7200.000
j2032_2	5	26.000	26.000	0.000	68	1.084	74.130
j2032_3	5	42.000	42.000	0.000	778	3.922	3051.583
j2032_4	5	28.000	24.000	0.143	870	8.255	7200.000
j2032_5	5	33.000	33.000	0.000	131	0.957	125.688
j2032_6	5	34.000	34.000	0.000	625	3.729	2331.332
j2032_7	5	29.000	29.000	0.000	884	6.082	5377.588
j2032_8	5	43.000	43.000	0.000	1146	4.528	5190.082
j2032_9	5	50.000	43.000	0.140	1911	3.763	7200.000
j2032_10	5	31.000	31.000	0.000	297	2.149	638.644
j2033_1	5	37.000	27.000	0.270	31	220.962	7200.000
j2033_2	5	38.000	27.000	0.289	72	95.467	7200.000
j2033_3	5	64.000	41.000	0.359	1	1994.533	7200.000
j2033_4	5	29.000	21.000	0.276	52	126.890	7200.000
j2033_5	5	68.000	46.000	0.324	17	352.597	7200.000
j2033_6	5	27.000	20.000	0.259	105	67.895	7200.000
j2033_7	5	40.000	30.000	0.250	88	79.750	7200.000
j2033_8	5	48.000	32.000	0.333	29	239.147	7200.000
j2033_9	5	49.000	37.000	0.245	541	13.248	7200.000
j2033_10	5	59.000	41.000	0.305	17	352.312	7200.000
j2034_1	5	53.000	50.000	0.057	1785	4.027	7200.000
j2034_2	5	29.000	29.000	0.000	244	1.823	445.183
j2034_3	5	45.000	34.000	0.244	294	24.351	7200.000
j2034_4	5	33.000	33.000	0.000	514	4.213	2166.208
j2034_5	5	36.000	26.000	0.278	260	27.552	7200.000
j2034_6	5	41.000	41.000	0.000	462	2.908	1343.734
j2034_7	5	40.000	39.000	0.025	1003	7.159	7200.000
j2034_8	5	25.000	25.000	0.000	277	4.114	1140.086
j2034_9	5	36.000	36.000	0.000	341	9.505	3241.828
j2034_10	5	43.000	43.000	0.000	846	3.212	2717.881
j2035_1	5	46.000	46.000	0.000	855	3.342	2857.423
j2035_2	5	24.000	24.000	0.000	160	1.165	187.208
j2035_3	5	36.000	36.000	0.000	255	0.575	146.929
j2035_4	5	35.000	35.000	0.000	380	1.896	720.754
j2035_5	5	38.000	36.000	0.053	1688	4.262	7200.000
j2035_6	5	40.000	40.000	0.000	754	1.732	1306.421
j2035_7	5	26.000	26.000	0.000	105	1.290	136.038
j2035_8	5	32.000	32.000	0.000	318	1.398	444.959
j2035_9	5	44.000	44.000	0.000	214	0.971	208.108
j2035_10	5	35.000	35.000	0.000	566	1.620	917.689
j2037_1	5	55.000	37.000	0.327	1	3153.705	7200.000
j2037_2	5	inf	-inf	nan	0	inf	7200.000
j2037_3	5	inf	-inf	nan	0	inf	7200.000
j2037_4	5	inf	-inf	nan	0	inf	7200.000
j2037_5	5	inf	-inf	nan	0	inf	7200.000
j2037_6	5	inf	-inf	nan	0	inf	7200.000
j2037_7	5	inf	-inf	nan	0	inf	7200.000
j2037_8	5	inf	-inf	nan	0	inf	7200.000
j2037_9	5	inf	-inf	nan	0	inf	7200.000
j2037_10	5	inf	-inf	nan	0	inf	7200.000
j2038_1	5	34.000	24.000	0.294	38	180.698	7200.000
j2038_2	5	40.000	26.000	0.350	2	878.572	7200.000
j2038_3	5	34.000	22.000	0.353	57	121.115	7200.000
j2038_4	5	50.000	32.000	0.360	27	256.568	7200.000
j2038_5	5	52.000	43.000	0.173	721	9.944	7200.000
j2038_6	5	44.000	37.000	0.159	1051	6.842	7200.000
j2038_7	5	inf	-inf	nan	0	inf	7200.000
j2038_8	5	49.000	40.000	0.184	639	11.249	7200.000
j2038_9	5	49.000	35.000	0.286	53	129.749	7200.000
j2038_10	5	44.000	30.000	0.318	105	67.814	7200.000
j2039_1	5	47.000	47.000	0.000	714	8.254	5893.505
j2039_2	5	47.000	47.000	0.000	908	7.051	6402.624
j2039_3	5	39.000	39.000	0.000	926	3.166	2931.961
j2039_4	5	45.000	45.000	0.000	261	1.790	467.732
j2039_5	5	39.000	36.000	0.077	687	10.452	7200.000
j2039_6	5	55.000	50.000	0.091	1922	3.740	7200.000
j2039_7	5	36.000	36.000	0.000	443	1.862	825.633
j2039_8	5	34.000	34.000	0.000	667	4.967	3313.627
j2039_9	5	31.000	31.000	0.000	230	1.389	319.796
j2039_10	5	29.000	29.000	0.000	127	2.898	368.429
j2040_1	5	37.000	37.000	0.000	623	1.788	1114.545
j2040_2	5	27.000	27.000	0.000	193	1.082	209.278
j2040_3	5	47.000	43.000	0.085	1259	5.713	7200.000
j2040_4	5	44.000	44.000	0.000	617	0.954	589.203
j2040_5	5	45.000	45.000	0.000	990	2.627	2601.309
j2040_6	5	30.000	30.000	0.000	97	2.314	224.885
j2040_7	5	43.000	43.000	0.000	196	0.689	135.442
j2040_8	5	39.000	39.000	0.000	1645	3.196	5258.205
j2040_9	5	41.000	41.000	0.000	265	6.884	1824.649
j2040_10	5	37.000	37.000	0.000	714	5.157	3682.871
j2041_1	5	54.000	37.000	0.315	14	445.920	7200.000
j2041_2	5	41.000	28.000	0.317	3	1066.897	7200.000
j2041_3	5	34.000	26.000	0.235	114	62.525	7200.000
j2041_4	5	46.000	31.000	0.326	19	319.972	7200.000
j2041_5	5	41.000	33.000	0.195	329	21.770	7200.000
j2041_6	5	52.000	34.000	0.346	11	507.448	7200.000
j2041_7	5	32.000	27.000	0.156	88	80.288	7200.000
j2041_8	5	38.000	27.000	0.289	100	70.894	7200.000
j2041_9	5	38.000	26.000	0.316	40	170.988	7200.000
j2041_10	5	42.000	40.000	0.048	585	12.284	7200.000
j2042_1	5	25.000	25.000	0.000	83	1.459	121.546
j2042_2	5	35.000	35.000	0.000	180	1.532	276.253
j2042_3	5	43.000	43.000	0.000	804	3.420	2750.245
j2042_4	5	54.000	46.000	0.148	1210	5.942	7200.000
j2042_5	5	32.000	30.000	0.062	507	14.074	7200.000
j2042_6	5	51.000	51.000	0.000	940	2.721	2558.381
j2042_7	5	43.000	43.000	0.000	511	3.199	1634.991
j2042_8	5	45.000	36.000	0.200	208	34.254	7200.000
j2042_9	5	44.000	44.000	0.000	833	1.700	1416.683
j2042_10	5	30.000	30.000	0.000	70	1.830	128.497
j2043_1	5	50.000	50.000	0.000	2095	2.557	5357.338
j2043_2	5	37.000	37.000	0.000	527	0.899	474.765
j2043_3	5	41.000	41.000	0.000	1074	2.271	2439.791
j2043_4	5	26.000	26.000	0.000	90	0.918	83.430
j2043_5	5	39.000	38.000	0.026	1660	4.330	7200.000
j2043_6	5	41.000	41.000	0.000	812	1.844	1497.616
j2043_7	5	27.000	27.000	0.000	124	1.178	146.410
j2043_8	5	38.000	38.000	0.000	1432	2.628	3764.203
j2043_9	5	36.000	36.000	0.000	412	1.544	636.792
j2043_10	5	38.000	38.000	0.000	821	6.290	5164.263
j2044_1	5	29.000	29.000	0.000	493	1.132	558.354
j2044_2	5	37.000	37.000	0.000	385	1.090	420.225
j2044_3	5	42.000	42.000	0.000	561	1.109	622.814
j2044_4	5	39.000	39.000	0.000	415	1.154	479.500
j2044_5	5	41.000	41.000	0.000	258	0.968	250.147
j2044_6	5	35.000	35.000	0.000	258	0.917	237.473
j2044_7	5	41.000	41.000	0.000	382	0.801	306.414
j2044_8	5	34.000	34.000	0.000	137	0.753	103.566
j2044_9	5	45.000	45.000	0.000	652	1.278	833.822
j2044_10	5	41.000	41.000	0.000	227	0.819	186.239
j2045_1	5	inf	-inf	nan	0	inf	7200.000
j2045_2	5	inf	-inf	nan	0	inf	7200.000
j2045_3	5	inf	-inf	nan	0	inf	7200.000
j2045_4	5	inf	-inf	nan	0	inf	7200.000
j2045_5	5	50.000	34.000	0.320	1	2147.722	7200.000
j2045_6	5	55.000	36.000	0.345	22	278.944	7200.000
j2045_7	5	inf	-inf	nan	0	inf	7200.000
j2045_8	5	45.000	32.000	0.289	14	466.166	7200.000
j2045_9	5	53.000	38.000	0.283	13	459.613	7200.000
j2045_10	5	inf	-inf	nan	0	inf	7200.000
j2046_1	5	46.000	30.000	0.348	24	266.432	7200.000
j2046_2	5	43.000	30.000	0.302	762	9.435	7200.000
j2046_3	5	38.000	26.000	0.316	3	1545.055	7200.000
j2046_4	5	40.000	27.000	0.325	132	53.069	7200.000
j2046_5	5	35.000	35.000	0.000	1119	5.944	6651.603
j2046_6	5	45.000	30.000	0.333	28	242.785	7200.000
j2046_7	5	36.000	24.000	0.333	20	331.773	7200.000
j2046_8	5	37.000	26.000	0.297	240	29.791	7200.000
j2046_9	5	39.000	39.000	0.000	719	5.921	4257.805
j2046_10	5	46.000	41.000	0.109	850	8.449	7200.000
j2047_1	5	32.000	25.000	0.219	709	10.112	7200.000
j2047_2	5	29.000	29.000	0.000	149	0.921	137.684
j2047_3	5	31.000	31.000	0.000	81	0.842	68.589
j2047_4	5	34.000	34.000	0.000	250	1.387	347.064
j2047_5	5	33.000	33.000	0.000	400	3.198	1279.793
j2047_6	5	34.000	34.000	0.000	134	1.355	181.918
j2047_7	5	44.000	44.000	0.000	714	1.337	955.121
j2047_8	5	29.000	29.000	0.000	120	1.553	186.885
j2047_9	5	53.000	46.000	0.132	1286	5.588	7200.000
j2047_10	5	41.000	29.000	0.293	133	53.679	7200.000
j2048_1	5	30.000	30.000	0.000	200	1.235	247.453
j2048_2	5	37.000	37.000	0.000	767	4.653	3569.155
j2048_3	5	32.000	32.000	0.000	101	0.815	82.712
j2048_4	5	24.000	24.000	0.000	123	1.399	172.610
j2048_5	5	24.000	24.000	0.000	75	0.728	55.029
j2048_6	5	46.000	46.000	0.000	803	1.223	982.329
j2048_7	5	41.000	41.000	0.000	265	0.887	235.465
j2048_8	5	32.000	32.000	0.000	215	0.843	181.789
j2048_9	5	36.000	36.000	0.000	264	1.072	283.821
j2048_10	5	43.000	43.000	0.000	866	5.681	4920.423
j2049_1	5	38.000	25.000	0.342	2	1556.323	7200.000
j2049_2	5	56.000	41.000	0.268	15	413.270	7200.000
j2049_3	5	33.000	23.000	0.303	31	222.421	7200.000
j2049_4	5	58.000	38.000	0.345	3	1781.124	7200.000
j2049_5	5	33.000	29.000	0.121	246	28.960	7200.000
j2049_6	5	41.000	29.000	0.293	62	113.434	7200.000
j2049_7	5	50.000	34.000	0.320	132	53.416	7200.000
j2049_8	5	33.000	24.000	0.273	44	158.397	7200.000
j2049_9	5	32.000	25.000	0.219	50	131.867	7200.000
j2049_10	5	45.000	29.000	0.356	7	829.064	7200.000
j2050_1	5	42.000	33.000	0.214	317	22.636	7200.000
j2050_2	5	35.000	35.000	0.000	777	4.459	3465.156
j2050_3	5	36.000	36.000	0.000	578	1.441	833.302
j2050_4	5	27.000	27.000	0.000	180	15.176	2732.148
j2050_5	5	45.000	39.000	0.133	1024	7.020	7200.000
j2050_6	5	33.000	33.000	0.000	508	1.418	720.740
j2050_7	5	24.000	24.000	0.000	199	5.451	1085.037
j2050_8	5	37.000	37.000	0.000	1212	1.998	2422.287
