instance	Gamma	objval	objbound	gap	runtime
j203_2	5	29.000	29.000	0.000	12.426
j203_5	5	19.000	19.000	0.000	1.831
j205_7	5	45.000	39.000	0.133	7200.014
j206_3	5	34.000	34.000	0.000	27.059
j207_3	5	35.000	35.000	0.000	6.323
j209_1	5	44.000	44.000	0.000	33.335
j209_2	5	33.000	33.000	0.000	301.104
j209_3	5	32.000	32.000	0.000	193.770
j209_5	5	52.000	52.000	0.000	153.954
j209_6	5	38.000	38.000	0.000	7.789
j209_7	5	44.000	44.000	0.000	90.970
j209_8	5	26.000	26.000	0.000	15.802
j209_9	5	30.000	30.000	0.000	6.920
j209_10	5	33.000	33.000	0.000	32.335
j2010_1	5	27.000	27.000	0.000	5.391
j2010_2	5	37.000	37.000	0.000	4.440
j2010_3	5	31.000	31.000	0.000	4.265
j2010_4	5	29.000	29.000	0.000	5.105
j2010_5	5	33.000	33.000	0.000	10.245
j2010_6	5	40.000	40.000	0.000	11.503
j2010_7	5	34.000	34.000	0.000	18.005
j2010_8	5	27.000	27.000	0.000	7.433
j2010_9	5	31.000	31.000	0.000	14.526
j2010_10	5	42.000	42.000	0.000	6.809
j2011_1	5	33.000	33.000	0.000	2.366
j2011_2	5	27.000	27.000	0.000	4.404
j2011_3	5	39.000	39.000	0.000	2.766
j2011_4	5	46.000	46.000	0.000	9.346
j2011_5	5	34.000	34.000	0.000	2.863
j2011_6	5	50.000	50.000	0.000	4.152
j2011_7	5	36.000	36.000	0.000	6.984
j2011_8	5	29.000	29.000	0.000	2.471
j2011_9	5	31.000	31.000	0.000	5.781
j2011_10	5	40.000	40.000	0.000	2.250
j2012_1	5	29.000	29.000	0.000	1.804
j2012_2	5	31.000	31.000	0.000	1.368
j2012_3	5	54.000	54.000	0.000	2.659
j2012_4	5	28.000	28.000	0.000	1.772
j2012_5	5	36.000	36.000	0.000	4.831
j2012_6	5	31.000	31.000	0.000	3.028
j2012_7	5	32.000	32.000	0.000	4.742
j2012_8	5	45.000	45.000	0.000	3.420
j2012_9	5	48.000	48.000	0.000	3.552
j2012_10	5	32.000	32.000	0.000	5.086
j2013_1	5	36.000	30.000	0.167	7200.013
j2013_2	5	52.000	46.000	0.115	7200.013
j2013_3	5	67.000	53.365	0.204	7200.014
j2013_4	5	59.000	59.000	0.000	2710.101
j2013_5	5	49.000	41.000	0.163	7200.013
j2013_6	5	55.000	54.007	0.018	7200.014
j2013_7	5	54.000	47.000	0.130	7200.013
j2013_8	5	46.000	40.000	0.130	7200.012
j2013_9	5	54.000	51.000	0.056	7200.014
j2013_10	5	58.000	46.712	0.195	7200.013
j2014_1	5	37.000	37.000	0.000	69.028
j2014_2	5	38.000	38.000	0.000	91.351
j2014_3	5	34.000	34.000	0.000	286.759
j2014_4	5	44.000	44.000	0.000	707.660
j2014_5	5	44.000	44.000	0.000	119.275
j2014_6	5	30.000	30.000	0.000	1828.098
j2014_7	5	43.000	43.000	0.000	7.857
j2014_8	5	39.000	39.000	0.000	3857.873
