instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j203_2	10	29.000	29.000	0.000	93	2.562	238.708
j203_5	10	19.000	19.000	0.000	77	0.877	67.981
j205_7	10	inf	-inf	nan	0	inf	7200.000
j206_3	10	34.000	24.000	0.294	128	54.548	7200.000
j207_3	10	35.000	35.000	0.000	414	3.006	1244.958
j209_1	10	44.000	30.000	0.318	51	137.525	7200.000
j209_2	10	35.000	25.000	0.286	52	130.090	7200.000
j209_3	10	33.000	23.000	0.303	13	507.067	7200.000
j209_5	10	55.000	37.000	0.327	47	149.214	7200.000
j209_6	10	39.000	29.000	0.256	70	100.328	7200.000
j209_7	10	47.000	32.000	0.319	97	73.096	7200.000
j209_8	10	26.000	21.000	0.192	104	68.093	7200.000
j209_9	10	31.000	27.000	0.129	593	12.115	7200.000
j209_10	10	34.000	25.000	0.265	137	51.780	7200.000
j2010_1	10	28.000	28.000	0.000	395	2.138	845.139
j2010_2	10	37.000	37.000	0.000	356	1.626	579.392
j2010_3	10	31.000	31.000	0.000	412	4.883	2012.410
j2010_4	10	29.000	29.000	0.000	248	1.113	276.408
j2010_5	10	33.000	31.000	0.061	821	8.752	7200.000
j2010_6	10	40.000	30.000	0.250	184	38.867	7200.000
j2010_7	10	34.000	34.000	0.000	478	2.350	1123.749
j2010_8	10	27.000	27.000	0.000	66	3.546	234.468
j2010_9	10	33.000	26.000	0.212	156	45.632	7200.000
j2010_10	10	44.000	43.000	0.023	1271	5.650	7200.000
j2011_1	10	33.000	33.000	0.000	152	1.119	170.460
j2011_2	10	28.000	28.000	0.000	118	1.230	145.832
j2011_3	10	40.000	40.000	0.000	523	4.035	2111.052
j2011_4	10	47.000	33.000	0.298	170	42.066	7200.000
j2011_5	10	34.000	34.000	0.000	584	2.883	1683.952
j2011_6	10	50.000	50.000	0.000	266	1.439	383.037
j2011_7	10	36.000	36.000	0.000	229	2.176	498.755
j2011_8	10	30.000	30.000	0.000	227	1.176	267.242
j2011_9	10	32.000	32.000	0.000	214	0.722	154.884
j2011_10	10	41.000	41.000	0.000	514	1.269	652.699
j2012_1	10	29.000	29.000	0.000	105	0.954	100.639
j2012_2	10	31.000	31.000	0.000	60	0.771	46.732
j2012_3	10	55.000	55.000	0.000	748	1.725	1291.003
j2012_4	10	28.000	28.000	0.000	157	0.963	151.593
j2012_5	10	36.000	36.000	0.000	576	1.398	805.791
j2012_6	10	31.000	31.000	0.000	92	1.479	136.418
j2012_7	10	32.000	32.000	0.000	295	0.902	266.601
j2012_8	10	45.000	45.000	0.000	765	1.085	830.639
j2012_9	10	49.000	49.000	0.000	905	2.093	1894.787
j2012_10	10	32.000	32.000	0.000	168	3.188	535.986
j2013_1	10	inf	-inf	nan	0	inf	7200.000
j2013_2	10	inf	-inf	nan	0	inf	7200.000
j2013_3	10	inf	-inf	nan	0	inf	7200.000
j2013_4	10	63.000	39.000	0.381	2	1873.939	7200.000
j2013_5	10	inf	-inf	nan	0	inf	7200.000
j2013_6	10	58.000	37.000	0.362	7	810.031	7200.000
j2013_7	10	inf	-inf	nan	0	inf	7200.000
j2013_8	10	inf	-inf	nan	0	inf	7200.000
j2013_9	10	58.000	36.000	0.379	1	2312.620	7200.000
j2013_10	10	inf	-inf	nan	0	inf	7200.000
j2014_1	10	38.000	25.000	0.342	40	174.527	7200.000
j2014_2	10	39.000	26.000	0.333	168	41.839	7200.000
j2014_3	10	34.000	22.000	0.353	58	120.662	7200.000
j2014_4	10	45.000	28.000	0.378	22	303.524	7200.000
j2014_5	10	47.000	30.000	0.362	14	436.354	7200.000
j2014_6	10	30.000	20.000	0.333	19	358.388	7200.000
j2014_7	10	45.000	34.000	0.244	723	9.925	7200.000
j2014_8	10	41.000	27.000	0.341	2	1524.405	7200.000
j2014_9	10	41.000	27.000	0.341	118	60.402	7200.000
j2014_10	10	38.000	28.000	0.263	313	22.714	7200.000
j2015_1	10	40.000	37.000	0.075	1638	4.391	7200.000
j2015_2	10	39.000	39.000	0.000	544	8.331	4532.591
j2015_3	10	40.000	40.000	0.000	317	4.266	1352.586
j2015_4	10	43.000	43.000	0.000	248	2.057	510.515
j2015_5	10	38.000	35.000	0.079	828	8.681	7200.000
j2015_6	10	30.000	30.000	0.000	326	1.236	403.380
j2015_7	10	43.000	43.000	0.000	262	2.340	613.391
j2015_8	10	35.000	35.000	0.000	282	6.937	1956.646
j2015_9	10	32.000	32.000	0.000	456	4.011	1829.353
j2015_10	10	37.000	37.000	0.000	634	3.102	1967.045
j2016_1	10	37.000	36.000	0.027	1419	5.064	7200.000
j2016_2	10	36.000	36.000	0.000	502	1.349	677.363
j2016_3	10	50.000	50.000	0.000	773	0.822	636.172
j2016_4	10	58.000	48.000	0.172	1766	4.074	7200.000
j2016_5	10	31.000	31.000	0.000	625	5.413	3383.859
