instance	Gamma	objval	objbound	gap	runtime
j203_2	10	29.000	29.000	0.000	9.561
j203_5	10	19.000	19.000	0.000	10.717
j205_7	10	51.000	40.500	0.206	7200.026
j206_3	10	34.000	34.000	0.000	189.312
j207_3	10	35.000	35.000	0.000	13.841
j209_1	10	44.000	44.000	0.000	108.074
j209_2	10	35.000	35.000	0.000	254.545
j209_3	10	33.000	33.000	0.000	1040.819
j209_5	10	55.000	55.000	0.000	206.745
j209_6	10	39.000	39.000	0.000	16.070
j209_7	10	47.000	47.000	0.000	172.141
j209_8	10	26.000	26.000	0.000	74.988
j209_9	10	31.000	31.000	0.000	12.069
j209_10	10	34.000	34.000	0.000	76.992
j2010_1	10	28.000	28.000	0.000	14.528
j2010_2	10	37.000	37.000	0.000	10.256
j2010_3	10	31.000	31.000	0.000	9.052
j2010_4	10	29.000	29.000	0.000	8.896
j2010_5	10	33.000	33.000	0.000	23.598
j2010_6	10	40.000	40.000	0.000	6.704
j2010_7	10	34.000	34.000	0.000	13.086
j2010_8	10	27.000	27.000	0.000	12.871
j2010_9	10	33.000	33.000	0.000	58.083
j2010_10	10	44.000	44.000	0.000	9.970
j2011_1	10	33.000	33.000	0.000	10.190
j2011_2	10	28.000	28.000	0.000	9.296
j2011_3	10	40.000	40.000	0.000	6.839
j2011_4	10	47.000	47.000	0.000	39.257
j2011_5	10	34.000	34.000	0.000	8.225
j2011_6	10	50.000	50.000	0.000	20.241
j2011_7	10	36.000	36.000	0.000	14.154
j2011_8	10	30.000	30.000	0.000	5.282
j2011_9	10	32.000	32.000	0.000	8.240
j2011_10	10	41.000	41.000	0.000	3.201
j2012_1	10	29.000	29.000	0.000	3.044
j2012_2	10	31.000	31.000	0.000	2.494
j2012_3	10	55.000	55.000	0.000	7.489
j2012_4	10	28.000	28.000	0.000	3.055
j2012_5	10	36.000	36.000	0.000	9.940
j2012_6	10	31.000	31.000	0.000	9.751
j2012_7	10	32.000	32.000	0.000	9.997
j2012_8	10	45.000	45.000	0.000	8.818
j2012_9	10	49.000	49.000	0.000	7.879
j2012_10	10	32.000	32.000	0.000	6.968
j2013_1	10	38.000	31.000	0.184	7200.017
