instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j203_2	0	18.000	18.000	0.000	1	0.541	1.025
j203_5	0	13.000	13.000	0.000	1	0.298	0.639
j205_7	0	inf	-inf	nan	0	inf	7200.000
j206_3	0	22.000	22.000	0.000	2	2.651	5.914
j207_3	0	22.000	22.000	0.000	1	1.462	1.914
j209_1	0	28.000	28.000	0.000	1	52.894	53.467
j209_2	0	22.000	22.000	0.000	1	46.843	47.308
j209_3	0	22.000	22.000	0.000	1	89.811	90.252
j209_5	0	34.000	34.000	0.000	1	28.631	29.021
j209_6	0	25.000	25.000	0.000	1	1.145	1.915
j209_7	0	30.000	30.000	0.000	1	11.707	12.216
j209_8	0	17.000	17.000	0.000	1	1.580	2.219
j209_9	0	21.000	21.000	0.000	1	0.472	0.958
j209_10	0	21.000	21.000	0.000	1	2.640	3.217
j2010_1	0	18.000	18.000	0.000	1	0.546	1.007
j2010_2	0	24.000	24.000	0.000	1	0.677	1.018
j2010_3	0	20.000	20.000	0.000	1	0.565	0.952
j2010_4	0	19.000	19.000	0.000	1	0.393	0.755
j2010_5	0	22.000	22.000	0.000	1	1.549	1.894
j2010_6	0	25.000	25.000	0.000	1	0.959	1.341
j2010_7	0	22.000	22.000	0.000	1	1.043	1.379
j2010_8	0	17.000	17.000	0.000	1	0.458	0.881
j2010_9	0	21.000	21.000	0.000	1	2.612	2.991
j2010_10	0	28.000	28.000	0.000	1	0.379	0.777
j2011_1	0	21.000	21.000	0.000	1	0.233	0.575
j2011_2	0	18.000	18.000	0.000	1	0.300	0.638
j2011_3	0	25.000	25.000	0.000	1	0.278	0.668
j2011_4	0	29.000	29.000	0.000	1	0.743	1.080
j2011_5	0	22.000	22.000	0.000	1	0.272	0.692
j2011_6	0	31.000	31.000	0.000	1	0.397	0.793
j2011_7	0	23.000	23.000	0.000	1	0.412	0.788
j2011_8	0	19.000	19.000	0.000	1	0.356	0.755
j2011_9	0	20.000	20.000	0.000	1	0.230	0.588
j2011_10	0	26.000	26.000	0.000	1	0.223	0.621
j2012_1	0	18.000	18.000	0.000	1	0.211	0.550
j2012_2	0	19.000	19.000	0.000	1	0.166	0.698
j2012_3	0	34.000	34.000	0.000	1	0.251	0.651
j2012_4	0	18.000	18.000	0.000	1	0.175	0.556
j2012_5	0	23.000	23.000	0.000	1	0.325	0.676
j2012_6	0	20.000	20.000	0.000	1	0.529	0.869
j2012_7	0	21.000	21.000	0.000	1	0.470	0.856
j2012_8	0	28.000	28.000	0.000	1	0.242	0.583
j2012_9	0	31.000	31.000	0.000	1	0.227	0.732
j2012_10	0	20.000	20.000	0.000	1	0.593	0.949
j2013_1	0	inf	-inf	nan	0	inf	7200.000
j2013_2	0	inf	-inf	nan	0	inf	7200.000
j2013_3	0	inf	-inf	nan	0	inf	7200.000
j2013_4	0	39.000	39.000	0.000	1	2288.228	2288.626
j2013_5	0	inf	-inf	nan	0	inf	7200.000
j2013_6	0	37.000	37.000	0.000	1	270.035	270.451
j2013_7	0	inf	-inf	nan	0	inf	7200.000
j2013_8	0	inf	-inf	nan	0	inf	7200.000
j2013_9	0	36.000	36.000	0.000	1	4022.359	4022.748
j2013_10	0	inf	-inf	nan	0	inf	7200.000
j2014_1	0	25.000	25.000	0.000	2	61.060	122.562
j2014_2	0	26.000	26.000	0.000	2	14.481	29.305
j2014_3	0	22.000	22.000	0.000	1	140.970	141.377
