instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j203_2	0	18.000	18.000	0.000	1	7.285	9.040
j203_5	0	13.000	13.000	0.000	1	5.274	7.105
j205_7	0	inf	-inf	nan	0	inf	7200.000
j206_3	0	22.000	22.000	0.000	1	215.052	216.656
j207_3	0	22.000	22.000	0.000	1	17.137	18.748
j209_1	0	28.000	28.000	0.000	1	579.677	581.225
j209_2	0	22.000	22.000	0.000	1	195.240	196.880
j209_3	0	22.000	22.000	0.000	1	244.852	247.000
j209_5	0	34.000	34.000	0.000	1	868.676	870.425
j209_6	0	25.000	25.000	0.000	1	18.339	19.879
j209_7	0	30.000	30.000	0.000	1	235.446	236.948
j209_8	0	17.000	17.000	0.000	1	27.387	28.984
j209_9	0	21.000	21.000	0.000	1	11.143	13.025
j209_10	0	21.000	21.000	0.000	1	27.745	29.380
j2010_1	0	18.000	18.000	0.000	1	16.569	18.421
j2010_2	0	24.000	24.000	0.000	1	5.777	7.770
j2010_3	0	20.000	20.000	0.000	1	7.585	9.288
j2010_4	0	19.000	19.000	0.000	1	7.717	9.468
j2010_5	0	22.000	22.000	0.000	1	14.628	16.510
j2010_6	0	25.000	25.000	0.000	1	7.095	8.971
j2010_7	0	22.000	22.000	0.000	1	17.168	18.982
j2010_8	0	17.000	17.000	0.000	1	5.431	7.235
j2010_9	0	21.000	21.000	0.000	1	54.130	55.901
j2010_10	0	28.000	28.000	0.000	1	6.933	8.642
j2011_1	0	21.000	21.000	0.000	1	4.201	5.934
j2011_2	0	18.000	18.000	0.000	1	6.853	8.750
j2011_3	0	25.000	25.000	0.000	1	5.467	7.337
j2011_4	0	29.000	29.000	0.000	1	22.784	24.487
j2011_5	0	22.000	22.000	0.000	1	7.314	9.520
j2011_6	0	31.000	31.000	0.000	1	12.881	14.791
j2011_7	0	23.000	23.000	0.000	1	6.092	7.907
j2011_8	0	19.000	19.000	0.000	1	5.767	7.577
j2011_9	0	20.000	20.000	0.000	1	6.543	8.413
j2011_10	0	26.000	26.000	0.000	1	5.569	7.418
j2012_1	0	18.000	18.000	0.000	1	5.162	7.031
j2012_2	0	19.000	19.000	0.000	1	6.617	8.844
j2012_3	0	34.000	34.000	0.000	1	5.307	7.394
j2012_4	0	18.000	18.000	0.000	1	4.297	5.899
j2012_5	0	23.000	23.000	0.000	1	5.946	7.838
j2012_6	0	20.000	20.000	0.000	1	6.169	8.070
j2012_7	0	21.000	21.000	0.000	1	5.183	7.122
j2012_8	0	28.000	28.000	0.000	1	5.166	7.126
j2012_9	0	31.000	31.000	0.000	1	5.975	7.646
j2012_10	0	20.000	20.000	0.000	1	4.296	6.167
j2013_1	0	inf	-inf	nan	0	inf	7200.000
j2013_2	0	inf	-inf	nan	0	inf	7200.000
j2013_3	0	inf	-inf	nan	0	inf	7200.000
j2013_4	0	inf	-inf	nan	0	inf	7200.000
j2013_5	0	inf	-inf	nan	0	inf	7200.000
j2013_6	0	inf	-inf	nan	0	inf	7200.000
j2013_7	0	inf	-inf	nan	0	inf	7200.000
j2013_8	0	inf	-inf	nan	0	inf	7200.000
j2013_9	0	inf	-inf	nan	0	inf	7200.000
j2013_10	0	inf	-inf	nan	0	inf	7200.000
j2014_1	0	inf	-inf	nan	0	inf	7200.000
j2014_2	0	26.000	26.000	0.000	1	648.889	650.280
j2014_3	0	22.000	22.000	0.000	1	1124.883	1126.738
j2014_4	0	inf	-inf	nan	0	inf	7200.000
j2014_5	0	inf	-inf	nan	0	inf	7200.000
j2014_6	0	inf	-inf	nan	0	inf	7200.000
j2014_7	0	29.000	29.000	0.000	1	44.512	46.124
j2014_8	0	inf	-inf	nan	0	inf	7200.000
j2014_9	0	26.000	26.000	0.000	1	562.884	564.347
j2014_10	0	24.000	24.000	0.000	1	191.295	193.453
j2015_1	0	25.000	25.000	0.000	1	17.636	19.440
j2015_2	0	24.000	24.000	0.000	1	24.225	25.805
j2015_3	0	25.000	25.000	0.000	1	11.440	13.101
j2015_4	0	27.000	27.000	0.000	1	11.363	13.191
j2015_5	0	25.000	25.000	0.000	1	13.782	15.517
j2015_6	0	19.000	19.000	0.000	1	13.297	15.144
j2015_7	0	26.000	26.000	0.000	1	14.266	16.280
j2015_8	0	22.000	22.000	0.000	1	31.076	32.857
j2015_9	0	21.000	21.000	0.000	1	15.889	17.608
j2015_10	0	24.000	24.000	0.000	1	15.485	17.132
j2016_1	0	24.000	24.000	0.000	1	11.830	13.903
j2016_2	0	24.000	24.000	0.000	1	10.640	12.371
j2016_3	0	31.000	31.000	0.000	1	6.914	8.535
j2016_4	0	36.000	36.000	0.000	1	11.354	12.853
j2016_5	0	21.000	21.000	0.000	1	12.395	14.110
j2016_6	0	36.000	36.000	0.000	1	9.748	11.587
j2016_7	0	25.000	25.000	0.000	1	5.747	7.514
j2016_8	0	28.000	28.000	0.000	1	13.418	15.043
j2016_9	0	18.000	18.000	0.000	1	8.416	10.165
j2016_10	0	38.000	38.000	0.000	1	12.155	13.727
j2017_1	0	17.000	17.000	0.000	1	367.427	369.420
j2017_2	0	inf	-inf	nan	0	inf	7200.000
j2017_3	0	32.000	32.000	0.000	1	15.371	16.932
j2017_4	0	30.000	30.000	0.000	1	64.337	65.787
j2017_5	0	19.000	19.000	0.000	1	98.995	100.524
j2017_6	0	36.000	36.000	0.000	1	166.898	168.359
j2017_7	0	27.000	27.000	0.000	1	58.864	60.373
j2017_8	0	27.000	27.000	0.000	1	41.138	42.612
j2017_9	0	18.000	18.000	0.000	1	161.775	163.500
j2017_10	0	29.000	29.000	0.000	1	2135.810	2137.496
j2018_1	0	30.000	30.000	0.000	1	4.355	5.822
j2018_2	0	27.000	27.000	0.000	1	6.255	7.974
j2018_3	0	20.000	20.000	0.000	1	18.265	19.884
j2018_4	0	21.000	21.000	0.000	1	10.568	12.153
j2018_5	0	23.000	23.000	0.000	1	6.536	8.335
j2018_6	0	21.000	21.000	0.000	1	10.985	12.662
j2018_7	0	25.000	25.000	0.000	1	6.199	8.047
j2018_8	0	29.000	29.000	0.000	1	7.647	9.343
j2018_9	0	22.000	22.000	0.000	1	14.425	16.370
j2018_10	0	27.000	27.000	0.000	1	9.690	11.375
j2019_1	0	25.000	25.000	0.000	1	5.878	7.584
