instance	Gamma	objval	objbound	gap	runtime
j203_2	0	18.000	18.000	0.000	0.620
j203_5	0	13.000	13.000	0.000	0.270
j205_7	0	33.000	27.000	0.182	7200.005
j206_3	0	22.000	22.000	0.000	39.209
j207_3	0	22.000	22.000	0.000	0.910
j209_1	0	28.000	28.000	0.000	68.036
j209_2	0	22.000	22.000	0.000	49.423
j209_3	0	22.000	22.000	0.000	571.408
j209_5	0	34.000	34.000	0.000	55.700
j209_6	0	25.000	25.000	0.000	1.389
j209_7	0	30.000	30.000	0.000	20.257
j209_8	0	17.000	17.000	0.000	1.333
j209_9	0	21.000	21.000	0.000	0.822
j209_10	0	21.000	21.000	0.000	3.021
j2010_1	0	18.000	18.000	0.000	0.962
j2010_2	0	24.000	24.000	0.000	0.507
j2010_3	0	20.000	20.000	0.000	0.646
j2010_4	0	19.000	19.000	0.000	0.501
j2010_5	0	22.000	22.000	0.000	1.016
j2010_6	0	25.000	25.000	0.000	0.662
j2010_7	0	22.000	22.000	0.000	1.076
j2010_8	0	17.000	17.000	0.000	0.666
j2010_9	0	21.000	21.000	0.000	1.367
j2010_10	0	28.000	28.000	0.000	0.531
j2011_1	0	21.000	21.000	0.000	0.297
j2011_2	0	18.000	18.000	0.000	0.332
j2011_3	0	25.000	25.000	0.000	0.312
j2011_4	0	29.000	29.000	0.000	0.556
j2011_5	0	22.000	22.000	0.000	0.470
j2011_6	0	31.000	31.000	0.000	0.324
j2011_7	0	23.000	23.000	0.000	0.335
j2011_8	0	19.000	19.000	0.000	0.337
j2011_9	0	20.000	20.000	0.000	0.351
j2011_10	0	26.000	26.000	0.000	0.384
j2012_1	0	18.000	18.000	0.000	0.181
j2012_2	0	19.000	19.000	0.000	0.232
j2012_3	0	34.000	34.000	0.000	0.236
j2012_4	0	18.000	18.000	0.000	0.327
j2012_5	0	23.000	23.000	0.000	0.270
j2012_6	0	20.000	20.000	0.000	0.182
j2012_7	0	21.000	21.000	0.000	0.258
j2012_8	0	28.000	28.000	0.000	0.243
j2012_9	0	31.000	31.000	0.000	0.563
j2012_10	0	20.000	20.000	0.000	0.284
j2013_1	0	25.000	19.000	0.240	7200.003
j2013_2	0	36.000	26.046	0.277	7200.004
j2013_3	0	46.000	35.000	0.239	7200.003
j2013_4	0	39.000	38.998	0.000	3405.792
j2013_5	0	33.000	24.122	0.269	7200.002
j2013_6	0	37.000	37.000	0.000	2331.768
j2013_7	0	37.000	26.000	0.297	7200.004
j2013_8	0	34.000	25.000	0.265	7200.003
j2013_9	0	37.000	27.404	0.259	7200.002
j2013_10	0	41.000	30.000	0.268	7200.002
j2014_1	0	25.000	25.000	0.000	393.227
j2014_2	0	26.000	26.000	0.000	81.006
j2014_3	0	22.000	22.000	0.000	317.976
j2014_4	0	28.000	28.000	0.000	1434.348
j2014_5	0	30.000	30.000	0.000	488.832
j2014_6	0	20.000	20.000	0.000	451.342
j2014_7	0	29.000	29.000	0.000	1.435
j2014_8	0	27.000	26.998	0.000	5810.572
j2014_9	0	26.000	26.000	0.000	84.286
j2014_10	0	24.000	24.000	0.000	2.978
j2015_1	0	25.000	25.000	0.000	0.801
j2015_2	0	24.000	24.000	0.000	0.679
j2015_3	0	25.000	25.000	0.000	0.960
j2015_4	0	27.000	27.000	0.000	0.405
j2015_5	0	25.000	25.000	0.000	0.239
j2015_6	0	19.000	19.000	0.000	0.762
j2015_7	0	26.000	26.000	0.000	0.593
j2015_8	0	22.000	22.000	0.000	0.752
j2015_9	0	21.000	21.000	0.000	1.165
j2015_10	0	24.000	24.000	0.000	0.783
j2016_1	0	24.000	24.000	0.000	0.369
j2016_2	0	24.000	24.000	0.000	0.398
j2016_3	0	31.000	31.000	0.000	0.241
j2016_4	0	36.000	36.000	0.000	0.330
j2016_5	0	21.000	21.000	0.000	0.842
j2016_6	0	36.000	36.000	0.000	0.537
j2016_7	0	25.000	25.000	0.000	0.456
j2016_8	0	28.000	28.000	0.000	0.352
j2016_9	0	18.000	18.000	0.000	0.312
