instance	Gamma	objval	objbound	gap	runtime
j203_2	5	29.000	29.000	0.000	5.421
j203_5	5	19.000	19.000	0.000	3.707
j205_7	5	45.000	37.500	0.167	7200.012
j206_3	5	34.000	34.000	0.000	55.424
j207_3	5	35.000	35.000	0.000	9.699
j209_1	5	44.000	44.000	0.000	502.428
j209_2	5	33.000	33.000	0.000	540.661
j209_3	5	32.000	32.000	0.000	335.222
j209_5	5	52.000	52.000	0.000	436.152
j209_6	5	38.000	38.000	0.000	14.468
j209_7	5	44.000	44.000	0.000	157.577
j209_8	5	26.000	26.000	0.000	27.407
j209_9	5	30.000	30.000	0.000	7.291
j209_10	5	33.000	33.000	0.000	75.848
j2010_1	5	27.000	27.000	0.000	8.202
j2010_2	5	37.000	37.000	0.000	5.905
j2010_3	5	31.000	31.000	0.000	5.224
j2010_4	5	29.000	29.000	0.000	4.459
j2010_5	5	33.000	33.000	0.000	15.209
j2010_6	5	40.000	40.000	0.000	7.952
j2010_7	5	34.000	34.000	0.000	10.667
j2010_8	5	27.000	27.000	0.000	6.001
j2010_9	5	31.000	31.000	0.000	15.342
j2010_10	5	42.000	42.000	0.000	5.680
j2011_1	5	33.000	33.000	0.000	2.406
j2011_2	5	27.000	27.000	0.000	4.584
j2011_3	5	39.000	39.000	0.000	1.837
j2011_4	5	46.000	46.000	0.000	7.206
j2011_5	5	34.000	34.000	0.000	2.035
j2011_6	5	50.000	50.000	0.000	5.003
j2011_7	5	36.000	36.000	0.000	11.902
j2011_8	5	29.000	29.000	0.000	4.413
j2011_9	5	31.000	31.000	0.000	4.420
j2011_10	5	40.000	40.000	0.000	2.498
j2012_1	5	29.000	29.000	0.000	2.864
j2012_2	5	31.000	31.000	0.000	4.616
j2012_3	5	54.000	54.000	0.000	1.729
j2012_4	5	28.000	28.000	0.000	6.612
j2012_5	5	36.000	36.000	0.000	2.706
j2012_6	5	31.000	31.000	0.000	3.390
j2012_7	5	32.000	32.000	0.000	1.858
j2012_8	5	45.000	45.000	0.000	3.845
j2012_9	5	48.000	48.000	0.000	5.659
j2012_10	5	32.000	32.000	0.000	4.229
j2013_1	5	37.000	29.000	0.216	7200.008
j2013_2	5	52.000	42.882	0.175	7200.011
j2013_3	5	66.000	52.000	0.212	7200.011
j2013_4	5	59.000	56.000	0.051	7200.006
j2013_5	5	48.000	34.970	0.271	7200.008
j2013_6	5	55.000	52.000	0.055	7200.011
j2013_7	5	54.000	35.500	0.343	7200.019
j2013_8	5	45.000	38.000	0.156	7200.007
j2013_9	5	55.000	39.000	0.291	7200.007
j2013_10	5	57.000	44.018	0.228	7200.006
j2014_1	5	37.000	37.000	0.000	254.266
j2014_2	5	38.000	38.000	0.000	125.810
j2014_3	5	34.000	34.000	0.000	410.395
j2014_4	5	44.000	43.996	0.000	2107.167
j2014_5	5	44.000	44.000	0.000	168.752
j2014_6	5	30.000	30.000	0.000	2767.451
j2014_7	5	43.000	43.000	0.000	9.592
j2014_8	5	39.000	38.000	0.026	7200.009
j2014_9	5	40.000	40.000	0.000	821.069
j2014_10	5	38.000	38.000	0.000	60.108
j2015_1	5	37.000	37.000	0.000	7.335
j2015_2	5	38.000	38.000	0.000	5.616
j2015_3	5	40.000	40.000	0.000	7.883
j2015_4	5	43.000	43.000	0.000	4.085
j2015_5	5	38.000	38.000	0.000	5.865
j2015_6	5	30.000	30.000	0.000	4.404
j2015_7	5	43.000	43.000	0.000	4.151
j2015_8	5	35.000	35.000	0.000	35.735
j2015_9	5	32.000	32.000	0.000	12.184
j2015_10	5	36.000	36.000	0.000	3.676
j2016_1	5	37.000	37.000	0.000	4.421
j2016_2	5	36.000	36.000	0.000	3.840
j2016_3	5	49.000	49.000	0.000	2.506
j2016_4	5	55.000	55.000	0.000	5.079
j2016_5	5	31.000	31.000	0.000	5.634
j2016_6	5	57.000	57.000	0.000	4.017
j2016_7	5	39.000	39.000	0.000	2.985
j2016_8	5	42.000	42.000	0.000	3.653
j2016_9	5	29.000	29.000	0.000	4.862
j2016_10	5	58.000	58.000	0.000	3.375
j2017_1	5	26.000	26.000	0.000	201.446
j2017_2	5	54.000	42.000	0.222	7200.007
j2017_3	5	49.000	49.000	0.000	33.696
j2017_4	5	48.000	48.000	0.000	89.608
j2017_5	5	28.000	28.000	0.000	82.546
j2017_6	5	54.000	54.000	0.000	492.908
