instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j2021_1	15	inf	-inf	nan	0	inf	7200.000
j2021_2	15	inf	-inf	nan	0	inf	7200.000
j2021_3	15	52.000	33.000	0.365	5	1176.823	7200.000
j2021_4	15	64.000	43.000	0.328	11	584.072	7200.000
j2021_5	15	inf	-inf	nan	0	inf	7200.000
j2021_6	15	39.000	26.000	0.333	3	1541.871	7200.000
j2021_7	15	50.000	31.000	0.380	1	1962.690	7200.000
j2021_8	15	inf	-inf	nan	0	inf	7200.000
j2021_9	15	inf	-inf	nan	0	inf	7200.000
j2021_10	15	inf	-inf	nan	0	inf	7200.000
j2022_1	15	42.000	39.000	0.071	1089	6.595	7200.000
j2022_2	15	48.000	40.000	0.167	1100	6.537	7200.000
j2022_3	15	37.000	25.000	0.324	17	342.978	7200.000
j2022_4	15	41.000	26.000	0.366	3	1526.242	7200.000
j2022_5	15	inf	-inf	nan	0	inf	7200.000
j2022_6	15	39.000	38.000	0.026	905	7.945	7200.000
j2022_7	15	33.000	22.000	0.333	18	366.433	7200.000
j2022_8	15	54.000	36.000	0.333	45	154.510	7200.000
j2022_9	15	33.000	23.000	0.303	160	44.680	7200.000
j2022_10	15	47.000	47.000	0.000	762	2.743	2090.438
j2023_1	15	40.000	40.000	0.000	539	5.824	3139.520
j2023_2	15	36.000	36.000	0.000	1208	4.479	5410.788
j2023_3	15	45.000	45.000	0.000	578	3.242	1874.111
j2023_4	15	40.000	39.000	0.025	983	7.308	7200.000
j2023_5	15	35.000	35.000	0.000	783	5.628	4407.412
j2023_6	15	35.000	25.000	0.286	337	21.104	7200.000
j2023_7	15	30.000	30.000	0.000	419	3.973	1665.010
j2023_8	15	29.000	29.000	0.000	95	2.351	223.772
j2023_9	15	27.000	21.000	0.222	210	34.107	7200.000
j2023_10	15	41.000	41.000	0.000	245	3.668	899.009
j2024_1	15	43.000	43.000	0.000	418	0.986	412.544
j2024_2	15	50.000	48.000	0.040	1645	4.367	7200.000
j2024_3	15	26.000	26.000	0.000	219	1.969	431.538
j2024_4	15	42.000	42.000	0.000	674	2.122	1430.797
j2024_5	15	51.000	47.000	0.078	1802	3.992	7200.000
j2024_6	15	22.000	22.000	0.000	81	1.286	104.604
j2024_7	15	29.000	29.000	0.000	394	0.828	326.699
j2024_8	15	44.000	44.000	0.000	513	4.341	2227.214
j2024_9	15	38.000	38.000	0.000	520	1.264	657.747
j2024_10	15	29.000	29.000	0.000	209	0.867	181.599
j2025_1	15	59.000	38.000	0.356	15	420.551	7200.000
j2025_2	15	32.000	22.000	0.312	93	76.062	7200.000
j2025_3	15	33.000	24.000	0.273	96	73.138	7200.000
j2025_4	15	39.000	26.000	0.333	35	197.016	7200.000
j2025_5	15	47.000	32.000	0.319	103	68.147	7200.000
j2025_6	15	40.000	34.000	0.150	1030	6.971	7200.000
j2025_7	15	40.000	29.000	0.275	88	77.942	7200.000
j2025_8	15	27.000	23.000	0.148	141	50.171	7200.000
j2025_9	15	37.000	25.000	0.324	19	358.603	7200.000
j2025_10	15	50.000	34.000	0.320	34	203.480	7200.000
j2026_1	15	34.000	34.000	0.000	666	1.462	974.001
j2026_2	15	33.000	27.000	0.182	222	32.274	7200.000
j2026_3	15	42.000	42.000	0.000	1105	5.762	6367.380
j2026_4	15	35.000	25.000	0.286	183	39.007	7200.000
j2026_5	15	42.000	42.000	0.000	286	1.947	557.192
j2026_6	15	38.000	27.000	0.289	204	34.884	7200.000
j2026_7	15	23.000	19.000	0.174	209	33.916	7200.000
j2026_8	15	50.000	48.000	0.040	2169	3.318	7200.000
j2026_9	15	34.000	34.000	0.000	226	1.970	445.724
j2026_10	15	70.000	46.000	0.343	48	145.994	7200.000
j2027_1	15	26.000	26.000	0.000	135	0.724	98.294
j2027_2	15	35.000	35.000	0.000	709	1.847	1309.766
j2027_3	15	35.000	35.000	0.000	287	0.923	265.283
j2027_4	15	41.000	41.000	0.000	85	1.096	93.623
j2027_5	15	42.000	42.000	0.000	505	2.620	1323.577
j2027_6	15	34.000	34.000	0.000	216	2.657	574.265
j2027_7	15	42.000	42.000	0.000	84	0.608	51.505
j2027_8	15	34.000	34.000	0.000	510	1.108	565.346
j2027_9	15	35.000	35.000	0.000	803	1.377	1106.077
j2027_10	15	33.000	33.000	0.000	266	1.523	405.462
j2028_1	15	34.000	34.000	0.000	213	0.752	160.612
j2028_2	15	37.000	37.000	0.000	839	2.417	2028.280
j2028_3	15	29.000	29.000	0.000	73	0.638	46.960
j2028_4	15	33.000	33.000	0.000	462	1.802	832.891
j2028_5	15	42.000	42.000	0.000	270	0.742	200.963
j2028_6	15	27.000	27.000	0.000	61	0.796	49.058
j2028_7	15	38.000	35.000	0.079	2400	2.998	7200.000
j2028_8	15	28.000	24.000	0.143	523	13.665	7200.000
j2028_9	15	30.000	30.000	0.000	24	0.467	11.610
j2028_10	15	39.000	39.000	0.000	1262	1.581	1995.507
j2029_1	15	inf	-inf	nan	0	inf	7200.000
j2029_2	15	inf	-inf	nan	0	inf	7200.000
j2029_3	15	inf	-inf	nan	0	inf	7200.000
j2029_4	15	inf	-inf	nan	0	inf	7200.000
j2029_5	15	inf	-inf	nan	0	inf	7200.000
j2029_6	15	inf	-inf	nan	0	inf	7200.000
j2029_7	15	inf	-inf	nan	0	inf	7200.000
j2029_8	15	46.000	30.000	0.348	4	1386.167	7200.000
j2029_9	15	inf	-inf	nan	0	inf	7200.000
j2029_10	15	inf	-inf	nan	0	inf	7200.000
j2030_1	15	45.000	43.000	0.044	1313	5.478	7200.000
j2030_2	15	30.000	19.000	0.367	3	1548.874	7200.000
j2030_3	15	39.000	26.000	0.333	10	557.557	7200.000
j2030_4	15	49.000	49.000	0.000	284	15.474	4395.101
j2030_5	15	43.000	27.000	0.372	2	2215.174	7200.000
j2030_6	15	54.000	40.000	0.259	382	18.715	7200.000
