instance	Gamma	objval	objbound	gap	runtime
j2034_10	15	44.000	44.000	0.000	27.232
j2035_1	15	47.000	47.000	0.000	18.661
j2035_2	15	24.000	24.000	0.000	18.171
j2035_3	15	36.000	36.000	0.000	15.100
j2035_4	15	37.000	37.000	0.000	18.109
j2035_5	15	38.000	38.000	0.000	18.557
j2035_6	15	40.000	40.000	0.000	15.445
j2035_7	15	26.000	26.000	0.000	15.300
j2035_8	15	33.000	33.000	0.000	18.068
j2035_9	15	44.000	44.000	0.000	16.164
j2035_10	15	36.000	36.000	0.000	14.806
j2037_1	15	59.000	46.678	0.209	7200.004
j2037_2	15	47.000	33.596	0.285	7200.015
j2037_3	15	48.000	38.000	0.208	7200.010
j2037_4	15	50.000	43.000	0.140	7200.005
j2037_5	15	66.000	55.000	0.167	7200.004
j2037_6	15	47.000	35.000	0.255	7200.022
j2037_7	15	52.000	30.886	0.406	7200.009
j2037_8	15	41.000	35.000	0.146	7200.031
j2037_9	15	43.000	31.000	0.279	7200.123
j2037_10	15	49.000	35.306	0.279	7200.010
j2038_1	15	34.000	34.000	0.000	110.519
j2038_2	15	41.000	41.000	0.000	5365.179
j2038_3	15	34.000	34.000	0.000	425.056
j2038_4	15	51.000	51.000	0.000	847.058
j2038_5	15	53.000	53.000	0.000	33.534
j2038_6	15	45.000	45.000	0.000	22.479
j2038_7	15	45.000	40.000	0.111	7200.017
j2038_8	15	50.000	50.000	0.000	38.571
j2038_9	15	53.000	53.000	0.000	93.275
j2038_10	15	48.000	48.000	0.000	222.679
j2039_1	15	48.000	48.000	0.000	36.909
j2039_2	15	48.000	48.000	0.000	24.583
j2039_3	15	39.000	39.000	0.000	13.751
j2039_4	15	45.000	45.000	0.000	21.275
j2039_5	15	41.000	41.000	0.000	14.961
j2039_6	15	62.000	62.000	0.000	12.317
j2039_7	15	36.000	36.000	0.000	19.659
j2039_8	15	35.000	35.000	0.000	21.235
j2039_9	15	31.000	31.000	0.000	16.680
j2039_10	15	29.000	29.000	0.000	20.459
j2040_1	15	38.000	38.000	0.000	13.478
j2040_2	15	27.000	27.000	0.000	12.803
j2040_3	15	48.000	48.000	0.000	17.311
j2040_4	15	44.000	44.000	0.000	6.655
j2040_5	15	47.000	47.000	0.000	16.010
j2040_6	15	30.000	30.000	0.000	21.780
j2040_7	15	43.000	43.000	0.000	9.578
j2040_8	15	40.000	40.000	0.000	10.580
j2040_9	15	41.000	41.000	0.000	16.595
j2040_10	15	38.000	38.000	0.000	23.150
j2041_1	15	56.000	56.000	0.000	1380.239
j2041_2	15	43.000	43.000	0.000	2014.579
j2041_3	15	35.000	35.000	0.000	122.665
j2041_4	15	47.000	47.000	0.000	1524.373
j2041_5	15	42.000	42.000	0.000	105.283
j2041_6	15	53.000	46.000	0.132	7200.012
j2041_7	15	32.000	32.000	0.000	990.254
j2041_8	15	38.000	38.000	0.000	1368.103
j2041_9	15	38.000	38.000	0.000	1874.575
j2041_10	15	42.000	42.000	0.000	31.518
j2042_1	15	25.000	25.000	0.000	26.265
j2042_2	15	36.000	36.000	0.000	18.558
j2042_3	15	43.000	43.000	0.000	22.962
j2042_4	15	58.000	58.000	0.000	25.478
j2042_5	15	32.000	32.000	0.000	161.340
j2042_6	15	53.000	53.000	0.000	33.626
j2042_7	15	43.000	43.000	0.000	14.589
j2042_8	15	45.000	45.000	0.000	82.562
j2042_9	15	46.000	46.000	0.000	24.081
j2042_10	15	30.000	30.000	0.000	36.088
j2043_1	15	52.000	52.000	0.000	20.064
j2043_2	15	39.000	39.000	0.000	19.195
j2043_3	15	42.000	42.000	0.000	8.669
j2043_4	15	26.000	26.000	0.000	22.022
j2043_5	15	42.000	42.000	0.000	9.859
j2043_6	15	42.000	42.000	0.000	19.627
j2043_7	15	27.000	27.000	0.000	19.342
j2043_8	15	39.000	39.000	0.000	12.494
j2043_9	15	36.000	36.000	0.000	13.909
j2043_10	15	39.000	39.000	0.000	14.282
j2044_1	15	29.000	29.000	0.000	4.183
j2044_2	15	38.000	38.000	0.000	5.936
j2044_3	15	43.000	43.000	0.000	7.334
j2044_4	15	40.000	40.000	0.000	11.956
j2044_5	15	41.000	41.000	0.000	12.639
j2044_6	15	35.000	35.000	0.000	6.639
j2044_7	15	42.000	42.000	0.000	17.508
j2044_8	15	34.000	34.000	0.000	7.036
j2044_9	15	46.000	46.000	0.000	6.457
j2044_10	15	41.000	41.000	0.000	8.258
j2045_1	15	47.000	29.022	0.383	7200.005
j2045_2	15	52.000	44.000	0.154	7200.022
j2045_3	15	58.000	38.768	0.332	7200.008
j2045_4	15	43.000	31.000	0.279	7200.007
