instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j203_2	5	29.000	29.000	0.000	95	3.620	344.917
j203_5	5	19.000	19.000	0.000	75	3.300	248.867
j205_7	5	inf	-inf	nan	0	inf	7200.000
j206_3	5	34.000	22.000	0.353	5	1127.585	7200.000
j207_3	5	35.000	35.000	0.000	401	14.628	5866.547
j209_1	5	44.000	29.000	0.341	9	705.768	7200.000
j209_2	5	33.000	23.000	0.303	35	189.242	7200.000
j209_3	5	32.000	23.000	0.281	6	625.256	7200.000
j209_5	5	52.000	35.000	0.327	8	625.581	7200.000
j209_6	5	38.000	28.000	0.263	31	199.967	7200.000
j209_7	5	44.000	31.000	0.295	51	134.865	7200.000
j209_8	5	26.000	20.000	0.231	70	100.107	7200.000
j209_9	5	30.000	25.000	0.167	207	34.473	7200.000
j209_10	5	33.000	25.000	0.242	83	81.442	7200.000
j2010_1	5	27.000	27.000	0.000	324	6.369	2064.530
j2010_2	5	37.000	37.000	0.000	364	6.136	2234.263
j2010_3	5	31.000	30.000	0.032	440	16.318	7200.000
j2010_4	5	29.000	29.000	0.000	257	6.210	1596.980
j2010_5	5	33.000	31.000	0.061	653	11.007	7200.000
j2010_6	5	40.000	28.000	0.300	85	83.384	7200.000
j2010_7	5	34.000	34.000	0.000	487	7.744	3771.939
j2010_8	5	27.000	27.000	0.000	61	4.371	268.139
j2010_9	5	31.000	23.000	0.258	23	299.949	7200.000
j2010_10	5	42.000	40.000	0.048	804	8.929	7200.000
j2011_1	5	33.000	33.000	0.000	152	4.971	757.131
j2011_2	5	27.000	27.000	0.000	104	5.287	550.646
j2011_3	5	39.000	39.000	0.000	444	6.543	2905.786
j2011_4	5	46.000	32.000	0.304	63	103.679	7200.000
j2011_5	5	34.000	34.000	0.000	570	6.666	3801.345
j2011_6	5	50.000	50.000	0.000	280	5.150	1443.375
j2011_7	5	36.000	36.000	0.000	230	4.577	1053.635
j2011_8	5	29.000	29.000	0.000	216	4.375	945.828
j2011_9	5	31.000	31.000	0.000	172	4.607	793.314
j2011_10	5	40.000	40.000	0.000	457	5.857	2677.638
j2012_1	5	29.000	29.000	0.000	101	4.341	439.273
j2012_2	5	31.000	31.000	0.000	63	3.294	208.529
j2012_3	5	54.000	54.000	0.000	758	5.569	4222.360
j2012_4	5	28.000	28.000	0.000	166	3.733	620.771
j2012_5	5	36.000	36.000	0.000	580	5.374	3117.598
j2012_6	5	31.000	31.000	0.000	103	3.899	402.566
j2012_7	5	32.000	32.000	0.000	291	3.754	1093.884
j2012_8	5	45.000	45.000	0.000	761	5.691	4331.820
j2012_9	5	48.000	48.000	0.000	681	6.083	4144.169
j2012_10	5	32.000	32.000	0.000	146	4.840	707.539
j2013_1	5	inf	-inf	nan	0	inf	7200.000
j2013_2	5	inf	-inf	nan	0	inf	7200.000
j2013_3	5	inf	-inf	nan	0	inf	7200.000
j2013_4	5	inf	-inf	nan	0	inf	7200.000
j2013_5	5	inf	-inf	nan	0	inf	7200.000
j2013_6	5	inf	-inf	nan	0	inf	7200.000
j2013_7	5	inf	-inf	nan	0	inf	7200.000
j2013_8	5	inf	-inf	nan	0	inf	7200.000
j2013_9	5	inf	-inf	nan	0	inf	7200.000
j2013_10	5	inf	-inf	nan	0	inf	7200.000
j2014_1	5	inf	-inf	nan	0	inf	7200.000
j2014_2	5	38.000	26.000	0.316	10	650.012	7200.000
j2014_3	5	34.000	22.000	0.353	12	552.430	7200.000
j2014_4	5	inf	-inf	nan	0	inf	7200.000
j2014_5	5	inf	-inf	nan	0	inf	7200.000
j2014_6	5	30.000	20.000	0.333	1	3073.677	7200.000
j2014_7	5	43.000	31.000	0.279	44	152.651	7200.000
j2014_8	5	inf	-inf	nan	0	inf	7200.000
j2014_9	5	40.000	26.000	0.350	26	264.374	7200.000
j2014_10	5	38.000	25.000	0.342	13	411.418	7200.000
j2015_1	5	37.000	31.000	0.162	469	15.288	7200.000
j2015_2	5	38.000	38.000	0.000	271	14.819	4017.429
j2015_3	5	40.000	40.000	0.000	311	11.844	3684.903
j2015_4	5	43.000	43.000	0.000	252	10.742	2707.696
j2015_5	5	38.000	32.000	0.158	594	12.099	7200.000
j2015_6	5	30.000	30.000	0.000	297	9.156	2720.056
j2015_7	5	43.000	43.000	0.000	265	8.678	2300.771
j2015_8	5	35.000	35.000	0.000	279	23.907	6670.899
j2015_9	5	32.000	29.000	0.094	431	16.639	7200.000
j2015_10	5	36.000	31.000	0.139	565	12.712	7200.000
j2016_1	5	37.000	32.000	0.135	678	10.581	7200.000
j2016_2	5	36.000	36.000	0.000	551	10.401	5731.736
j2016_3	5	49.000	49.000	0.000	796	5.326	4240.251
j2016_4	5	55.000	44.000	0.200	593	12.113	7200.000
j2016_5	5	31.000	27.000	0.129	433	16.538	7200.000
j2016_6	5	57.000	44.000	0.228	538	13.330	7200.000
j2016_7	5	39.000	39.000	0.000	723	6.354	4595.025
j2016_8	5	42.000	36.000	0.143	519	13.805	7200.000
j2016_9	5	29.000	29.000	0.000	64	5.806	372.975
j2016_10	5	58.000	46.000	0.207	551	13.019	7200.000
j2017_1	5	26.000	19.000	0.269	38	176.759	7200.000
j2017_2	5	56.000	36.000	0.357	1	3402.064	7200.000
j2017_3	5	49.000	36.000	0.265	296	24.155	7200.000
j2017_4	5	48.000	33.000	0.312	16	377.070	7200.000
j2017_5	5	28.000	20.000	0.286	30	199.122	7200.000
j2017_6	5	54.000	37.000	0.315	15	408.877	7200.000
j2017_7	5	41.000	30.000	0.268	30	229.458	7200.000
j2017_8	5	44.000	32.000	0.273	31	196.957	7200.000
j2017_9	5	27.000	19.000	0.296	33	210.591	7200.000
j2017_10	5	43.000	29.000	0.326	3	1584.277	7200.000
j2018_1	5	48.000	48.000	0.000	680	5.844	3974.648
j2018_2	5	42.000	42.000	0.000	330	3.518	1161.620
j2018_3	5	31.000	23.000	0.258	42	160.286	7200.000
j2018_4	5	33.000	25.000	0.242	222	31.981	7200.000
j2018_5	5	36.000	36.000	0.000	114	5.056	577.289
j2018_6	5	34.000	34.000	0.000	281	5.651	1589.322
j2018_7	5	38.000	37.000	0.026	917	7.840	7200.000
j2018_8	5	45.000	45.000	0.000	722	8.106	5854.313
j2018_9	5	32.000	32.000	0.000	278	7.268	2021.489
j2018_10	5	40.000	34.000	0.150	767	9.372	7200.000
j2019_1	5	39.000	39.000	0.000	610	4.666	2846.981
j2019_2	5	31.000	31.000	0.000	60	5.719	344.033
j2019_3	5	42.000	39.000	0.071	834	8.617	7200.000
j2019_4	5	30.000	28.000	0.067	919	7.822	7200.000
j2019_5	5	35.000	35.000	0.000	623	8.182	5098.016
j2019_6	5	52.000	43.000	0.173	907	7.915	7200.000
j2019_7	5	45.000	42.000	0.067	1024	7.019	7200.000
j2019_8	5	32.000	32.000	0.000	146	3.955	578.525
j2019_9	5	30.000	30.000	0.000	254	5.528	1405.045
j2019_10	5	51.000	38.000	0.255	177	39.858	7200.000
j2020_1	5	38.000	38.000	0.000	447	5.162	2308.512
j2020_2	5	44.000	40.000	0.091	1052	6.831	7200.000
j2020_3	5	33.000	33.000	0.000	336	6.397	2150.120
j2020_4	5	36.000	36.000	0.000	278	4.108	1143.422
j2020_5	5	31.000	31.000	0.000	662	6.222	4119.727
j2020_6	5	33.000	33.000	0.000	403	4.962	2000.497
j2020_7	5	39.000	39.000	0.000	153	3.403	521.612
j2020_8	5	25.000	25.000	0.000	73	3.903	286.049
j2020_9	5	51.000	48.000	0.059	749	9.598	7200.000
j2020_10	5	33.000	33.000	0.000	261	3.378	882.528
j2021_1	5	inf	-inf	nan	0	inf	7200.000
j2021_2	5	inf	-inf	nan	0	inf	7200.000
j2021_3	5	inf	-inf	nan	0	inf	7200.000
j2021_4	5	inf	-inf	nan	0	inf	7200.000
j2021_5	5	inf	-inf	nan	0	inf	7200.000
j2021_6	5	inf	-inf	nan	0	inf	7200.000
j2021_7	5	inf	-inf	nan	0	inf	7200.000
j2021_8	5	inf	-inf	nan	0	inf	7200.000
j2021_9	5	inf	-inf	nan	0	inf	7200.000
j2021_10	5	inf	-inf	nan	0	inf	7200.000
j2022_1	5	40.000	31.000	0.225	315	22.723	7200.000
j2022_2	5	45.000	34.000	0.244	135	52.719	7200.000
j2022_3	5	inf	-inf	nan	0	inf	7200.000
j2022_4	5	inf	-inf	nan	0	inf	7200.000
j2022_5	5	inf	-inf	nan	0	inf	7200.000
j2022_6	5	38.000	35.000	0.079	581	12.347	7200.000
j2022_7	5	inf	-inf	nan	0	inf	7200.000
j2022_8	5	inf	-inf	nan	0	inf	7200.000
j2022_9	5	33.000	23.000	0.303	90	61.458	7200.000
j2022_10	5	46.000	41.000	0.109	407	17.605	7200.000
j2023_1	5	39.000	36.000	0.077	463	15.486	7200.000
j2023_2	5	34.000	31.000	0.088	544	13.208	7200.000
j2023_3	5	44.000	43.000	0.023	603	11.905	7200.000
j2023_4	5	37.000	32.000	0.135	405	17.727	7200.000
j2023_5	5	34.000	31.000	0.088	439	16.330	7200.000
j2023_6	5	35.000	24.000	0.314	129	54.434	7200.000
j2023_7	5	29.000	28.000	0.034	538	13.323	7200.000
j2023_8	5	29.000	29.000	0.000	81	7.090	574.986
j2023_9	5	27.000	19.000	0.296	16	379.904	7200.000
j2023_10	5	41.000	41.000	0.000	245	7.742	1897.675
j2024_1	5	41.000	41.000	0.000	358	6.292	2253.692
j2024_2	5	47.000	39.000	0.170	508	14.108	7200.000
