instance	Gamma	objval	objbound	gap	runtime
j203_2	10	29.000	29.000	0.000	11.484
j203_5	10	19.000	19.000	0.000	10.480
j205_7	10	51.000	41.000	0.196	7200.014
j206_3	10	34.000	34.000	0.000	528.872
j207_3	10	35.000	35.000	0.000	21.416
j209_1	10	44.000	44.000	0.000	509.194
j209_2	10	35.000	35.000	0.000	932.028
j209_3	10	33.000	33.000	0.000	1178.942
j209_5	10	55.000	55.000	0.000	1152.006
j209_6	10	39.000	39.000	0.000	134.228
j209_7	10	47.000	47.000	0.000	544.871
j209_8	10	26.000	26.000	0.000	121.718
j209_9	10	31.000	31.000	0.000	21.743
j209_10	10	34.000	34.000	0.000	123.160
j2010_1	10	28.000	28.000	0.000	19.366
j2010_2	10	37.000	37.000	0.000	12.573
j2010_3	10	31.000	31.000	0.000	18.918
j2010_4	10	29.000	29.000	0.000	23.073
j2010_5	10	33.000	33.000	0.000	34.004
j2010_6	10	40.000	40.000	0.000	32.382
j2010_7	10	34.000	34.000	0.000	15.990
j2010_8	10	27.000	27.000	0.000	14.586
j2010_9	10	33.000	33.000	0.000	43.585
j2010_10	10	44.000	44.000	0.000	10.021
j2011_1	10	33.000	33.000	0.000	10.792
j2011_2	10	28.000	28.000	0.000	6.855
j2011_3	10	40.000	40.000	0.000	9.534
j2011_4	10	47.000	47.000	0.000	47.577
j2011_5	10	34.000	34.000	0.000	13.047
j2011_6	10	50.000	50.000	0.000	56.295
j2011_7	10	36.000	36.000	0.000	29.843
j2011_8	10	30.000	30.000	0.000	7.969
j2011_9	10	32.000	32.000	0.000	11.063
j2011_10	10	41.000	41.000	0.000	11.668
j2012_1	10	29.000	29.000	0.000	5.728
j2012_2	10	31.000	31.000	0.000	6.325
j2012_3	10	55.000	55.000	0.000	8.400
j2012_4	10	28.000	28.000	0.000	9.705
j2012_5	10	36.000	36.000	0.000	9.894
j2012_6	10	31.000	31.000	0.000	10.536
j2012_7	10	32.000	32.000	0.000	11.239
j2012_8	10	45.000	45.000	0.000	12.092
j2012_9	10	49.000	49.000	0.000	11.901
j2012_10	10	32.000	32.000	0.000	11.044
j2013_1	10	38.000	30.000	0.211	7200.015
j2013_2	10	56.000	42.000	0.250	7200.004
j2013_3	10	74.000	55.000	0.257	7200.003
j2013_4	10	63.000	55.000	0.127	7200.015
j2013_5	10	52.000	36.000	0.308	7200.018
j2013_6	10	58.000	52.000	0.103	7200.008
j2013_7	10	57.000	34.567	0.394	7200.003
j2013_8	10	51.000	36.000	0.294	7200.015
j2013_9	10	59.000	39.000	0.339	7200.012
j2013_10	10	63.000	44.000	0.302	7200.030
j2014_1	10	38.000	38.000	0.000	958.432
j2014_2	10	39.000	39.000	0.000	156.573
j2014_3	10	34.000	34.000	0.000	314.789
j2014_4	10	45.000	43.000	0.044	7200.022
j2014_5	10	47.000	47.000	0.000	5109.921
j2014_6	10	30.000	30.000	0.000	2974.554
j2014_7	10	45.000	45.000	0.000	26.904
j2014_8	10	41.000	37.000	0.098	7200.015
j2014_9	10	41.000	41.000	0.000	245.140
j2014_10	10	38.000	37.999	0.000	67.607
j2015_1	10	40.000	40.000	0.000	15.038
j2015_2	10	39.000	39.000	0.000	15.515
j2015_3	10	40.000	40.000	0.000	18.571
j2015_4	10	43.000	43.000	0.000	12.121
j2015_5	10	38.000	38.000	0.000	15.373
j2015_6	10	30.000	30.000	0.000	9.909
j2015_7	10	43.000	43.000	0.000	7.623
j2015_8	10	35.000	35.000	0.000	44.121
j2015_9	10	32.000	32.000	0.000	25.700
j2015_10	10	37.000	37.000	0.000	11.763
j2016_1	10	37.000	37.000	0.000	10.108
j2016_2	10	36.000	36.000	0.000	11.358
j2016_3	10	50.000	50.000	0.000	8.521
j2016_4	10	58.000	58.000	0.000	12.170
j2016_5	10	31.000	31.000	0.000	21.767
j2016_6	10	58.000	58.000	0.000	13.409
j2016_7	10	39.000	39.000	0.000	7.725
j2016_8	10	42.000	42.000	0.000	13.402
j2016_9	10	29.000	29.000	0.000	11.589
j2016_10	10	62.000	62.000	0.000	13.251
j2017_1	10	26.000	26.000	0.000	540.034
j2017_2	10	58.000	45.000	0.224	7200.005
j2017_3	10	51.000	51.000	0.000	93.784
j2017_4	10	48.000	48.000	0.000	566.971
j2017_5	10	29.000	29.000	0.000	342.913
j2017_6	10	57.000	57.000	0.000	1883.846
j2017_7	10	42.000	42.000	0.000	210.361
j2017_8	10	44.000	44.000	0.000	45.563
j2017_9	10	27.000	27.000	0.000	648.513
j2017_10	10	44.000	44.000	0.000	1923.007
j2018_1	10	48.000	48.000	0.000	10.958
j2018_2	10	42.000	42.000	0.000	10.454
j2018_3	10	31.000	31.000	0.000	42.040
