instance	Gamma	objval	objbound	gap	runtime
j102_2	0	18.000	18.000	0.000	0.798
j102_4	0	18.000	18.000	0.000	0.623
j102_5	0	14.000	14.000	0.000	2.588
j102_6	0	16.000	16.000	0.000	1.504
j102_7	0	25.000	25.000	0.000	1.376
j102_9	0	17.000	17.000	0.000	8.640
j102_10	0	25.000	25.000	0.000	4.569
j103_2	0	13.000	13.000	0.000	0.809
j103_3	0	18.000	18.000	0.000	1.091
j103_4	0	23.000	23.000	0.000	0.646
j103_5	0	19.000	19.000	0.000	4.536
j103_6	0	29.000	29.000	0.000	5.825
j103_7	0	14.000	14.000	0.000	0.445
j103_8	0	23.000	23.000	0.000	3.370
j103_9	0	20.000	20.000	0.000	1.944
j103_10	0	16.000	16.000	0.000	0.310
j104_1	0	27.000	27.000	0.000	0.809
j104_2	0	20.000	20.000	0.000	1.275
j104_3	0	23.000	23.000	0.000	1.382
j104_4	0	15.000	15.000	0.000	2.834
j104_5	0	31.000	31.000	0.000	3.314
j104_6	0	21.000	21.000	0.000	0.264
j104_8	0	19.000	19.000	0.000	3.862
j104_9	0	21.000	21.000	0.000	1.279
j104_10	0	15.000	15.000	0.000	0.572
j105_1	0	32.000	32.000	0.000	1.918
j105_3	0	13.000	13.000	0.000	0.088
j105_4	0	14.000	14.000	0.000	0.745
j105_6	0	17.000	17.000	0.000	0.087
j105_8	0	21.000	21.000	0.000	3.061
j105_10	0	16.000	16.000	0.000	0.776
j106_1	0	17.000	17.000	0.000	0.488
j106_3	0	22.000	22.000	0.000	0.493
j106_4	0	19.000	19.000	0.000	2.347
j106_5	0	35.000	35.000	0.000	4.126
j106_7	0	20.000	20.000	0.000	3.025
j106_8	0	19.000	19.000	0.000	1.725
j107_1	0	13.000	13.000	0.000	0.501
j107_2	0	21.000	21.000	0.000	2.276
j107_3	0	21.000	21.000	0.000	2.545
j107_4	0	16.000	16.000	0.000	0.237
j107_5	0	24.000	24.000	0.000	0.651
j107_6	0	36.000	36.000	0.000	5.321
j107_8	0	31.000	31.000	0.000	8.593
j107_9	0	28.000	28.000	0.000	4.528
j108_3	0	17.000	17.000	0.000	0.225
j108_5	0	25.000	25.000	0.000	1.634
j108_6	0	23.000	23.000	0.000	3.043
j108_7	0	20.000	20.000	0.000	1.433
j108_8	0	14.000	14.000	0.000	0.730
j108_10	0	23.000	23.000	0.000	4.748
j1010_1	0	17.000	17.000	0.000	0.215
j1010_2	0	22.000	22.000	0.000	0.159
j1010_3	0	21.000	21.000	0.000	0.134
j1010_4	0	15.000	15.000	0.000	0.176
j1010_5	0	22.000	22.000	0.000	0.122
j1010_6	0	13.000	13.000	0.000	0.778
j1010_7	0	13.000	13.000	0.000	0.079
j1010_8	0	11.000	11.000	0.000	0.286
j1010_9	0	10.000	10.000	0.000	0.181
j1010_10	0	13.000	13.000	0.000	0.226
j1011_1	0	20.000	20.000	0.000	0.116
j1011_2	0	11.000	11.000	0.000	0.107
j1011_3	0	12.000	12.000	0.000	0.135
j1011_4	0	23.000	23.000	0.000	0.357
j1011_5	0	15.000	15.000	0.000	0.104
j1011_6	0	15.000	15.000	0.000	0.147
j1011_7	0	11.000	11.000	0.000	0.166
j1011_8	0	14.000	14.000	0.000	0.292
j1011_9	0	16.000	16.000	0.000	0.080
j1011_10	0	21.000	21.000	0.000	0.147
j1012_1	0	15.000	15.000	0.000	0.147
j1012_2	0	15.000	15.000	0.000	0.242
j1012_3	0	16.000	16.000	0.000	0.292
j1012_4	0	17.000	17.000	0.000	0.161
j1012_5	0	13.000	13.000	0.000	0.233
j1012_6	0	22.000	22.000	0.000	0.205
j1012_7	0	12.000	12.000	0.000	0.146
j1012_8	0	19.000	19.000	0.000	0.117
j1012_9	0	21.000	21.000	0.000	0.084
j1012_10	0	9.000	9.000	0.000	0.155
j1013_1	0	16.000	16.000	0.000	0.092
j1013_2	0	17.000	17.000	0.000	0.126
j1013_3	0	17.000	17.000	0.000	0.244
j1013_4	0	19.000	19.000	0.000	0.087
j1013_5	0	11.000	11.000	0.000	0.149
j1013_6	0	18.000	18.000	0.000	0.170
j1013_7	0	13.000	13.000	0.000	0.081
j1013_8	0	10.000	10.000	0.000	0.063
j1013_9	0	15.000	15.000	0.000	0.109
j1013_10	0	13.000	13.000	0.000	0.156
j1014_1	0	13.000	13.000	0.000	0.041
j1014_2	0	14.000	14.000	0.000	0.102
j1014_3	0	18.000	18.000	0.000	0.098
j1014_4	0	17.000	17.000	0.000	0.140
j1014_5	0	19.000	19.000	0.000	0.137
j1014_6	0	14.000	14.000	0.000	0.588
j1014_7	0	15.000	15.000	0.000	0.219
j1014_8	0	19.000	19.000	0.000	0.153
j1014_9	0	20.000	20.000	0.000	0.188
j1014_10	0	9.000	9.000	0.000	0.094
j1015_1	0	12.000	12.000	0.000	0.111
j1015_2	0	25.000	25.000	0.000	0.230
j1015_3	0	15.000	15.000	0.000	0.077
j1015_4	0	11.000	11.000	0.000	0.172
j1015_5	0	7.000	7.000	0.000	0.147
j1015_6	0	19.000	19.000	0.000	0.493
j1015_7	0	8.000	8.000	0.000	0.052
j1015_8	0	10.000	10.000	0.000	0.147
j1015_9	0	14.000	14.000	0.000	0.491
j1015_10	0	18.000	18.000	0.000	0.211
j1016_1	0	13.000	13.000	0.000	0.103
j1016_2	0	17.000	17.000	0.000	0.077
j1016_3	0	12.000	12.000	0.000	0.195
j1016_4	0	21.000	21.000	0.000	0.144
j1016_5	0	25.000	25.000	0.000	0.154
j1016_6	0	21.000	21.000	0.000	1.014
j1016_7	0	12.000	12.000	0.000	0.139
j1016_8	0	9.000	9.000	0.000	0.353
j1016_9	0	16.000	16.000	0.000	0.179
j1016_10	0	26.000	26.000	0.000	0.105
j1018_1	0	14.000	14.000	0.000	0.431
j1018_2	0	15.000	15.000	0.000	0.129
j1018_3	0	16.000	16.000	0.000	0.063
j1018_4	0	18.000	18.000	0.000	0.075
j1018_5	0	13.000	13.000	0.000	0.099
j1018_6	0	15.000	15.000	0.000	0.110
j1018_7	0	12.000	12.000	0.000	0.091
j1018_8	0	16.000	16.000	0.000	0.067
j1018_9	0	13.000	13.000	0.000	0.165
j1018_10	0	14.000	14.000	0.000	0.120
j1019_1	0	13.000	13.000	0.000	0.122
j1019_2	0	15.000	15.000	0.000	0.081
j1019_3	0	16.000	16.000	0.000	0.142
j1019_4	0	15.000	15.000	0.000	0.179
j1019_5	0	13.000	13.000	0.000	0.047
j1019_6	0	17.000	17.000	0.000	0.088
j1019_7	0	14.000	14.000	0.000	0.099
j1019_8	0	15.000	15.000	0.000	0.100
j1019_9	0	12.000	12.000	0.000	0.228
j1019_10	0	11.000	11.000	0.000	0.127
j1020_1	0	12.000	12.000	0.000	0.066
j1020_2	0	18.000	18.000	0.000	0.226
j1020_3	0	21.000	21.000	0.000	0.079
j1020_4	0	17.000	17.000	0.000	0.097
j1020_5	0	12.000	12.000	0.000	0.120
j1020_6	0	20.000	20.000	0.000	0.074
j1020_8	0	12.000	12.000	0.000	0.155
j1020_9	0	9.000	9.000	0.000	0.087
j1020_10	0	10.000	10.000	0.000	0.194
j1021_1	0	17.000	17.000	0.000	0.056
j1021_2	0	13.000	13.000	0.000	0.053
j1021_3	0	26.000	26.000	0.000	0.169
j1021_4	0	12.000	12.000	0.000	0.148
j1021_5	0	23.000	23.000	0.000	0.157
j1021_6	0	14.000	14.000	0.000	0.108
j1021_7	0	11.000	11.000	0.000	0.065
j1021_8	0	12.000	12.000	0.000	0.242
j1021_9	0	12.000	12.000	0.000	0.307
j1021_10	0	16.000	16.000	0.000	0.116
j1022_1	0	18.000	18.000	0.000	0.211
j1022_2	0	10.000	10.000	0.000	0.073
j1022_3	0	20.000	20.000	0.000	0.102
j1022_4	0	13.000	13.000	0.000	0.113
j1022_5	0	12.000	12.000	0.000	0.062
j1022_6	0	16.000	16.000	0.000	0.055
j1022_7	0	8.000	8.000	0.000	0.063
j1022_8	0	17.000	17.000	0.000	0.111
j1022_9	0	18.000	18.000	0.000	0.082
j1022_10	0	16.000	16.000	0.000	0.079
j1023_1	0	13.000	13.000	0.000	0.110
j1023_2	0	15.000	15.000	0.000	0.066
j1023_3	0	16.000	16.000	0.000	0.078
j1023_4	0	16.000	16.000	0.000	0.108
j1023_5	0	14.000	14.000	0.000	0.163
j1023_6	0	18.000	18.000	0.000	0.142
j1023_8	0	18.000	18.000	0.000	0.135
j1023_9	0	11.000	11.000	0.000	0.056
j1023_10	0	15.000	15.000	0.000	0.083
j1024_1	0	8.000	8.000	0.000	0.072
j1024_2	0	14.000	14.000	0.000	0.057
j1024_3	0	10.000	10.000	0.000	0.065
j1024_4	0	15.000	15.000	0.000	0.087
j1024_5	0	14.000	14.000	0.000	0.073
j1024_6	0	16.000	16.000	0.000	0.127
j1024_7	0	17.000	17.000	0.000	0.116
j1024_8	0	25.000	25.000	0.000	0.130
j1024_9	0	10.000	10.000	0.000	0.067
j1024_10	0	15.000	15.000	0.000	0.114
j1026_1	0	14.000	14.000	0.000	0.077
j1026_2	0	11.000	11.000	0.000	0.054
j1026_3	0	16.000	16.000	0.000	0.051
j1026_4	0	14.000	14.000	0.000	0.067
j1026_5	0	17.000	17.000	0.000	0.061
j1026_6	0	18.000	18.000	0.000	0.085
j1026_7	0	14.000	14.000	0.000	0.059
j1026_8	0	15.000	15.000	0.000	0.109
j1026_9	0	11.000	11.000	0.000	0.048
j1026_10	0	15.000	15.000	0.000	0.063
j1027_1	0	15.000	15.000	0.000	0.074
j1027_2	0	12.000	12.000	0.000	0.142
j1027_3	0	15.000	15.000	0.000	0.095
j1027_4	0	15.000	15.000	0.000	0.082
j1027_5	0	16.000	16.000	0.000	0.070
j1027_6	0	14.000	14.000	0.000	0.052
j1027_7	0	10.000	10.000	0.000	0.056
j1027_8	0	12.000	12.000	0.000	0.051
j1027_9	0	15.000	15.000	0.000	0.068
j1027_10	0	14.000	14.000	0.000	0.077
j1028_1	0	19.000	19.000	0.000	0.068
