instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j102_2	10	29.000	29.000	0.000	22	12.586	277.390
j102_4	10	28.000	25.000	0.107	102	34.759	3600.000
j102_5	10	22.000	17.000	0.227	86	41.318	3600.000
j102_6	10	26.000	26.000	0.000	81	41.210	3338.417
j102_7	10	42.000	37.000	0.119	94	37.582	3600.000
j102_9	10	27.000	27.000	0.000	53	38.371	2034.031
j102_10	10	40.000	30.000	0.250	164	21.632	3600.000
j103_2	10	20.000	20.000	0.000	115	9.660	1111.233
j103_3	10	29.000	22.000	0.241	174	20.361	3600.000
j103_4	10	36.000	36.000	0.000	134	23.122	3098.685
j103_5	10	32.000	29.000	0.094	153	23.283	3600.000
j103_6	10	46.000	34.000	0.261	45	77.365	3600.000
j103_7	10	22.000	22.000	0.000	186	5.133	955.020
j103_8	10	37.000	28.000	0.243	91	38.572	3600.000
j103_9	10	32.000	32.000	0.000	150	10.966	1645.411
j103_10	10	25.000	25.000	0.000	105	6.554	688.480
j104_1	10	43.000	34.000	0.209	113	31.450	3600.000
j104_2	10	32.000	26.000	0.188	90	38.866	3600.000
j104_3	10	37.000	36.000	0.027	224	15.928	3600.000
j104_4	10	22.000	18.000	0.182	115	30.923	3600.000
j104_5	10	49.000	35.000	0.286	229	15.560	3600.000
j104_6	10	34.000	29.000	0.147	174	20.534	3600.000
j104_8	10	30.000	25.000	0.167	56	61.164	3600.000
j104_9	10	33.000	32.000	0.030	127	27.939	3600.000
j104_10	10	24.000	24.000	0.000	46	10.821	498.176
j105_1	10	53.000	39.000	0.264	296	12.110	3600.000
j105_3	10	20.000	20.000	0.000	59	0.858	51.061
j105_4	10	22.000	19.000	0.136	202	17.623	3600.000
j105_6	10	27.000	27.000	0.000	69	2.117	146.501
j105_8	10	33.000	26.000	0.212	106	33.477	3600.000
j105_10	10	25.000	23.000	0.080	99	35.655	3600.000
j106_1	10	27.000	27.000	0.000	210	12.196	2561.591
j106_3	10	36.000	33.000	0.083	106	33.410	3600.000
j106_4	10	29.000	24.000	0.172	228	15.658	3600.000
j106_5	10	57.000	42.000	0.263	131	27.254	3600.000
j106_7	10	32.000	24.000	0.250	69	51.218	3600.000
j106_8	10	29.000	25.000	0.138	129	27.585	3600.000
j107_1	10	20.000	20.000	0.000	109	12.383	1350.074
j107_2	10	35.000	35.000	0.000	56	13.235	741.591
j107_3	10	34.000	34.000	0.000	102	20.673	2109.008
j107_4	10	24.000	24.000	0.000	82	6.437	528.231
j107_5	10	39.000	39.000	0.000	34	7.533	256.495
j107_6	10	59.000	38.000	0.356	120	29.680	3600.000
j107_8	10	50.000	50.000	0.000	86	33.529	2883.849
j107_9	10	46.000	46.000	0.000	17	32.404	551.193
j108_3	10	27.000	27.000	0.000	219	13.160	2882.406
j108_5	10	40.000	40.000	0.000	32	8.206	262.933
j108_6	10	36.000	32.000	0.111	199	17.854	3600.000
j108_7	10	32.000	26.000	0.188	115	31.015	3600.000
j108_8	10	21.000	21.000	0.000	116	10.877	1262.099
j108_10	10	36.000	34.000	0.056	132	26.420	3600.000
j1010_1	10	26.000	26.000	0.000	73	2.086	152.611
j1010_2	10	35.000	35.000	0.000	171	1.477	252.973
j1010_3	10	32.000	32.000	0.000	263	1.382	363.817
j1010_4	10	24.000	24.000	0.000	25	2.882	72.390
j1010_5	10	34.000	34.000	0.000	174	3.623	630.827
j1010_6	10	20.000	20.000	0.000	59	9.149	540.301
j1010_7	10	20.000	20.000	0.000	11	1.097	12.433
j1010_8	10	18.000	18.000	0.000	79	8.128	642.527
j1010_9	10	15.000	15.000	0.000	60	3.382	203.315
j1010_10	10	20.000	20.000	0.000	90	13.894	1250.912
j1011_1	10	31.000	31.000	0.000	168	1.169	196.847
j1011_2	10	16.000	16.000	0.000	21	1.389	29.613
j1011_3	10	19.000	19.000	0.000	16	0.932	15.287
j1011_4	10	38.000	38.000	0.000	221	4.818	1065.023
j1011_5	10	24.000	24.000	0.000	105	2.775	291.829
j1011_6	10	23.000	23.000	0.000	142	3.138	445.983
j1011_7	10	17.000	17.000	0.000	50	1.607	80.749
j1011_8	10	23.000	23.000	0.000	48	2.998	144.308
j1011_9	10	24.000	24.000	0.000	87	1.597	139.288
j1011_10	10	33.000	33.000	0.000	138	1.664	230.023
j1012_1	10	25.000	25.000	0.000	50	1.117	56.242
j1012_2	10	24.000	24.000	0.000	14	1.050	15.113
j1012_3	10	25.000	25.000	0.000	90	5.828	524.859
j1012_4	10	27.000	27.000	0.000	58	1.234	71.927
j1012_5	10	21.000	21.000	0.000	29	4.711	137.026
j1012_6	10	35.000	29.000	0.171	287	12.492	3600.000
j1012_7	10	19.000	19.000	0.000	36	2.505	90.658
j1012_8	10	30.000	30.000	0.000	70	0.872	61.462
j1012_9	10	33.000	33.000	0.000	101	1.359	137.725
j1012_10	10	14.000	14.000	0.000	3	0.622	2.282
j1013_1	10	25.000	25.000	0.000	77	1.566	120.944
j1013_2	10	28.000	28.000	0.000	30	3.547	106.824
j1013_3	10	27.000	27.000	0.000	57	1.144	65.624
j1013_4	10	31.000	31.000	0.000	84	1.240	104.661
j1013_5	10	16.000	16.000	0.000	56	2.530	142.100
j1013_6	10	28.000	28.000	0.000	101	4.503	455.247
j1013_7	10	19.000	19.000	0.000	38	0.928	35.632
j1013_8	10	15.000	15.000	0.000	36	1.327	48.171
j1013_9	10	23.000	23.000	0.000	54	1.150	62.520
j1013_10	10	20.000	20.000	0.000	25	2.361	59.412
j1014_1	10	21.000	21.000	0.000	13	0.736	9.898
j1014_2	10	22.000	22.000	0.000	26	0.924	24.399
j1014_3	10	30.000	30.000	0.000	138	14.069	1941.874
j1014_4	10	27.000	27.000	0.000	123	4.621	568.771
j1014_5	10	30.000	30.000	0.000	67	0.935	63.027
j1014_6	10	23.000	23.000	0.000	274	9.716	2662.500
j1014_7	10	24.000	24.000	0.000	59	1.237	73.377
j1014_8	10	30.000	30.000	0.000	138	2.083	287.977
j1014_9	10	32.000	32.000	0.000	98	1.344	132.062
j1014_10	10	14.000	14.000	0.000	13	0.917	12.339
j1015_1	10	20.000	20.000	0.000	54	4.498	243.285
j1015_2	10	39.000	39.000	0.000	530	5.470	2899.360
j1015_3	10	23.000	23.000	0.000	182	5.556	1011.562
j1015_4	10	16.000	16.000	0.000	23	0.723	17.057
j1015_5	10	10.000	10.000	0.000	5	0.571	3.323
j1015_6	10	30.000	26.000	0.133	109	32.517	3600.000
j1015_7	10	13.000	13.000	0.000	9	1.351	12.578
j1015_8	10	16.000	16.000	0.000	12	0.730	9.099
j1015_9	10	21.000	21.000	0.000	89	4.441	395.608
j1015_10	10	27.000	27.000	0.000	152	1.897	288.792
j1016_1	10	21.000	21.000	0.000	12	0.829	10.279
j1016_2	10	27.000	27.000	0.000	32	1.268	41.061
j1016_3	10	18.000	18.000	0.000	71	1.298	92.577
j1016_4	10	33.000	33.000	0.000	287	3.011	864.456
j1016_5	10	40.000	40.000	0.000	115	1.787	205.928
j1016_6	10	33.000	33.000	0.000	71	17.937	1273.962
j1016_7	10	19.000	19.000	0.000	31	3.710	115.380
j1016_8	10	13.000	13.000	0.000	46	3.276	151.099
j1016_9	10	25.000	25.000	0.000	61	1.761	107.936
j1016_10	10	42.000	42.000	0.000	97	1.235	120.261
j1018_1	10	21.000	21.000	0.000	85	2.191	186.645
j1018_2	10	24.000	24.000	0.000	112	5.260	589.510
j1018_3	10	25.000	25.000	0.000	27	1.203	32.903
j1018_4	10	28.000	28.000	0.000	73	4.408	322.228
j1018_5	10	20.000	20.000	0.000	62	1.061	66.225
j1018_6	10	24.000	24.000	0.000	51	1.000	51.446
j1018_7	10	19.000	19.000	0.000	16	0.922	15.105
j1018_8	10	25.000	25.000	0.000	38	1.008	38.833
j1018_9	10	21.000	21.000	0.000	59	1.055	62.637
j1018_10	10	23.000	23.000	0.000	15	0.978	15.089
j1019_1	10	21.000	21.000	0.000	20	0.957	19.612
j1019_2	10	24.000	24.000	0.000	48	1.118	54.055
j1019_3	10	26.000	26.000	0.000	58	2.793	162.479
j1019_4	10	24.000	24.000	0.000	46	5.145	237.080
j1019_5	10	20.000	20.000	0.000	16	0.869	14.326
j1019_6	10	26.000	26.000	0.000	100	1.843	184.752
j1019_7	10	22.000	22.000	0.000	24	0.938	22.890
j1019_8	10	22.000	22.000	0.000	48	1.600	77.235
j1019_9	10	18.000	18.000	0.000	141	8.364	1179.746
j1019_10	10	16.000	16.000	0.000	6	0.552	3.737
j1020_1	10	18.000	18.000	0.000	14	0.731	10.640
j1020_2	10	28.000	26.000	0.071	115	30.959	3600.000
j1020_3	10	34.000	34.000	0.000	90	1.235	111.545
j1020_4	10	27.000	27.000	0.000	70	0.922	64.958
j1020_5	10	19.000	19.000	0.000	56	1.156	65.119
j1020_6	10	31.000	31.000	0.000	142	1.271	180.930
j1020_8	10	18.000	18.000	0.000	28	1.261	35.717
j1020_9	10	14.000	14.000	0.000	22	1.028	23.037
j1020_10	10	16.000	16.000	0.000	4	0.837	3.704
j1021_1	10	27.000	27.000	0.000	46	1.038	48.182
j1021_2	10	19.000	19.000	0.000	28	1.061	30.132
j1021_3	10	42.000	42.000	0.000	263	1.883	495.598
j1021_4	10	18.000	18.000	0.000	43	1.083	46.994
j1021_5	10	37.000	37.000	0.000	261	2.733	713.723
j1021_6	10	21.000	21.000	0.000	74	1.393	103.449
j1021_7	10	17.000	17.000	0.000	25	1.221	30.937
j1021_8	10	19.000	19.000	0.000	53	2.694	143.144
j1021_9	10	19.000	19.000	0.000	98	7.846	769.261
j1021_10	10	25.000	25.000	0.000	56	2.160	121.344
j1022_1	10	28.000	28.000	0.000	75	4.299	322.863
j1022_2	10	16.000	16.000	0.000	11	0.794	9.146
j1022_3	10	31.000	31.000	0.000	65	1.005	65.717
j1022_4	10	21.000	21.000	0.000	21	1.157	24.714
