instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j102_2	3	26.000	26.000	0.000	14	5.206	73.132
j102_4	3	27.000	25.000	0.074	117	30.403	3600.000
j102_5	3	22.000	17.000	0.227	102	34.774	3600.000
j102_6	3	25.000	25.000	0.000	70	24.785	1735.162
j102_7	3	42.000	37.000	0.119	99	35.578	3600.000
j102_9	3	27.000	25.000	0.074	114	30.998	3600.000
j102_10	3	37.000	31.000	0.162	221	16.156	3600.000
j103_2	3	20.000	20.000	0.000	106	6.813	722.462
j103_3	3	28.000	23.000	0.179	163	21.883	3600.000
j103_4	3	34.000	34.000	0.000	93	13.958	1298.338
j103_5	3	30.000	30.000	0.000	141	19.829	2796.094
j103_6	3	42.000	33.000	0.214	61	57.119	3600.000
j103_7	3	20.000	20.000	0.000	122	3.010	367.362
j103_8	3	36.000	28.000	0.222	93	37.958	3600.000
j103_9	3	30.000	30.000	0.000	94	7.133	670.806
j103_10	3	25.000	25.000	0.000	94	4.973	467.668
j104_1	3	38.000	35.000	0.079	138	25.874	3600.000
j104_2	3	30.000	26.000	0.133	118	29.970	3600.000
j104_3	3	35.000	35.000	0.000	200	10.959	2192.186
j104_4	3	21.000	18.000	0.143	151	23.555	3600.000
j104_5	3	43.000	36.000	0.163	317	11.289	3600.000
j104_6	3	33.000	33.000	0.000	169	4.623	781.691
j104_8	3	28.000	25.000	0.107	83	42.560	3600.000
j104_9	3	31.000	31.000	0.000	87	13.489	1173.912
j104_10	3	24.000	24.000	0.000	46	7.349	338.243
j105_1	3	48.000	39.000	0.187	373	9.612	3600.000
j105_3	3	20.000	20.000	0.000	61	0.587	35.961
j105_4	3	21.000	19.000	0.095	230	15.558	3600.000
j105_6	3	27.000	27.000	0.000	62	1.312	81.631
j105_8	3	32.000	26.000	0.187	128	27.856	3600.000
j105_10	3	25.000	24.000	0.040	107	32.889	3600.000
j106_1	3	27.000	27.000	0.000	241	8.112	1955.056
j106_3	3	36.000	34.000	0.056	125	27.972	3600.000
j106_4	3	27.000	24.000	0.111	292	12.218	3600.000
j106_5	3	49.000	42.000	0.143	203	17.561	3600.000
j106_7	3	30.000	25.000	0.167	85	41.592	3600.000
j106_8	3	28.000	26.000	0.071	172	20.790	3600.000
j107_1	3	20.000	20.000	0.000	108	7.841	847.158
j107_2	3	35.000	35.000	0.000	55	8.879	488.705
j107_3	3	32.000	32.000	0.000	74	11.199	828.915
j107_4	3	23.000	23.000	0.000	63	3.425	216.130
j107_5	3	37.000	37.000	0.000	31	5.307	164.842
j107_6	3	53.000	38.000	0.283	160	22.252	3600.000
j107_8	3	45.000	45.000	0.000	105	25.195	2645.699
j107_9	3	44.000	44.000	0.000	15	19.527	293.070
