instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j1062_7	3	13.000	13.000	0.000	4	0.263	1.209
j1062_8	3	17.000	17.000	0.000	10	0.557	5.724
j1062_9	3	23.000	23.000	0.000	26	0.683	17.919
j1062_10	3	27.000	27.000	0.000	25	0.906	22.803
j1063_1	3	23.000	23.000	0.000	26	0.795	20.823
j1063_2	3	26.000	26.000	0.000	109	1.084	118.353
j1063_3	3	26.000	26.000	0.000	67	0.900	60.429
j1063_4	3	18.000	18.000	0.000	10	0.524	5.420
j1063_5	3	17.000	17.000	0.000	40	1.034	41.549
j1063_6	3	22.000	22.000	0.000	12	1.157	14.069
j1063_7	3	23.000	23.000	0.000	32	0.699	22.520
j1063_8	3	12.000	12.000	0.000	3	0.450	1.521
j1063_9	3	15.000	15.000	0.000	8	0.430	3.585
j1063_10	3	14.000	14.000	0.000	18	0.510	9.413
j1064_1	3	26.000	26.000	0.000	23	0.786	18.253
j1064_2	3	21.000	21.000	0.000	31	0.702	21.933
j1064_3	3	21.000	21.000	0.000	35	1.038	36.551
j1064_4	3	21.000	21.000	0.000	11	0.289	3.359
j1064_5	3	25.000	25.000	0.000	92	0.933	85.989
j1064_6	3	18.000	18.000	0.000	22	0.734	16.328
j1064_7	3	18.000	18.000	0.000	26	0.684	17.941
j1064_8	3	22.000	22.000	0.000	14	0.605	8.623
j1064_9	3	28.000	28.000	0.000	29	0.570	16.686
j1064_10	3	23.000	23.000	0.000	54	0.842	45.614
