instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j102_2	5	29.000	29.000	0.000	20	2.099	42.142
j102_4	5	28.000	28.000	0.000	291	5.841	1699.812
j102_5	5	22.000	19.000	0.136	339	21.104	7200.000
j102_6	5	26.000	26.000	0.000	79	4.981	393.649
j102_7	5	42.000	42.000	0.000	299	7.035	2103.670
j102_9	5	27.000	27.000	0.000	115	9.252	1064.033
j102_10	5	35.000	35.000	0.000	523	8.273	4327.011
j103_2	5	20.000	20.000	0.000	108	1.561	168.734
j103_3	5	29.000	25.000	0.138	577	12.373	7200.000
j103_4	5	36.000	36.000	0.000	127	2.357	299.450
j103_5	5	32.000	32.000	0.000	201	3.401	683.615
j103_6	5	46.000	39.000	0.152	581	12.355	7200.000
j103_7	5	22.000	22.000	0.000	189	1.254	237.005
j103_8	5	37.000	32.000	0.135	419	17.080	7200.000
j103_9	5	32.000	32.000	0.000	137	1.071	146.924
j103_10	5	25.000	25.000	0.000	121	2.440	295.392
j104_1	5	43.000	42.000	0.023	641	11.207	7200.000
j104_2	5	32.000	32.000	0.000	465	9.022	4195.375
j104_3	5	37.000	37.000	0.000	250	2.042	510.667
j104_4	5	22.000	22.000	0.000	371	5.738	2128.939
j104_5	5	49.000	40.000	0.184	888	8.085	7200.000
j104_6	5	34.000	34.000	0.000	297	4.102	1218.495
j104_8	5	30.000	30.000	0.000	128	6.030	771.942
j104_9	5	33.000	33.000	0.000	132	2.961	391.014
j104_10	5	24.000	24.000	0.000	51	1.216	62.085
j105_1	5	52.000	46.000	0.115	1371	5.248	7200.000
j105_3	5	20.000	20.000	0.000	57	0.223	12.821
j105_4	5	22.000	21.000	0.045	497	14.405	7200.000
j105_6	5	27.000	27.000	0.000	65	0.411	26.941
j105_8	5	33.000	30.000	0.091	748	9.606	7200.000
j105_10	5	25.000	25.000	0.000	155	9.956	1543.219
j106_1	5	27.000	27.000	0.000	234	3.868	905.289
j106_3	5	36.000	36.000	0.000	188	4.298	808.092
j106_4	5	28.000	27.000	0.036	625	11.478	7200.000
j106_5	5	55.000	47.000	0.145	1126	6.388	7200.000
j106_7	5	32.000	31.000	0.031	833	8.615	7200.000
j106_8	5	29.000	29.000	0.000	299	5.025	1502.440
j107_1	5	20.000	20.000	0.000	109	1.918	209.117
j107_2	5	35.000	35.000	0.000	55	2.056	113.172
j107_3	5	34.000	34.000	0.000	100	3.364	336.493
j107_4	5	24.000	24.000	0.000	76	1.268	96.460
j107_5	5	39.000	39.000	0.000	34	0.965	32.901
j107_6	5	57.000	43.000	0.246	1132	6.349	7200.000
j107_8	5	49.000	49.000	0.000	77	4.445	342.364
j107_9	5	46.000	46.000	0.000	11	3.881	42.796
j108_3	5	27.000	27.000	0.000	200	1.255	251.070
j108_5	5	40.000	40.000	0.000	36	0.875	31.588
j108_6	5	36.000	36.000	0.000	388	3.556	1379.965
j108_7	5	32.000	30.000	0.062	453	15.847	7200.000
j108_8	5	21.000	21.000	0.000	33	1.017	33.725
j108_10	5	36.000	36.000	0.000	133	2.479	329.867
j1010_1	5	26.000	26.000	0.000	64	0.407	26.124
j1010_2	5	35.000	35.000	0.000	169	0.388	65.746
j1010_3	5	32.000	32.000	0.000	270	0.288	77.702
j1010_4	5	24.000	24.000	0.000	36	1.451	52.315
j1010_5	5	34.000	34.000	0.000	191	1.453	277.524
j1010_6	5	20.000	20.000	0.000	54	2.422	131.011
j1010_7	5	20.000	20.000	0.000	13	0.131	1.799
j1010_8	5	18.000	18.000	0.000	84	2.456	206.361
j1010_9	5	15.000	15.000	0.000	57	0.730	41.678
j1010_10	5	20.000	20.000	0.000	84	2.550	214.273
j1011_1	5	31.000	31.000	0.000	236	0.535	126.365
j1011_2	5	16.000	16.000	0.000	31	0.168	5.388
j1011_3	5	19.000	19.000	0.000	20	0.143	3.012
j1011_4	5	38.000	38.000	0.000	228	1.898	432.905
j1011_5	5	24.000	24.000	0.000	75	0.294	22.111
j1011_6	5	23.000	23.000	0.000	121	0.695	84.205
j1011_7	5	17.000	17.000	0.000	37	0.368	13.699
j1011_8	5	23.000	23.000	0.000	53	0.519	27.594
j1011_9	5	24.000	24.000	0.000	85	0.203	17.346
j1011_10	5	33.000	33.000	0.000	144	0.263	38.149
j1012_1	5	25.000	25.000	0.000	51	0.180	9.268
j1012_2	5	24.000	24.000	0.000	13	0.193	2.567
j1012_3	5	25.000	25.000	0.000	103	0.968	99.792
j1012_4	5	27.000	27.000	0.000	54	0.212	11.549
j1012_5	5	21.000	21.000	0.000	34	1.809	61.601
j1012_6	5	35.000	35.000	0.000	549	9.110	5001.496
j1012_7	5	19.000	19.000	0.000	21	0.148	3.273
j1012_8	5	30.000	30.000	0.000	71	0.154	11.011
j1012_9	5	33.000	33.000	0.000	110	0.369	40.692
j1012_10	5	14.000	14.000	0.000	3	0.052	0.223
j1013_1	5	25.000	25.000	0.000	71	0.300	21.394
j1013_2	5	28.000	28.000	0.000	28	0.813	22.857
j1013_3	5	27.000	27.000	0.000	59	0.298	17.658
j1013_4	5	31.000	31.000	0.000	83	0.188	15.754
j1013_5	5	16.000	16.000	0.000	50	0.614	30.750
j1013_6	5	28.000	28.000	0.000	199	2.871	571.438
j1013_7	5	19.000	19.000	0.000	46	0.192	8.930
j1013_8	5	15.000	15.000	0.000	33	0.316	10.509
j1013_9	5	23.000	23.000	0.000	60	0.299	18.055
j1013_10	5	20.000	20.000	0.000	20	0.232	4.720
j1014_1	5	21.000	21.000	0.000	13	0.104	1.525
j1014_2	5	22.000	22.000	0.000	26	0.159	4.216
j1014_3	5	30.000	30.000	0.000	146	1.756	256.428
j1014_4	5	27.000	27.000	0.000	129	1.624	209.591
j1014_5	5	30.000	30.000	0.000	76	0.270	20.575
j1014_6	5	23.000	23.000	0.000	244	2.133	520.525
j1014_7	5	24.000	24.000	0.000	60	0.421	25.372
j1014_8	5	30.000	30.000	0.000	135	0.656	88.702
j1014_9	5	32.000	32.000	0.000	118	0.320	37.812
j1014_10	5	14.000	14.000	0.000	11	0.236	2.688
j1015_1	5	20.000	20.000	0.000	20	0.176	3.602
j1015_2	5	39.000	39.000	0.000	570	3.654	2082.691
j1015_3	5	23.000	23.000	0.000	187	2.468	461.683
j1015_4	5	16.000	16.000	0.000	13	0.181	2.445
j1015_5	5	10.000	10.000	0.000	12	0.137	1.784
j1015_6	5	29.000	29.000	0.000	163	6.591	1074.359
j1015_7	5	13.000	13.000	0.000	8	0.802	6.506
j1015_8	5	16.000	16.000	0.000	13	0.286	3.810
j1015_9	5	21.000	21.000	0.000	87	1.031	89.810
j1015_10	5	27.000	27.000	0.000	175	0.899	157.393
j1016_1	5	21.000	21.000	0.000	13	0.152	2.078
j1016_2	5	27.000	27.000	0.000	32	0.215	7.069
j1016_3	5	18.000	18.000	0.000	72	0.441	31.810
j1016_4	5	33.000	33.000	0.000	290	0.729	211.501
j1016_5	5	40.000	40.000	0.000	101	0.444	44.870
j1016_6	5	33.000	33.000	0.000	69	4.342	299.668
j1016_7	5	19.000	19.000	0.000	33	0.350	11.610
j1016_8	5	13.000	13.000	0.000	55	1.095	60.317
j1016_9	5	25.000	25.000	0.000	57	0.346	19.881
j1016_10	5	42.000	42.000	0.000	95	0.228	21.720
j1018_1	5	21.000	21.000	0.000	80	0.789	63.209
j1018_2	5	24.000	24.000	0.000	126	0.857	108.109
j1018_3	5	25.000	25.000	0.000	31	0.261	8.179
j1018_4	5	28.000	28.000	0.000	58	0.285	16.616
j1018_5	5	20.000	20.000	0.000	55	0.212	11.735
j1018_6	5	24.000	24.000	0.000	50	0.186	9.436
j1018_7	5	19.000	19.000	0.000	18	0.084	1.570
j1018_8	5	25.000	25.000	0.000	34	0.169	5.829
j1018_9	5	21.000	21.000	0.000	50	0.258	12.953
j1018_10	5	23.000	23.000	0.000	15	0.144	2.258
j1019_1	5	21.000	21.000	0.000	16	0.213	3.465
j1019_2	5	24.000	24.000	0.000	50	0.200	10.070
j1019_3	5	26.000	26.000	0.000	58	0.270	15.780
j1019_4	5	24.000	24.000	0.000	55	0.616	33.985
j1019_5	5	20.000	20.000	0.000	16	0.221	3.620
j1019_6	5	26.000	26.000	0.000	109	0.361	39.434
j1019_7	5	22.000	22.000	0.000	24	0.156	3.833
j1019_8	5	22.000	22.000	0.000	68	0.259	17.670
j1019_9	5	18.000	18.000	0.000	106	0.783	83.036
j1019_10	5	16.000	16.000	0.000	12	0.086	1.118
j1020_1	5	18.000	18.000	0.000	11	0.107	1.310
j1020_2	5	28.000	28.000	0.000	146	2.284	333.545
j1020_3	5	34.000	34.000	0.000	88	0.224	19.792
j1020_4	5	27.000	27.000	0.000	72	0.223	16.115
j1020_5	5	19.000	19.000	0.000	59	0.238	14.108
j1020_6	5	31.000	31.000	0.000	139	0.219	30.573
j1020_8	5	18.000	18.000	0.000	34	0.395	13.518
j1020_9	5	14.000	14.000	0.000	15	0.143	2.223
j1020_10	5	16.000	16.000	0.000	4	0.190	0.858
j1021_1	5	27.000	27.000	0.000	45	0.192	8.698
j1021_2	5	19.000	19.000	0.000	25	0.227	5.769
j1021_3	5	42.000	42.000	0.000	263	0.281	74.126
j1021_4	5	18.000	18.000	0.000	32	0.161	5.216
j1021_5	5	37.000	37.000	0.000	227	0.413	93.896
j1021_6	5	21.000	21.000	0.000	84	0.306	25.831
j1021_7	5	17.000	17.000	0.000	25	0.166	4.234
j1021_8	5	19.000	19.000	0.000	63	0.681	42.981
j1021_9	5	19.000	19.000	0.000	114	2.331	265.874
j1021_10	5	25.000	25.000	0.000	60	0.426	25.660
j1022_1	5	28.000	28.000	0.000	80	1.106	88.509
j1022_2	5	16.000	16.000	0.000	42	0.547	23.061
j1022_3	5	31.000	31.000	0.000	58	0.184	10.745
j1022_4	5	21.000	21.000	0.000	22	0.191	4.265
j1022_5	5	19.000	19.000	0.000	33	0.224	7.552
j1022_6	5	24.000	24.000	0.000	33	0.223	7.474
j1022_7	5	12.000	12.000	0.000	4	0.179	0.810
j1022_8	5	27.000	27.000	0.000	78	0.244	19.084
j1022_9	5	29.000	29.000	0.000	30	0.175	5.351
j1022_10	5	26.000	26.000	0.000	28	0.194	5.528
j1023_1	5	21.000	21.000	0.000	19	0.196	3.813
j1023_2	5	23.000	23.000	0.000	53	0.166	8.875
j1023_3	5	25.000	25.000	0.000	72	0.200	14.491
j1023_4	5	24.000	24.000	0.000	45	0.236	10.720
j1023_5	5	23.000	23.000	0.000	26	0.241	6.349
j1023_6	5	28.000	28.000	0.000	64	0.276	17.788
j1023_8	5	29.000	29.000	0.000	67	0.229	15.394
j1023_9	5	17.000	17.000	0.000	37	0.344	12.812
j1023_10	5	24.000	24.000	0.000	10	0.038	0.465
j1024_1	5	11.000	11.000	0.000	7	0.054	0.448
j1024_2	5	22.000	22.000	0.000	42	0.156	6.626
j1024_3	5	16.000	16.000	0.000	12	0.107	1.378
j1024_4	5	23.000	23.000	0.000	90	0.213	19.290
j1024_5	5	22.000	22.000	0.000	37	0.195	7.302
j1024_6	5	26.000	26.000	0.000	27	0.175	4.840
j1024_7	5	27.000	27.000	0.000	61	0.240	14.723
j1024_8	5	40.000	40.000	0.000	109	0.251	27.415
j1024_9	5	16.000	16.000	0.000	56	0.313	17.642
j1024_10	5	24.000	24.000	0.000	130	0.769	100.028
j1026_1	5	22.000	22.000	0.000	31	0.173	5.482
j1026_2	5	16.000	16.000	0.000	9	0.098	0.970
j1026_3	5	26.000	26.000	0.000	29	0.124	3.672
j1026_4	5	22.000	22.000	0.000	14	0.106	1.563
j1026_5	5	27.000	27.000	0.000	82	0.165	13.608
j1026_6	5	28.000	28.000	0.000	111	0.166	18.467
j1026_7	5	22.000	22.000	0.000	23	0.189	4.433
j1026_8	5	24.000	24.000	0.000	27	0.203	5.560
j1026_9	5	18.000	18.000	0.000	4	0.036	0.231
j1026_10	5	24.000	24.000	0.000	22	0.210	4.697
j1027_1	5	24.000	24.000	0.000	39	0.196	7.739
