instance	Gamma	objval	objbound	gap	runtime
j102_2	5	29.000	29.000	0.000	2.499
j102_4	5	28.000	28.000	0.000	4.896
j102_5	5	22.000	22.000	0.000	9.758
j102_6	5	26.000	26.000	0.000	7.117
j102_7	5	42.000	42.000	0.000	2.648
j102_9	5	27.000	27.000	0.000	12.363
j102_10	5	40.000	40.000	0.000	14.413
j103_2	5	20.000	20.000	0.000	2.011
j103_3	5	29.000	29.000	0.000	10.279
j103_4	5	36.000	36.000	0.000	4.414
j103_5	5	32.000	32.000	0.000	4.289
j103_6	5	46.000	46.000	0.000	9.680
j103_7	5	22.000	22.000	0.000	2.802
j103_8	5	37.000	37.000	0.000	9.967
j103_9	5	32.000	32.000	0.000	3.286
j103_10	5	25.000	25.000	0.000	1.984
j104_1	5	43.000	43.000	0.000	2.930
j104_2	5	32.000	32.000	0.000	6.626
j104_3	5	37.000	37.000	0.000	4.364
j104_4	5	22.000	22.000	0.000	9.436
j104_5	5	49.000	49.000	0.000	11.228
j104_6	5	34.000	34.000	0.000	1.693
j104_8	5	30.000	30.000	0.000	10.412
j104_9	5	33.000	33.000	0.000	4.023
j104_10	5	24.000	24.000	0.000	2.920
j105_1	5	52.000	52.000	0.000	1.540
j105_3	5	20.000	20.000	0.000	0.405
j105_4	5	22.000	22.000	0.000	3.875
j105_6	5	27.000	27.000	0.000	0.323
j105_8	5	33.000	33.000	0.000	17.230
j105_10	5	25.000	25.000	0.000	8.835
j106_1	5	27.000	27.000	0.000	2.002
j106_3	5	36.000	36.000	0.000	1.543
j106_4	5	29.000	29.000	0.000	4.473
j106_5	5	55.000	55.000	0.000	7.171
j106_7	5	32.000	32.000	0.000	6.411
j106_8	5	29.000	29.000	0.000	5.862
j107_1	5	20.000	20.000	0.000	4.621
j107_2	5	35.000	35.000	0.000	2.978
j107_3	5	34.000	34.000	0.000	6.177
j107_4	5	24.000	24.000	0.000	0.859
j107_5	5	39.000	39.000	0.000	1.820
j107_6	5	57.000	57.000	0.000	12.909
j107_8	5	49.000	49.000	0.000	16.156
j107_9	5	46.000	46.000	0.000	6.451
j108_3	5	27.000	27.000	0.000	2.178
j108_5	5	40.000	40.000	0.000	2.323
j108_6	5	36.000	36.000	0.000	3.671
j108_7	5	32.000	32.000	0.000	8.945
j108_8	5	21.000	21.000	0.000	2.865
j108_10	5	36.000	36.000	0.000	12.789
j1010_1	5	26.000	26.000	0.000	0.437
j1010_2	5	35.000	35.000	0.000	0.429
j1010_3	5	32.000	32.000	0.000	0.405
j1010_4	5	24.000	24.000	0.000	0.135
j1010_5	5	34.000	34.000	0.000	0.377
j1010_6	5	20.000	20.000	0.000	1.972
j1010_7	5	20.000	20.000	0.000	0.232
j1010_8	5	18.000	18.000	0.000	1.970
j1010_9	5	15.000	15.000	0.000	0.651
j1010_10	5	20.000	20.000	0.000	0.584
j1011_1	5	31.000	31.000	0.000	0.598
j1011_2	5	16.000	16.000	0.000	0.129
j1011_3	5	19.000	19.000	0.000	0.253
j1011_4	5	38.000	38.000	0.000	1.209
j1011_5	5	24.000	24.000	0.000	0.520
j1011_6	5	23.000	23.000	0.000	0.457
j1011_7	5	17.000	17.000	0.000	1.622
j1011_8	5	23.000	23.000	0.000	1.490
j1011_9	5	24.000	24.000	0.000	1.505
j1011_10	5	33.000	33.000	0.000	0.982
j1012_1	5	25.000	25.000	0.000	0.305
j1012_2	5	24.000	24.000	0.000	0.170
j1012_3	5	25.000	25.000	0.000	1.359
j1012_4	5	27.000	27.000	0.000	0.900
j1012_5	5	21.000	21.000	0.000	0.995
j1012_6	5	35.000	35.000	0.000	1.927
j1012_7	5	19.000	19.000	0.000	0.805
j1012_8	5	30.000	30.000	0.000	0.258
j1012_9	5	33.000	33.000	0.000	0.559
j1012_10	5	14.000	14.000	0.000	0.176
j1013_1	5	25.000	25.000	0.000	0.287
j1013_2	5	28.000	28.000	0.000	0.573
j1013_3	5	27.000	27.000	0.000	0.710
j1013_4	5	31.000	31.000	0.000	0.475
j1013_5	5	16.000	16.000	0.000	2.212
j1013_6	5	28.000	28.000	0.000	0.514
j1013_7	5	19.000	19.000	0.000	0.303
j1013_8	5	15.000	15.000	0.000	0.637
j1013_9	5	23.000	23.000	0.000	1.483
j1013_10	5	20.000	20.000	0.000	0.489
j1014_1	5	21.000	21.000	0.000	0.119
j1014_2	5	22.000	22.000	0.000	0.207
j1014_3	5	30.000	30.000	0.000	0.479
j1014_4	5	27.000	27.000	0.000	0.617
j1014_5	5	30.000	30.000	0.000	1.410
j1014_6	5	23.000	23.000	0.000	2.914
j1014_7	5	24.000	24.000	0.000	2.512
