instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j102_2	7	29.000	29.000	0.000	22	7.561	166.714
j102_4	7	28.000	27.000	0.036	208	34.436	7200.000
j102_5	7	22.000	18.000	0.182	171	41.352	7200.000
j102_6	7	26.000	26.000	0.000	79	23.178	1831.254
j102_7	7	42.000	38.000	0.095	208	34.372	7200.000
j102_9	7	27.000	27.000	0.000	85	29.175	2480.094
j102_10	7	40.000	33.000	0.175	339	21.155	7200.000
j103_2	7	20.000	20.000	0.000	129	6.095	786.645
j103_3	7	29.000	23.000	0.207	306	23.401	7200.000
j103_4	7	36.000	36.000	0.000	127	15.595	1980.666
j103_5	7	32.000	32.000	0.000	243	21.161	5142.432
j103_6	7	46.000	36.000	0.217	82	86.367	7200.000
j103_7	7	22.000	22.000	0.000	182	3.140	571.649
j103_8	7	37.000	29.000	0.216	158	45.003	7200.000
j103_9	7	32.000	32.000	0.000	136	6.872	934.979
j103_10	7	25.000	25.000	0.000	119	4.376	520.866
j104_1	7	43.000	36.000	0.163	210	33.793	7200.000
j104_2	7	32.000	27.000	0.156	165	43.132	7200.000
j104_3	7	37.000	37.000	0.000	252	10.947	2758.718
j104_4	7	22.000	19.000	0.136	260	27.494	7200.000
j104_5	7	49.000	37.000	0.245	490	14.659	7200.000
j104_6	7	34.000	33.000	0.029	368	19.480	7200.000
j104_8	7	30.000	27.000	0.100	114	62.527	7200.000
j104_9	7	33.000	33.000	0.000	121	14.505	1755.214
j104_10	7	24.000	24.000	0.000	46	6.928	318.832
j105_1	7	53.000	42.000	0.208	686	10.462	7200.000
j105_3	7	20.000	20.000	0.000	59	0.498	29.542
j105_4	7	22.000	19.000	0.136	286	24.963	7200.000
j105_6	7	27.000	27.000	0.000	69	1.236	85.531
j105_8	7	33.000	27.000	0.182	226	31.540	7200.000
j105_10	7	25.000	24.000	0.040	178	39.671	7200.000
j106_1	7	27.000	27.000	0.000	261	7.108	1855.460
j106_3	7	36.000	36.000	0.000	186	38.603	7180.396
j106_4	7	29.000	26.000	0.103	401	17.867	7200.000
j106_5	7	57.000	43.000	0.246	338	21.223	7200.000
j106_7	7	32.000	26.000	0.188	142	50.102	7200.000
j106_8	7	29.000	28.000	0.034	257	27.849	7200.000
j107_1	7	20.000	20.000	0.000	117	6.741	788.816
j107_2	7	35.000	35.000	0.000	57	7.225	412.001
j107_3	7	34.000	34.000	0.000	103	11.693	1204.556
j107_4	7	24.000	24.000	0.000	83	3.240	269.088
j107_5	7	39.000	39.000	0.000	32	4.651	148.994
j107_6	7	59.000	39.000	0.339	296	24.211	7200.000
j107_8	7	50.000	50.000	0.000	100	22.475	2247.712
j107_9	7	46.000	46.000	0.000	21	25.437	534.346
j108_3	7	27.000	27.000	0.000	213	9.172	1953.851
j108_5	7	40.000	40.000	0.000	35	6.434	225.358
j108_6	7	36.000	35.000	0.028	399	17.944	7200.000
j108_7	7	32.000	28.000	0.125	201	35.305	7200.000
j108_8	7	21.000	21.000	0.000	69	5.799	400.525
j108_10	7	36.000	36.000	0.000	137	15.863	2173.379
