instance	Gamma	objval	objbound	gap	runtime
j102_2	3	26.000	26.000	0.000	1.888
j102_4	3	27.000	27.000	0.000	4.561
j102_5	3	22.000	22.000	0.000	5.732
j102_6	3	25.000	25.000	0.000	3.982
j102_7	3	42.000	42.000	0.000	4.702
j102_9	3	27.000	27.000	0.000	8.118
j102_10	3	37.000	37.000	0.000	16.727
j103_2	3	20.000	20.000	0.000	2.419
j103_3	3	28.000	28.000	0.000	2.664
j103_4	3	34.000	34.000	0.000	1.210
j103_5	3	30.000	30.000	0.000	6.204
j103_6	3	42.000	42.000	0.000	22.823
j103_7	3	20.000	20.000	0.000	0.687
j103_8	3	36.000	36.000	0.000	30.521
j103_9	3	30.000	30.000	0.000	3.059
j103_10	3	25.000	25.000	0.000	0.794
j104_1	3	38.000	38.000	0.000	1.354
j104_2	3	30.000	30.000	0.000	3.612
j104_3	3	35.000	35.000	0.000	2.101
j104_4	3	21.000	21.000	0.000	5.887
j104_5	3	43.000	43.000	0.000	6.332
j104_6	3	33.000	33.000	0.000	2.291
j104_8	3	28.000	28.000	0.000	8.771
j104_9	3	31.000	31.000	0.000	3.612
j104_10	3	24.000	24.000	0.000	0.580
j105_1	3	48.000	48.000	0.000	6.779
j105_3	3	20.000	20.000	0.000	0.165
j105_4	3	21.000	21.000	0.000	2.026
j105_6	3	27.000	27.000	0.000	0.395
j105_8	3	32.000	32.000	0.000	7.683
j105_10	3	25.000	25.000	0.000	2.559
j106_1	3	27.000	27.000	0.000	1.183
j106_3	3	36.000	36.000	0.000	1.735
j106_4	3	27.000	27.000	0.000	4.811
j106_5	3	49.000	49.000	0.000	8.987
j106_7	3	30.000	30.000	0.000	4.956
j106_8	3	28.000	28.000	0.000	5.315
j107_1	3	20.000	20.000	0.000	1.887
j107_2	3	35.000	35.000	0.000	7.979
j107_3	3	32.000	32.000	0.000	4.641
j107_4	3	23.000	23.000	0.000	0.577
j107_5	3	37.000	37.000	0.000	1.861
j107_6	3	53.000	53.000	0.000	10.832
j107_8	3	45.000	45.000	0.000	12.739
j107_9	3	44.000	44.000	0.000	10.377
j108_3	3	27.000	27.000	0.000	0.739
j108_5	3	38.000	38.000	0.000	3.263
j108_6	3	33.000	33.000	0.000	6.883
j108_7	3	30.000	30.000	0.000	4.753
j108_8	3	20.000	20.000	0.000	1.466
j108_10	3	33.000	33.000	0.000	5.365
j1010_1	3	26.000	26.000	0.000	0.341
j1010_2	3	34.000	34.000	0.000	0.276
j1010_3	3	30.000	30.000	0.000	0.649
j1010_4	3	23.000	23.000	0.000	0.489
j1010_5	3	31.000	31.000	0.000	0.341
j1010_6	3	20.000	20.000	0.000	2.224
j1010_7	3	20.000	20.000	0.000	0.098
j1010_8	3	18.000	18.000	0.000	0.935
j1010_9	3	15.000	15.000	0.000	0.374
j1010_10	3	19.000	19.000	0.000	0.754
j1011_1	3	30.000	30.000	0.000	0.195
j1011_2	3	16.000	16.000	0.000	0.273
j1011_3	3	19.000	19.000	0.000	0.563
j1011_4	3	36.000	36.000	0.000	0.795
j1011_5	3	23.000	23.000	0.000	0.476
j1011_6	3	23.000	23.000	0.000	0.188
j1011_7	3	17.000	17.000	0.000	0.849
j1011_8	3	23.000	23.000	0.000	1.182
j1011_9	3	24.000	24.000	0.000	0.171
j1011_10	3	30.000	30.000	0.000	0.490
j1012_1	3	23.000	23.000	0.000	0.191
j1012_2	3	24.000	24.000	0.000	0.506
j1012_3	3	24.000	24.000	0.000	0.997
j1012_4	3	27.000	27.000	0.000	0.275
j1012_5	3	21.000	21.000	0.000	0.341
j1012_6	3	33.000	33.000	0.000	0.642
j1012_7	3	19.000	19.000	0.000	0.538
j1012_8	3	28.000	28.000	0.000	0.217
j1012_9	3	32.000	32.000	0.000	0.381
j1012_10	3	14.000	14.000	0.000	0.258
j1013_1	3	24.000	24.000	0.000	0.260
j1013_2	3	28.000	28.000	0.000	0.452
j1013_3	3	27.000	27.000	0.000	0.548
j1013_4	3	29.000	29.000	0.000	0.354
j1013_5	3	16.000	16.000	0.000	0.681
j1013_6	3	26.000	26.000	0.000	1.536
j1013_7	3	19.000	19.000	0.000	0.141
j1013_8	3	15.000	15.000	0.000	0.296
j1013_9	3	23.000	23.000	0.000	0.228
j1013_10	3	19.000	19.000	0.000	0.372
j1014_1	3	21.000	21.000	0.000	0.325
j1014_2	3	22.000	22.000	0.000	0.366
j1014_3	3	28.000	28.000	0.000	0.473
j1014_4	3	26.000	26.000	0.000	0.444
j1014_5	3	30.000	30.000	0.000	0.518
j1014_6	3	22.000	22.000	0.000	1.637
j1014_7	3	23.000	23.000	0.000	0.347
j1014_8	3	29.000	29.000	0.000	0.653
j1014_9	3	31.000	31.000	0.000	0.717
j1014_10	3	14.000	14.000	0.000	0.171
j1015_1	3	20.000	20.000	0.000	0.385
j1015_2	3	36.000	36.000	0.000	0.889
j1015_3	3	23.000	23.000	0.000	0.218
j1015_4	3	16.000	16.000	0.000	0.216
j1015_5	3	10.000	10.000	0.000	0.444
j1015_6	3	28.000	28.000	0.000	1.066
j1015_7	3	13.000	13.000	0.000	0.182
j1015_8	3	16.000	16.000	0.000	0.269
j1015_9	3	21.000	21.000	0.000	1.433
j1015_10	3	27.000	27.000	0.000	0.319
j1016_1	3	21.000	21.000	0.000	0.287
j1016_2	3	25.000	25.000	0.000	0.299
j1016_3	3	18.000	18.000	0.000	0.574
j1016_4	3	29.000	29.000	0.000	0.343
j1016_5	3	38.000	38.000	0.000	0.294
j1016_6	3	33.000	33.000	0.000	1.598
