instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j102_2	3	26.000	26.000	0.000	16	1.453	23.429
j102_4	3	27.000	27.000	0.000	206	4.381	902.493
j102_5	3	22.000	19.000	0.136	339	21.140	7200.000
j102_6	3	25.000	25.000	0.000	70	4.522	316.681
j102_7	3	42.000	42.000	0.000	366	5.797	2121.744
j102_9	3	27.000	27.000	0.000	85	7.894	671.170
j102_10	3	37.000	36.000	0.027	762	9.425	7200.000
j103_2	3	20.000	20.000	0.000	117	1.587	185.814
j103_3	3	28.000	25.000	0.107	574	12.471	7200.000
j103_4	3	34.000	34.000	0.000	100	2.044	204.510
j103_5	3	30.000	30.000	0.000	140	2.910	407.600
j103_6	3	42.000	39.000	0.071	606	11.813	7200.000
j103_7	3	20.000	20.000	0.000	109	0.703	76.786
j103_8	3	36.000	31.000	0.139	438	16.351	7200.000
j103_9	3	30.000	30.000	0.000	102	1.038	106.019
j103_10	3	25.000	25.000	0.000	109	2.933	319.780
j104_1	3	38.000	38.000	0.000	361	7.594	2741.370
j104_2	3	30.000	30.000	0.000	298	6.925	2063.784
j104_3	3	35.000	35.000	0.000	207	1.396	289.039
j104_4	3	21.000	21.000	0.000	347	5.802	2013.231
j104_5	3	42.000	39.000	0.071	869	8.272	7200.000
j104_6	3	33.000	33.000	0.000	188	1.692	318.200
j104_8	3	28.000	28.000	0.000	126	4.879	614.955
j104_9	3	31.000	31.000	0.000	91	2.321	211.380
j104_10	3	24.000	24.000	0.000	50	1.367	68.494
j105_1	3	48.000	45.000	0.062	1483	4.849	7200.000
j105_3	3	20.000	20.000	0.000	63	0.162	10.340
j105_4	3	21.000	21.000	0.000	482	12.777	6158.873
j105_6	3	27.000	27.000	0.000	64	0.326	21.052
j105_8	3	32.000	30.000	0.062	751	9.573	7200.000
j105_10	3	25.000	25.000	0.000	140	8.758	1226.234
j106_1	3	27.000	27.000	0.000	257	3.835	985.675
j106_3	3	36.000	36.000	0.000	183	3.760	688.317
j106_4	3	27.000	27.000	0.000	587	9.717	5703.877
j106_5	3	49.000	47.000	0.041	1075	6.689	7200.000
j106_7	3	30.000	30.000	0.000	565	5.916	3342.901
j106_8	3	28.000	28.000	0.000	199	3.757	747.726
j107_1	3	20.000	20.000	0.000	133	1.952	259.817
j107_2	3	35.000	35.000	0.000	56	1.354	75.964
j107_3	3	32.000	32.000	0.000	104	3.427	356.596
j107_4	3	23.000	23.000	0.000	66	0.913	60.424
j107_5	3	37.000	37.000	0.000	28	0.648	18.287
j107_6	3	53.000	43.000	0.189	1105	6.507	7200.000
j107_8	3	45.000	45.000	0.000	100	5.347	534.777
j107_9	3	44.000	44.000	0.000	11	2.974	32.794
j108_3	3	27.000	27.000	0.000	155	1.018	157.895
j108_5	3	38.000	38.000	0.000	31	0.670	20.846
j108_6	3	33.000	33.000	0.000	60	1.944	116.744
j108_7	3	30.000	30.000	0.000	270	10.162	2743.727
j108_8	3	20.000	20.000	0.000	31	0.860	26.817
j108_10	3	33.000	33.000	0.000	145	3.280	475.651
j1010_1	3	26.000	26.000	0.000	63	0.371	23.446
j1010_2	3	34.000	34.000	0.000	146	0.356	52.068
j1010_3	3	30.000	30.000	0.000	196	0.214	42.124
j1010_4	3	23.000	23.000	0.000	22	0.307	6.838
j1010_5	3	31.000	31.000	0.000	78	0.488	38.114
j1010_6	3	20.000	20.000	0.000	77	2.230	171.854
j1010_7	3	20.000	20.000	0.000	11	0.141	1.643
j1010_8	3	18.000	18.000	0.000	70	2.749	192.512
j1010_9	3	15.000	15.000	0.000	58	0.592	34.404
j1010_10	3	19.000	19.000	0.000	41	1.823	74.841
j1011_1	3	30.000	30.000	0.000	230	0.473	108.778
j1011_2	3	16.000	16.000	0.000	30	0.212	6.428
j1011_3	3	19.000	19.000	0.000	17	0.124	2.276
j1011_4	3	36.000	36.000	0.000	224	1.721	385.509
j1011_5	3	23.000	23.000	0.000	63	0.245	15.617
j1011_6	3	23.000	23.000	0.000	75	0.402	30.335
j1011_7	3	17.000	17.000	0.000	37	0.379	14.149
j1011_8	3	23.000	23.000	0.000	56	0.398	22.456
j1011_9	3	24.000	24.000	0.000	91	0.216	19.722
j1011_10	3	30.000	30.000	0.000	79	0.208	16.585
j1012_1	3	23.000	23.000	0.000	39	0.163	6.459
j1012_2	3	24.000	24.000	0.000	13	0.161	2.226
j1012_3	3	24.000	24.000	0.000	94	0.866	81.539
j1012_4	3	27.000	27.000	0.000	57	0.210	12.148
j1012_5	3	21.000	21.000	0.000	32	1.157	37.183
j1012_6	3	33.000	33.000	0.000	494	6.212	3068.690
j1012_7	3	19.000	19.000	0.000	22	0.157	3.600
j1012_8	3	28.000	28.000	0.000	50	0.105	5.346
j1012_9	3	32.000	32.000	0.000	115	0.307	35.427
j1012_10	3	14.000	14.000	0.000	4	0.092	0.454
j1013_1	3	24.000	24.000	0.000	54	0.216	11.754
j1013_2	3	28.000	28.000	0.000	28	0.790	22.256
j1013_3	3	27.000	27.000	0.000	54	0.214	11.616
j1013_4	3	29.000	29.000	0.000	76	0.175	13.450
j1013_5	3	16.000	16.000	0.000	80	0.725	58.108
j1013_6	3	26.000	26.000	0.000	100	1.821	182.294
j1013_7	3	19.000	19.000	0.000	33	0.222	7.488
j1013_8	3	15.000	15.000	0.000	14	0.114	1.751
j1013_9	3	23.000	23.000	0.000	57	0.197	11.333
j1013_10	3	19.000	19.000	0.000	15	0.243	3.801
j1014_1	3	21.000	21.000	0.000	13	0.110	1.569
j1014_2	3	22.000	22.000	0.000	25	0.145	3.703
j1014_3	3	28.000	28.000	0.000	110	1.424	156.668
j1014_4	3	26.000	26.000	0.000	128	0.841	107.687
j1014_5	3	30.000	30.000	0.000	80	0.250	20.070
j1014_6	3	22.000	22.000	0.000	194	3.188	618.531
j1014_7	3	23.000	23.000	0.000	49	0.266	13.202
j1014_8	3	29.000	29.000	0.000	128	0.626	80.284
j1014_9	3	31.000	31.000	0.000	213	1.484	316.135
j1014_10	3	14.000	14.000	0.000	13	0.211	2.901
j1015_1	3	20.000	20.000	0.000	18	0.188	3.463
j1015_2	3	36.000	36.000	0.000	487	2.823	1374.873
j1015_3	3	23.000	23.000	0.000	202	3.765	760.715
j1015_4	3	16.000	16.000	0.000	12	0.139	1.749
j1015_5	3	10.000	10.000	0.000	10	0.069	0.835
j1015_6	3	28.000	28.000	0.000	139	7.097	986.543
j1015_7	3	13.000	13.000	0.000	8	0.572	4.675
j1015_8	3	16.000	16.000	0.000	12	0.244	3.079
j1015_9	3	21.000	21.000	0.000	90	1.161	104.647
j1015_10	3	27.000	27.000	0.000	156	0.711	110.957
j1016_1	3	21.000	21.000	0.000	12	0.163	2.040
j1016_2	3	25.000	25.000	0.000	25	0.182	4.687
j1016_3	3	18.000	18.000	0.000	72	0.396	28.592
j1016_4	3	29.000	29.000	0.000	122	0.374	45.706
j1016_5	3	38.000	38.000	0.000	104	0.367	38.321
j1016_6	3	33.000	33.000	0.000	67	4.106	275.170
j1016_7	3	19.000	19.000	0.000	33	0.644	21.331
j1016_8	3	13.000	13.000	0.000	46	1.253	57.787
j1016_9	3	25.000	25.000	0.000	61	0.336	20.635
j1016_10	3	40.000	40.000	0.000	99	0.268	26.575
j1018_1	3	21.000	21.000	0.000	75	0.627	47.128
j1018_2	3	22.000	22.000	0.000	97	0.628	60.983
j1018_3	3	23.000	23.000	0.000	16	0.235	3.920
j1018_4	3	26.000	26.000	0.000	42	0.365	15.463
j1018_5	3	19.000	19.000	0.000	39	0.128	5.068
j1018_6	3	23.000	23.000	0.000	39	0.153	6.098
j1018_7	3	18.000	18.000	0.000	16	0.085	1.447
j1018_8	3	25.000	25.000	0.000	35	0.152	5.426
j1018_9	3	19.000	19.000	0.000	45	0.171	7.764
j1018_10	3	23.000	23.000	0.000	15	0.092	1.463
