instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j102_2	5	29.000	29.000	0.000	21	7.154	150.488
j102_4	5	28.000	27.000	0.036	204	35.085	7200.000
j102_5	5	22.000	18.000	0.182	173	41.177	7200.000
j102_6	5	26.000	26.000	0.000	81	21.903	1774.263
j102_7	5	42.000	39.000	0.071	146	48.776	7200.000
j102_9	5	27.000	27.000	0.000	63	26.577	1674.508
j102_10	5	40.000	33.000	0.175	349	20.469	7200.000
j103_2	5	20.000	20.000	0.000	125	5.729	716.355
j103_3	5	29.000	23.000	0.207	317	22.614	7200.000
j103_4	5	36.000	36.000	0.000	132	13.926	1838.474
j103_5	5	32.000	32.000	0.000	204	18.004	3672.885
j103_6	5	46.000	35.000	0.239	98	72.205	7200.000
j103_7	5	22.000	22.000	0.000	174	3.032	527.746
j103_8	5	37.000	29.000	0.216	166	42.646	7200.000
j103_9	5	32.000	32.000	0.000	125	6.367	796.064
j103_10	5	25.000	25.000	0.000	113	4.076	460.734
j104_1	5	43.000	37.000	0.140	222	31.771	7200.000
j104_2	5	32.000	28.000	0.125	193	36.636	7200.000
j104_3	5	37.000	37.000	0.000	237	9.905	2347.607
j104_4	5	22.000	19.000	0.136	264	27.080	7200.000
j104_5	5	49.000	38.000	0.224	474	15.072	7200.000
j104_6	5	34.000	34.000	0.000	266	10.727	2853.773
j104_8	5	30.000	27.000	0.100	113	62.335	7200.000
j104_9	5	33.000	33.000	0.000	123	14.787	1819.131
j104_10	5	24.000	24.000	0.000	50	5.925	296.394
j105_1	5	52.000	41.000	0.212	511	14.058	7200.000
j105_3	5	20.000	20.000	0.000	62	1.111	69.176
j105_4	5	22.000	19.000	0.136	246	29.069	7200.000
j105_6	5	27.000	27.000	0.000	69	1.158	80.135
j105_8	5	33.000	27.000	0.182	213	33.536	7200.000
j105_10	5	25.000	25.000	0.000	169	35.459	5992.799
j106_1	5	27.000	27.000	0.000	228	6.422	1464.480
j106_3	5	36.000	36.000	0.000	186	35.210	6549.315
j106_4	5	29.000	26.000	0.103	415	17.290	7200.000
j106_5	5	55.000	43.000	0.218	351	20.380	7200.000
j106_7	5	32.000	26.000	0.187	160	44.421	7200.000
j106_8	5	29.000	28.000	0.034	259	27.506	7200.000
j107_1	5	20.000	20.000	0.000	118	6.717	792.804
j107_2	5	35.000	35.000	0.000	55	7.435	409.060
