instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j102_2	0	18.000	18.000	0.000	1	0.942	1.222
j102_4	0	18.000	18.000	0.000	1	8.067	8.220
j102_5	0	14.000	14.000	0.000	1	5.081	5.274
j102_6	0	16.000	16.000	0.000	1	4.726	4.869
j102_7	0	25.000	25.000	0.000	1	2.460	2.608
j102_9	0	17.000	17.000	0.000	1	4.793	4.949
j102_10	0	25.000	25.000	0.000	1	12.772	12.956
j103_2	0	13.000	13.000	0.000	1	1.181	1.471
j103_3	0	18.000	18.000	0.000	1	2.322	2.482
j103_4	0	23.000	23.000	0.000	1	1.592	1.752
j103_5	0	19.000	19.000	0.000	1	3.191	3.342
j103_6	0	29.000	29.000	0.000	1	11.273	11.428
j103_7	0	14.000	14.000	0.000	1	1.059	1.232
j103_8	0	23.000	23.000	0.000	1	3.933	4.104
j103_9	0	20.000	20.000	0.000	1	1.942	2.253
j103_10	0	16.000	16.000	0.000	1	0.640	0.798
j104_1	0	27.000	27.000	0.000	1	2.055	2.215
j104_2	0	20.000	20.000	0.000	1	2.864	3.022
j104_3	0	23.000	23.000	0.000	1	3.599	3.763
j104_4	0	15.000	15.000	0.000	1	4.436	4.593
j104_5	0	31.000	31.000	0.000	1	5.111	5.281
j104_6	0	21.000	21.000	0.000	1	0.668	0.992
j104_8	0	19.000	19.000	0.000	1	6.044	6.194
j104_9	0	21.000	21.000	0.000	1	2.750	2.905
j104_10	0	15.000	15.000	0.000	1	0.842	0.987
j105_1	0	32.000	32.000	0.000	1	4.522	4.655
j105_3	0	13.000	13.000	0.000	1	0.222	0.368
j105_4	0	14.000	14.000	0.000	1	1.660	1.825
j105_6	0	17.000	17.000	0.000	1	0.510	0.772
j105_8	0	21.000	21.000	0.000	1	5.763	5.916
j105_10	0	16.000	16.000	0.000	1	1.578	1.730
j106_1	0	17.000	17.000	0.000	1	0.643	0.793
j106_3	0	22.000	22.000	0.000	1	0.876	1.030
j106_4	0	19.000	19.000	0.000	1	3.432	3.615
j106_5	0	35.000	35.000	0.000	1	6.580	6.751
j106_7	0	20.000	20.000	0.000	1	5.692	6.114
j106_8	0	19.000	19.000	0.000	1	3.730	3.881
j107_1	0	13.000	13.000	0.000	1	0.955	1.146
j107_2	0	21.000	21.000	0.000	1	2.960	3.114
j107_3	0	21.000	21.000	0.000	1	3.380	3.559
j107_4	0	16.000	16.000	0.000	1	0.679	0.835
j107_5	0	24.000	24.000	0.000	1	1.082	1.255
j107_6	0	36.000	36.000	0.000	1	10.626	10.933
j107_8	0	31.000	31.000	0.000	1	5.956	6.125
j107_9	0	28.000	28.000	0.000	1	5.371	5.521
j108_3	0	17.000	17.000	0.000	1	0.582	0.751
j108_5	0	25.000	25.000	0.000	1	2.183	2.336
j108_6	0	23.000	23.000	0.000	1	2.903	3.051
j108_7	0	20.000	20.000	0.000	1	5.488	5.653
j108_8	0	14.000	14.000	0.000	1	1.088	1.471
j108_10	0	23.000	23.000	0.000	1	3.552	3.712
j1010_1	0	17.000	17.000	0.000	1	0.413	0.567
j1010_2	0	22.000	22.000	0.000	1	0.565	0.731
j1010_3	0	21.000	21.000	0.000	1	0.360	0.550
j1010_4	0	15.000	15.000	0.000	1	0.315	0.482
j1010_5	0	22.000	22.000	0.000	1	0.601	0.786
j1010_6	0	13.000	13.000	0.000	1	0.944	1.233
j1010_7	0	13.000	13.000	0.000	1	0.229	0.380
j1010_8	0	11.000	11.000	0.000	1	0.905	1.067
j1010_9	0	10.000	10.000	0.000	1	0.348	0.505
j1010_10	0	13.000	13.000	0.000	1	0.567	0.727
j1011_1	0	20.000	20.000	0.000	1	0.190	0.342
j1011_2	0	11.000	11.000	0.000	1	0.332	0.515
j1011_3	0	12.000	12.000	0.000	1	0.324	0.667
j1011_4	0	23.000	23.000	0.000	1	0.520	0.700
j1011_5	0	15.000	15.000	0.000	1	0.341	0.495
j1011_6	0	15.000	15.000	0.000	1	0.704	0.869
j1011_7	0	11.000	11.000	0.000	1	0.335	0.490
j1011_8	0	14.000	14.000	0.000	1	0.328	0.485
j1011_9	0	16.000	16.000	0.000	1	0.374	0.543
j1011_10	0	21.000	21.000	0.000	1	0.481	0.795
j1012_1	0	15.000	15.000	0.000	1	0.345	0.493
j1012_2	0	15.000	15.000	0.000	1	0.420	0.568
j1012_3	0	16.000	16.000	0.000	1	0.419	0.583
j1012_4	0	17.000	17.000	0.000	1	0.411	0.575
j1012_5	0	13.000	13.000	0.000	1	0.529	0.687
j1012_6	0	22.000	22.000	0.000	1	0.566	0.734
j1012_7	0	12.000	12.000	0.000	1	0.358	0.614
j1012_8	0	19.000	19.000	0.000	1	0.309	0.500
j1012_9	0	21.000	21.000	0.000	1	0.275	0.430
j1012_10	0	9.000	9.000	0.000	1	0.287	0.443
j1013_1	0	16.000	16.000	0.000	1	0.210	0.369
j1013_2	0	17.000	17.000	0.000	1	0.501	0.670
j1013_3	0	17.000	17.000	0.000	1	0.336	0.520
j1013_4	0	19.000	19.000	0.000	1	0.466	0.900
j1013_5	0	11.000	11.000	0.000	1	0.409	0.562
j1013_6	0	18.000	18.000	0.000	1	0.905	1.062
j1013_7	0	13.000	13.000	0.000	1	0.330	0.488
j1013_8	0	10.000	10.000	0.000	1	0.338	0.497
j1013_9	0	15.000	15.000	0.000	1	0.471	0.624
j1013_10	0	13.000	13.000	0.000	1	0.443	0.623
j1014_1	0	13.000	13.000	0.000	1	0.276	0.521
j1014_2	0	14.000	14.000	0.000	1	0.277	0.465
j1014_3	0	18.000	18.000	0.000	1	0.609	0.765
j1014_4	0	17.000	17.000	0.000	1	0.703	0.859
j1014_5	0	19.000	19.000	0.000	1	0.433	0.595
j1014_6	0	14.000	14.000	0.000	1	1.207	1.364
j1014_7	0	15.000	15.000	0.000	1	0.482	0.664
j1014_8	0	19.000	19.000	0.000	1	0.645	0.889
j1014_9	0	20.000	20.000	0.000	1	0.287	0.435
j1014_10	0	9.000	9.000	0.000	1	0.411	0.559
j1015_1	0	12.000	12.000	0.000	1	0.496	0.653
j1015_2	0	25.000	25.000	0.000	1	0.753	0.916
j1015_3	0	15.000	15.000	0.000	1	0.385	0.572
j1015_4	0	11.000	11.000	0.000	1	0.350	0.529
j1015_5	0	7.000	7.000	0.000	1	0.380	0.651
j1015_6	0	19.000	19.000	0.000	1	1.059	1.223
j1015_7	0	8.000	8.000	0.000	1	0.273	0.434
j1015_8	0	10.000	10.000	0.000	1	0.352	0.515
j1015_9	0	14.000	14.000	0.000	1	0.702	0.859
j1015_10	0	18.000	18.000	0.000	1	0.470	0.618
j1016_1	0	13.000	13.000	0.000	1	0.292	0.471
j1016_2	0	17.000	17.000	0.000	1	0.396	0.641
j1016_3	0	12.000	12.000	0.000	1	0.244	0.377
j1016_4	0	21.000	21.000	0.000	1	0.698	0.883
j1016_5	0	25.000	25.000	0.000	1	0.841	1.002
j1016_6	0	21.000	21.000	0.000	1	1.284	1.449
j1016_7	0	12.000	12.000	0.000	1	0.472	0.628
j1016_8	0	9.000	9.000	0.000	1	0.676	0.852
j1016_9	0	16.000	16.000	0.000	1	0.513	0.793
j1016_10	0	26.000	26.000	0.000	1	0.569	0.720
j1018_1	0	14.000	14.000	0.000	1	0.578	0.734
j1018_2	0	15.000	15.000	0.000	1	0.520	0.680
j1018_3	0	16.000	16.000	0.000	1	0.438	0.605
j1018_4	0	18.000	18.000	0.000	1	0.468	0.616
j1018_5	0	13.000	13.000	0.000	1	0.288	0.466
j1018_6	0	15.000	15.000	0.000	1	0.331	0.612
j1018_7	0	12.000	12.000	0.000	1	0.234	0.484
j1018_8	0	16.000	16.000	0.000	1	0.286	0.440
j1018_9	0	13.000	13.000	0.000	1	0.230	0.382
j1018_10	0	14.000	14.000	0.000	1	0.364	0.519
j1019_1	0	13.000	13.000	0.000	1	0.356	0.518
j1019_2	0	15.000	15.000	0.000	1	0.362	0.545
j1019_3	0	16.000	16.000	0.000	1	0.500	0.743
j1019_4	0	15.000	15.000	0.000	1	0.398	0.553
j1019_5	0	13.000	13.000	0.000	1	0.241	0.391
j1019_6	0	17.000	17.000	0.000	1	0.536	0.691
j1019_7	0	14.000	14.000	0.000	1	0.271	0.438
j1019_8	0	15.000	15.000	0.000	1	0.219	0.378
j1019_9	0	12.000	12.000	0.000	1	0.495	0.706
j1019_10	0	11.000	11.000	0.000	1	0.244	0.426
j1020_1	0	12.000	12.000	0.000	1	0.338	0.497
j1020_2	0	18.000	18.000	0.000	1	0.446	0.601
j1020_3	0	21.000	21.000	0.000	1	0.326	0.522
j1020_4	0	17.000	17.000	0.000	1	0.237	0.392
j1020_5	0	12.000	12.000	0.000	1	0.423	0.580
j1020_6	0	20.000	20.000	0.000	1	0.296	0.470
j1020_8	0	12.000	12.000	0.000	1	0.256	0.406
j1020_9	0	9.000	9.000	0.000	1	0.244	0.402
j1020_10	0	10.000	10.000	0.000	1	0.422	0.580
j1021_1	0	17.000	17.000	0.000	1	0.288	0.447
j1021_2	0	13.000	13.000	0.000	1	0.221	0.385
j1021_3	0	26.000	26.000	0.000	1	0.475	0.642
j1021_4	0	12.000	12.000	0.000	1	0.297	0.475
j1021_5	0	23.000	23.000	0.000	1	0.580	0.741
j1021_6	0	14.000	14.000	0.000	1	0.509	0.661
j1021_7	0	11.000	11.000	0.000	1	0.309	0.469
j1021_8	0	12.000	12.000	0.000	1	0.537	0.693
j1021_9	0	12.000	12.000	0.000	1	0.555	0.744
j1021_10	0	16.000	16.000	0.000	1	0.553	0.717
j1022_1	0	18.000	18.000	0.000	1	0.509	0.679
j1022_2	0	10.000	10.000	0.000	1	0.294	0.452
j1022_3	0	20.000	20.000	0.000	1	0.214	0.370
