instance	Gamma	objval	objbound	gap	runtime
j102_2	0	18.000	18.000	0.000	0.642
j102_4	0	18.000	18.000	0.000	0.582
j102_5	0	14.000	14.000	0.000	4.757
j102_6	0	16.000	16.000	0.000	1.384
j102_7	0	25.000	25.000	0.000	0.832
j102_9	0	17.000	17.000	0.000	5.222
j102_10	0	25.000	25.000	0.000	4.204
j103_2	0	13.000	13.000	0.000	0.700
j103_3	0	18.000	18.000	0.000	1.454
j103_4	0	23.000	23.000	0.000	0.662
j103_5	0	19.000	19.000	0.000	1.612
j103_6	0	29.000	29.000	0.000	3.277
j103_7	0	14.000	14.000	0.000	0.518
j103_8	0	23.000	23.000	0.000	2.377
j103_9	0	20.000	20.000	0.000	0.594
j103_10	0	16.000	16.000	0.000	0.556
j104_1	0	27.000	27.000	0.000	0.722
j104_2	0	20.000	20.000	0.000	2.305
j104_3	0	23.000	23.000	0.000	0.763
j104_4	0	15.000	15.000	0.000	2.321
j104_5	0	31.000	31.000	0.000	3.537
j104_6	0	21.000	21.000	0.000	0.506
j104_8	0	19.000	19.000	0.000	3.058
j104_9	0	21.000	21.000	0.000	0.722
j104_10	0	15.000	15.000	0.000	0.412
j105_1	0	32.000	32.000	0.000	0.650
j105_3	0	13.000	13.000	0.000	0.044
j105_4	0	14.000	14.000	0.000	1.238
j105_6	0	17.000	17.000	0.000	0.081
j105_8	0	21.000	21.000	0.000	2.932
j105_10	0	16.000	16.000	0.000	0.760
j106_1	0	17.000	17.000	0.000	0.414
j106_3	0	22.000	22.000	0.000	0.283
j106_4	0	19.000	19.000	0.000	1.868
j106_5	0	35.000	35.000	0.000	1.332
j106_7	0	20.000	20.000	0.000	1.018
j106_8	0	19.000	19.000	0.000	0.723
j107_1	0	13.000	13.000	0.000	0.662
j107_2	0	21.000	21.000	0.000	0.882
j107_3	0	21.000	21.000	0.000	1.288
j107_4	0	16.000	16.000	0.000	0.242
j107_5	0	24.000	24.000	0.000	0.466
j107_6	0	36.000	36.000	0.000	2.763
j107_8	0	31.000	31.000	0.000	4.069
j107_9	0	28.000	28.000	0.000	1.784
j108_3	0	17.000	17.000	0.000	0.095
j108_5	0	25.000	25.000	0.000	0.822
j108_6	0	23.000	23.000	0.000	0.918
j108_7	0	20.000	20.000	0.000	2.549
j108_8	0	14.000	14.000	0.000	0.322
j108_10	0	23.000	23.000	0.000	2.694
j1010_1	0	17.000	17.000	0.000	0.088
j1010_2	0	22.000	22.000	0.000	0.084
j1010_3	0	21.000	21.000	0.000	0.045
j1010_4	0	15.000	15.000	0.000	0.056
j1010_5	0	22.000	22.000	0.000	0.071
j1010_6	0	13.000	13.000	0.000	0.560
j1010_7	0	13.000	13.000	0.000	0.078
j1010_8	0	11.000	11.000	0.000	0.394
j1010_9	0	10.000	10.000	0.000	0.199
j1010_10	0	13.000	13.000	0.000	0.162
j1011_1	0	20.000	20.000	0.000	0.047
j1011_2	0	11.000	11.000	0.000	0.044
j1011_3	0	12.000	12.000	0.000	0.052
j1011_4	0	23.000	23.000	0.000	0.106
j1011_5	0	15.000	15.000	0.000	0.054
j1011_6	0	15.000	15.000	0.000	0.058
j1011_7	0	11.000	11.000	0.000	0.149
j1011_8	0	14.000	14.000	0.000	0.055
j1011_9	0	16.000	16.000	0.000	0.084
j1011_10	0	21.000	21.000	0.000	0.096
j1012_1	0	15.000	15.000	0.000	0.043
j1012_2	0	15.000	15.000	0.000	0.036
j1012_3	0	16.000	16.000	0.000	0.172
j1012_4	0	17.000	17.000	0.000	0.070
j1012_5	0	13.000	13.000	0.000	0.194
j1012_6	0	22.000	22.000	0.000	0.219
j1012_7	0	12.000	12.000	0.000	0.117
j1012_8	0	19.000	19.000	0.000	0.073
j1012_9	0	21.000	21.000	0.000	0.094
j1012_10	0	9.000	9.000	0.000	0.040
j1013_1	0	16.000	16.000	0.000	0.074
j1013_2	0	17.000	17.000	0.000	0.064
j1013_3	0	17.000	17.000	0.000	0.106
j1013_4	0	19.000	19.000	0.000	0.092
j1013_5	0	11.000	11.000	0.000	0.125
j1013_6	0	18.000	18.000	0.000	0.118
j1013_7	0	13.000	13.000	0.000	0.061
j1013_8	0	10.000	10.000	0.000	0.062
j1013_9	0	15.000	15.000	0.000	0.087
j1013_10	0	13.000	13.000	0.000	0.055
j1014_1	0	13.000	13.000	0.000	0.035
j1014_2	0	14.000	14.000	0.000	0.036
j1014_3	0	18.000	18.000	0.000	0.060
j1014_4	0	17.000	17.000	0.000	0.052
j1014_5	0	19.000	19.000	0.000	0.167
j1014_6	0	14.000	14.000	0.000	0.531
j1014_7	0	15.000	15.000	0.000	0.263
j1014_8	0	19.000	19.000	0.000	0.150
j1014_9	0	20.000	20.000	0.000	0.060
j1014_10	0	9.000	9.000	0.000	0.132
j1015_1	0	12.000	12.000	0.000	0.168
j1015_2	0	25.000	25.000	0.000	0.265
j1015_3	0	15.000	15.000	0.000	0.069
j1015_4	0	11.000	11.000	0.000	0.061
j1015_5	0	7.000	7.000	0.000	0.063
j1015_6	0	19.000	19.000	0.000	0.439
j1015_7	0	8.000	8.000	0.000	0.083
j1015_8	0	10.000	10.000	0.000	0.238
j1015_9	0	14.000	14.000	0.000	0.506
j1015_10	0	18.000	18.000	0.000	0.227
j1016_1	0	13.000	13.000	0.000	0.032
j1016_2	0	17.000	17.000	0.000	0.060
j1016_3	0	12.000	12.000	0.000	0.239
j1016_4	0	21.000	21.000	0.000	0.075
