instance	Gamma	objval	objbound	gap	runtime
j102_2	7	29.000	29.000	0.000	4.750
j102_4	7	28.000	28.000	0.000	4.189
j102_5	7	22.000	22.000	0.000	11.560
j102_6	7	26.000	26.000	0.000	17.522
j102_7	7	42.000	42.000	0.000	14.989
j102_9	7	27.000	27.000	0.000	9.199
j102_10	7	40.000	40.000	0.000	71.487
j103_2	7	20.000	20.000	0.000	3.348
j103_3	7	29.000	29.000	0.000	11.188
j103_4	7	36.000	36.000	0.000	12.348
j103_5	7	32.000	32.000	0.000	14.237
j103_6	7	46.000	46.000	0.000	31.625
j103_7	7	22.000	22.000	0.000	4.804
j103_8	7	37.000	37.000	0.000	31.232
j103_9	7	32.000	32.000	0.000	6.619
j103_10	7	25.000	25.000	0.000	3.896
j104_1	7	43.000	43.000	0.000	5.992
j104_2	7	32.000	32.000	0.000	15.226
j104_3	7	37.000	37.000	0.000	6.182
j104_4	7	22.000	22.000	0.000	7.850
j104_5	7	49.000	49.000	0.000	14.861
j104_6	7	34.000	34.000	0.000	2.816
j104_8	7	30.000	30.000	0.000	16.745
j104_9	7	33.000	33.000	0.000	6.571
j104_10	7	24.000	24.000	0.000	1.482
j105_1	7	53.000	53.000	0.000	15.666
j105_3	7	20.000	20.000	0.000	0.613
j105_4	7	22.000	22.000	0.000	3.930
j105_6	7	27.000	27.000	0.000	2.781
j105_8	7	33.000	33.000	0.000	21.662
j105_10	7	25.000	25.000	0.000	5.796
j106_1	7	27.000	27.000	0.000	3.291
j106_3	7	36.000	36.000	0.000	2.996
j106_4	7	29.000	29.000	0.000	15.437
j106_5	7	57.000	57.000	0.000	26.510
j106_7	7	32.000	32.000	0.000	12.057
j106_8	7	29.000	29.000	0.000	7.566
j107_1	7	20.000	20.000	0.000	6.205
j107_2	7	35.000	35.000	0.000	11.521
j107_3	7	34.000	34.000	0.000	7.979
j107_4	7	24.000	24.000	0.000	2.250
j107_5	7	39.000	39.000	0.000	7.197
j107_6	7	59.000	59.000	0.000	38.039
j107_8	7	50.000	50.000	0.000	23.072
j107_9	7	46.000	46.000	0.000	17.495
j108_3	7	27.000	27.000	0.000	4.764
j108_5	7	40.000	40.000	0.000	13.750
j108_6	7	36.000	36.000	0.000	27.215
j108_7	7	32.000	32.000	0.000	8.665
j108_8	7	21.000	21.000	0.000	2.883
j108_10	7	36.000	36.000	0.000	12.156
j1010_1	7	26.000	26.000	0.000	1.564
j1010_2	7	35.000	35.000	0.000	1.608
j1010_3	7	32.000	32.000	0.000	1.253
j1010_4	7	24.000	24.000	0.000	0.759
j1010_5	7	34.000	34.000	0.000	0.709
j1010_6	7	20.000	20.000	0.000	3.143
j1010_7	7	20.000	20.000	0.000	0.664
j1010_8	7	18.000	18.000	0.000	1.272
j1010_9	7	15.000	15.000	0.000	0.610
j1010_10	7	20.000	20.000	0.000	1.372
j1011_1	7	31.000	31.000	0.000	1.202
j1011_2	7	16.000	16.000	0.000	0.227
j1011_3	7	19.000	19.000	0.000	0.401
j1011_4	7	38.000	38.000	0.000	1.577
j1011_5	7	24.000	24.000	0.000	1.493
j1011_6	7	23.000	23.000	0.000	0.515
j1011_7	7	17.000	17.000	0.000	2.698
j1011_8	7	23.000	23.000	0.000	1.677
j1011_9	7	24.000	24.000	0.000	0.627
j1011_10	7	33.000	33.000	0.000	0.730
j1012_1	7	25.000	25.000	0.000	1.625
j1012_2	7	24.000	24.000	0.000	1.865
j1012_3	7	25.000	25.000	0.000	3.068
j1012_4	7	27.000	27.000	0.000	0.632
j1012_5	7	21.000	21.000	0.000	0.496
j1012_6	7	35.000	35.000	0.000	1.360
j1012_7	7	19.000	19.000	0.000	1.023
j1012_8	7	30.000	30.000	0.000	1.166
j1012_9	7	33.000	33.000	0.000	0.655
