instance	Gamma	objval	objbound	gap	runtime
j102_2	7	29.000	29.000	0.000	3.244
j102_4	7	28.000	28.000	0.000	4.119
j102_5	7	22.000	22.000	0.000	17.706
j102_6	7	26.000	26.000	0.000	9.475
j102_7	7	42.000	42.000	0.000	5.146
j102_9	7	27.000	27.000	0.000	15.159
j102_10	7	40.000	40.000	0.000	21.730
j103_2	7	20.000	20.000	0.000	4.979
j103_3	7	29.000	29.000	0.000	12.826
j103_4	7	36.000	36.000	0.000	3.590
j103_5	7	32.000	32.000	0.000	5.678
j103_6	7	46.000	46.000	0.000	17.555
j103_7	7	22.000	22.000	0.000	2.465
j103_8	7	37.000	37.000	0.000	20.170
j103_9	7	32.000	32.000	0.000	3.251
j103_10	7	25.000	25.000	0.000	2.675
j104_1	7	43.000	43.000	0.000	8.002
j104_2	7	32.000	32.000	0.000	20.163
j104_3	7	37.000	37.000	0.000	4.448
j104_4	7	22.000	22.000	0.000	19.304
j104_5	7	49.000	49.000	0.000	12.963
j104_6	7	34.000	34.000	0.000	4.002
j104_8	7	30.000	30.000	0.000	11.994
j104_9	7	33.000	33.000	0.000	4.614
j104_10	7	24.000	24.000	0.000	3.171
j105_1	7	53.000	53.000	0.000	2.528
j105_3	7	20.000	20.000	0.000	0.358
j105_4	7	22.000	22.000	0.000	7.886
j105_6	7	27.000	27.000	0.000	1.068
j105_8	7	33.000	33.000	0.000	14.908
j105_10	7	25.000	25.000	0.000	19.720
j106_1	7	27.000	27.000	0.000	2.021
j106_3	7	36.000	36.000	0.000	2.750
j106_4	7	29.000	29.000	0.000	7.006
j106_5	7	57.000	57.000	0.000	8.864
j106_7	7	32.000	32.000	0.000	6.391
j106_8	7	29.000	29.000	0.000	9.545
j107_1	7	20.000	20.000	0.000	3.154
j107_2	7	35.000	35.000	0.000	4.680
j107_3	7	34.000	34.000	0.000	4.569
j107_4	7	24.000	24.000	0.000	1.842
j107_5	7	39.000	39.000	0.000	3.589
j107_6	7	59.000	59.000	0.000	13.431
j107_8	7	50.000	50.000	0.000	19.503
j107_9	7	46.000	46.000	0.000	11.337
j108_3	7	27.000	27.000	0.000	1.437
j108_5	7	40.000	40.000	0.000	3.225
j108_6	7	36.000	36.000	0.000	3.978
j108_7	7	32.000	32.000	0.000	14.164
j108_8	7	21.000	21.000	0.000	3.487
j108_10	7	36.000	36.000	0.000	10.868
j1010_1	7	26.000	26.000	0.000	0.612
j1010_2	7	35.000	35.000	0.000	1.286
j1010_3	7	32.000	32.000	0.000	0.485
j1010_4	7	24.000	24.000	0.000	0.180
j1010_5	7	34.000	34.000	0.000	1.441
j1010_6	7	20.000	20.000	0.000	3.403
j1010_7	7	20.000	20.000	0.000	0.373
j1010_8	7	18.000	18.000	0.000	2.739
j1010_9	7	15.000	15.000	0.000	2.559
j1010_10	7	20.000	20.000	0.000	2.105
j1011_1	7	31.000	31.000	0.000	0.946
j1011_2	7	16.000	16.000	0.000	0.167
j1011_3	7	19.000	19.000	0.000	0.391
j1011_4	7	38.000	38.000	0.000	1.019
j1011_5	7	24.000	24.000	0.000	0.981
j1011_6	7	23.000	23.000	0.000	1.650
j1011_7	7	17.000	17.000	0.000	0.533
j1011_8	7	23.000	23.000	0.000	1.692
j1011_9	7	24.000	24.000	0.000	0.907
j1011_10	7	33.000	33.000	0.000	0.308
j1012_1	7	25.000	25.000	0.000	0.500
j1012_2	7	24.000	24.000	0.000	0.170
j1012_3	7	25.000	25.000	0.000	1.682
j1012_4	7	27.000	27.000	0.000	0.637
j1012_5	7	21.000	21.000	0.000	1.530
j1012_6	7	35.000	35.000	0.000	0.904
j1012_7	7	19.000	19.000	0.000	1.072
j1012_8	7	30.000	30.000	0.000	0.876
j1012_9	7	33.000	33.000	0.000	1.458
j1012_10	7	14.000	14.000	0.000	0.315
j1013_1	7	25.000	25.000	0.000	0.775
j1013_2	7	28.000	28.000	0.000	1.252
j1013_3	7	27.000	27.000	0.000	1.919
j1013_4	7	31.000	31.000	0.000	1.321
j1013_5	7	16.000	16.000	0.000	2.252
j1013_6	7	28.000	28.000	0.000	2.149
j1013_7	7	19.000	19.000	0.000	0.281
j1013_8	7	15.000	15.000	0.000	0.511
j1013_9	7	23.000	23.000	0.000	0.994
j1013_10	7	20.000	20.000	0.000	0.542
j1014_1	7	21.000	21.000	0.000	0.182
j1014_2	7	22.000	22.000	0.000	0.233
j1014_3	7	30.000	30.000	0.000	1.123
j1014_4	7	27.000	27.000	0.000	1.934
j1014_5	7	30.000	30.000	0.000	1.658
j1014_6	7	23.000	23.000	0.000	4.282
j1014_7	7	24.000	24.000	0.000	1.724
j1014_8	7	30.000	30.000	0.000	1.289
j1014_9	7	32.000	32.000	0.000	1.244
j1014_10	7	14.000	14.000	0.000	0.618
j1015_1	7	20.000	20.000	0.000	0.604
j1015_2	7	39.000	39.000	0.000	1.504
j1015_3	7	23.000	23.000	0.000	0.478
j1015_4	7	16.000	16.000	0.000	0.460
j1015_5	7	10.000	10.000	0.000	0.729
j1015_6	7	30.000	30.000	0.000	2.211
j1015_7	7	13.000	13.000	0.000	0.392
j1015_8	7	16.000	16.000	0.000	0.327
j1015_9	7	21.000	21.000	0.000	1.604
j1015_10	7	27.000	27.000	0.000	2.590
j1016_1	7	21.000	21.000	0.000	0.152
j1016_2	7	27.000	27.000	0.000	0.306
j1016_3	7	18.000	18.000	0.000	0.823
j1016_4	7	33.000	33.000	0.000	1.788
j1016_5	7	40.000	40.000	0.000	1.416
j1016_6	7	33.000	33.000	0.000	4.386
j1016_7	7	19.000	19.000	0.000	0.434
j1016_8	7	13.000	13.000	0.000	1.140
j1016_9	7	25.000	25.000	0.000	1.408
j1016_10	7	42.000	42.000	0.000	1.007
j1018_1	7	21.000	21.000	0.000	1.208
j1018_2	7	24.000	24.000	0.000	0.474
j1018_3	7	25.000	25.000	0.000	0.196
j1018_4	7	28.000	28.000	0.000	1.138
j1018_5	7	20.000	20.000	0.000	0.514
j1018_6	7	24.000	24.000	0.000	1.557
j1018_7	7	19.000	19.000	0.000	0.174
j1018_8	7	25.000	25.000	0.000	0.362
j1018_9	7	21.000	21.000	0.000	1.424
j1018_10	7	23.000	23.000	0.000	0.297
j1019_1	7	21.000	21.000	0.000	1.225
j1019_2	7	24.000	24.000	0.000	0.223
j1019_3	7	26.000	26.000	0.000	0.631
j1019_4	7	24.000	24.000	0.000	1.908
j1019_5	7	20.000	20.000	0.000	1.130
j1019_6	7	26.000	26.000	0.000	0.268
j1019_7	7	22.000	22.000	0.000	0.342
j1019_8	7	22.000	22.000	0.000	0.192
j1019_9	7	18.000	18.000	0.000	1.736
j1019_10	7	16.000	16.000	0.000	0.546
j1020_1	7	18.000	18.000	0.000	0.197
j1020_2	7	28.000	28.000	0.000	0.748
j1020_3	7	34.000	34.000	0.000	2.116
j1020_4	7	27.000	27.000	0.000	0.864
j1020_5	7	19.000	19.000	0.000	1.557
j1020_6	7	31.000	31.000	0.000	0.575
j1020_8	7	18.000	18.000	0.000	0.438
j1020_9	7	14.000	14.000	0.000	0.388
j1020_10	7	16.000	16.000	0.000	0.878
j1021_1	7	27.000	27.000	0.000	0.334
j1021_2	7	19.000	19.000	0.000	0.557
j1021_3	7	42.000	42.000	0.000	1.262
j1021_4	7	18.000	18.000	0.000	1.270
j1021_5	7	37.000	37.000	0.000	1.932
j1021_6	7	21.000	21.000	0.000	0.314
j1021_7	7	17.000	17.000	0.000	0.199
j1021_8	7	19.000	19.000	0.000	1.673
j1021_9	7	19.000	19.000	0.000	3.531
j1021_10	7	25.000	25.000	0.000	1.731
j1022_1	7	28.000	28.000	0.000	0.404
j1022_2	7	16.000	16.000	0.000	0.270
j1022_3	7	31.000	31.000	0.000	0.852
j1022_4	7	21.000	21.000	0.000	0.168
j1022_5	7	19.000	19.000	0.000	0.290
j1022_6	7	24.000	24.000	0.000	0.298
j1022_7	7	12.000	12.000	0.000	0.397
j1022_8	7	27.000	27.000	0.000	1.350
j1022_9	7	29.000	29.000	0.000	0.904
j1022_10	7	26.000	26.000	0.000	0.454
j1023_1	7	21.000	21.000	0.000	0.564
j1023_2	7	23.000	23.000	0.000	0.448
j1023_3	7	25.000	25.000	0.000	1.287
j1023_4	7	24.000	24.000	0.000	0.238
j1023_5	7	23.000	23.000	0.000	0.474
j1023_6	7	28.000	28.000	0.000	0.411
j1023_8	7	29.000	29.000	0.000	1.598
j1023_9	7	17.000	17.000	0.000	0.546
j1023_10	7	24.000	24.000	0.000	0.220
j1024_1	7	11.000	11.000	0.000	0.253
j1024_2	7	22.000	22.000	0.000	0.317
j1024_3	7	16.000	16.000	0.000	0.196
j1024_4	7	23.000	23.000	0.000	0.804
j1024_5	7	22.000	22.000	0.000	0.273
