instance	Gamma	objval	objbound	gap	runtime
j102_2	0	18.000	18.000	0.000	0.750
j102_4	0	18.000	18.000	0.000	0.525
j102_5	0	14.000	14.000	0.000	2.547
j102_6	0	16.000	16.000	0.000	1.523
j102_7	0	25.000	25.000	0.000	1.259
j102_9	0	17.000	17.000	0.000	8.080
j102_10	0	25.000	25.000	0.000	4.375
j103_2	0	13.000	13.000	0.000	0.742
j103_3	0	18.000	18.000	0.000	1.065
j103_4	0	23.000	23.000	0.000	0.614
j103_5	0	19.000	19.000	0.000	4.492
j103_6	0	29.000	29.000	0.000	5.703
j103_7	0	14.000	14.000	0.000	0.469
j103_8	0	23.000	23.000	0.000	3.200
j103_9	0	20.000	20.000	0.000	1.717
j103_10	0	16.000	16.000	0.000	0.287
j104_1	0	27.000	27.000	0.000	0.685
j104_2	0	20.000	20.000	0.000	1.117
j104_3	0	23.000	23.000	0.000	1.260
j104_4	0	15.000	15.000	0.000	2.616
j104_5	0	31.000	31.000	0.000	3.070
j104_6	0	21.000	21.000	0.000	0.256
j104_8	0	19.000	19.000	0.000	3.476
j104_9	0	21.000	21.000	0.000	1.155
j104_10	0	15.000	15.000	0.000	0.462
j105_1	0	32.000	32.000	0.000	1.740
j105_3	0	13.000	13.000	0.000	0.103
j105_4	0	14.000	14.000	0.000	0.625
j105_6	0	17.000	17.000	0.000	0.081
j105_8	0	21.000	21.000	0.000	2.587
j105_10	0	16.000	16.000	0.000	0.719
j106_1	0	17.000	17.000	0.000	0.373
j106_3	0	22.000	22.000	0.000	0.378
j106_4	0	19.000	19.000	0.000	2.166
j106_5	0	35.000	35.000	0.000	3.854
j106_7	0	20.000	20.000	0.000	2.987
j106_8	0	19.000	19.000	0.000	1.725
j107_1	0	13.000	13.000	0.000	0.492
j107_2	0	21.000	21.000	0.000	2.288
j107_3	0	21.000	21.000	0.000	2.497
j107_4	0	16.000	16.000	0.000	0.239
j107_5	0	24.000	24.000	0.000	0.653
j107_6	0	36.000	36.000	0.000	4.782
j107_8	0	31.000	31.000	0.000	7.156
j107_9	0	28.000	28.000	0.000	3.536
j108_3	0	17.000	17.000	0.000	0.189
j108_5	0	25.000	25.000	0.000	1.502
j108_6	0	23.000	23.000	0.000	2.465
j108_7	0	20.000	20.000	0.000	1.244
j108_8	0	14.000	14.000	0.000	0.731
j108_10	0	23.000	23.000	0.000	4.227
j1010_1	0	17.000	17.000	0.000	0.160
j1010_2	0	22.000	22.000	0.000	0.169
j1010_3	0	21.000	21.000	0.000	0.129
j1010_4	0	15.000	15.000	0.000	0.167
j1010_5	0	22.000	22.000	0.000	0.106
j1010_6	0	13.000	13.000	0.000	0.761
j1010_7	0	13.000	13.000	0.000	0.073
j1010_8	0	11.000	11.000	0.000	0.302
j1010_9	0	10.000	10.000	0.000	0.195
j1010_10	0	13.000	13.000	0.000	0.190
j1011_1	0	20.000	20.000	0.000	0.097
j1011_2	0	11.000	11.000	0.000	0.104
j1011_3	0	12.000	12.000	0.000	0.130
j1011_4	0	23.000	23.000	0.000	0.290
j1011_5	0	15.000	15.000	0.000	0.084
j1011_6	0	15.000	15.000	0.000	0.110
j1011_7	0	11.000	11.000	0.000	0.173
j1011_8	0	14.000	14.000	0.000	0.240
j1011_9	0	16.000	16.000	0.000	0.077
j1011_10	0	21.000	21.000	0.000	0.136
j1012_1	0	15.000	15.000	0.000	0.138
j1012_2	0	15.000	15.000	0.000	0.223
j1012_3	0	16.000	16.000	0.000	0.270
j1012_4	0	17.000	17.000	0.000	0.130
j1012_5	0	13.000	13.000	0.000	0.212
j1012_6	0	22.000	22.000	0.000	0.194
j1012_7	0	12.000	12.000	0.000	0.136
j1012_8	0	19.000	19.000	0.000	0.096
j1012_9	0	21.000	21.000	0.000	0.068
j1012_10	0	9.000	9.000	0.000	0.131
j1013_1	0	16.000	16.000	0.000	0.080
j1013_2	0	17.000	17.000	0.000	0.102
j1013_3	0	17.000	17.000	0.000	0.205
j1013_4	0	19.000	19.000	0.000	0.074
j1013_5	0	11.000	11.000	0.000	0.122
j1013_6	0	18.000	18.000	0.000	0.180
j1013_7	0	13.000	13.000	0.000	0.081
j1013_8	0	10.000	10.000	0.000	0.063
j1013_9	0	15.000	15.000	0.000	0.124
j1013_10	0	13.000	13.000	0.000	0.173
j1014_1	0	13.000	13.000	0.000	0.041
j1014_2	0	14.000	14.000	0.000	0.111
j1014_3	0	18.000	18.000	0.000	0.107
j1014_4	0	17.000	17.000	0.000	0.136
j1014_5	0	19.000	19.000	0.000	0.131
j1014_6	0	14.000	14.000	0.000	0.566
j1014_7	0	15.000	15.000	0.000	0.227
j1014_8	0	19.000	19.000	0.000	0.123
j1014_9	0	20.000	20.000	0.000	0.169
j1014_10	0	9.000	9.000	0.000	0.082
j1015_1	0	12.000	12.000	0.000	0.097
j1015_2	0	25.000	25.000	0.000	0.189
j1015_3	0	15.000	15.000	0.000	0.095
j1015_4	0	11.000	11.000	0.000	0.149
j1015_5	0	7.000	7.000	0.000	0.126
j1015_6	0	19.000	19.000	0.000	0.405
j1015_7	0	8.000	8.000	0.000	0.043
j1015_8	0	10.000	10.000	0.000	0.156
j1015_9	0	14.000	14.000	0.000	0.404
j1015_10	0	18.000	18.000	0.000	0.194
j1016_1	0	13.000	13.000	0.000	0.092
j1016_2	0	17.000	17.000	0.000	0.059
j1016_3	0	12.000	12.000	0.000	0.144
j1016_4	0	21.000	21.000	0.000	0.115
