instance	Gamma	objval	objbound	gap	runtime
j102_2	3	26.000	26.000	0.000	0.783
j102_4	3	27.000	27.000	0.000	2.139
j102_5	3	22.000	22.000	0.000	15.455
j102_6	3	25.000	25.000	0.000	3.998
j102_7	3	42.000	42.000	0.000	2.901
j102_9	3	27.000	27.000	0.000	11.190
j102_10	3	37.000	37.000	0.000	16.424
j103_2	3	20.000	20.000	0.000	2.433
j103_3	3	28.000	28.000	0.000	7.602
j103_4	3	34.000	34.000	0.000	1.777
j103_5	3	30.000	30.000	0.000	2.958
j103_6	3	42.000	42.000	0.000	7.517
j103_7	3	20.000	20.000	0.000	1.799
j103_8	3	36.000	36.000	0.000	10.538
j103_9	3	30.000	30.000	0.000	2.744
j103_10	3	25.000	25.000	0.000	3.203
j104_1	3	38.000	38.000	0.000	2.168
j104_2	3	30.000	30.000	0.000	3.152
j104_3	3	35.000	35.000	0.000	3.451
j104_4	3	21.000	21.000	0.000	5.754
j104_5	3	43.000	42.996	0.000	8.012
j104_6	3	33.000	33.000	0.000	1.610
j104_8	3	28.000	28.000	0.000	7.554
j104_9	3	31.000	31.000	0.000	2.166
j104_10	3	24.000	24.000	0.000	2.450
j105_1	3	48.000	48.000	0.000	1.851
j105_3	3	20.000	20.000	0.000	0.272
j105_4	3	21.000	21.000	0.000	2.312
j105_6	3	27.000	27.000	0.000	0.451
j105_8	3	32.000	32.000	0.000	14.777
j105_10	3	25.000	25.000	0.000	6.687
j106_1	3	27.000	27.000	0.000	1.764
j106_3	3	36.000	36.000	0.000	1.366
j106_4	3	27.000	27.000	0.000	4.197
j106_5	3	49.000	49.000	0.000	4.109
j106_7	3	30.000	30.000	0.000	4.131
j106_8	3	28.000	28.000	0.000	2.131
j107_1	3	20.000	20.000	0.000	2.174
j107_2	3	35.000	35.000	0.000	2.571
j107_3	3	32.000	32.000	0.000	2.896
j107_4	3	23.000	23.000	0.000	0.935
j107_5	3	37.000	37.000	0.000	1.689
j107_6	3	53.000	53.000	0.000	10.179
j107_8	3	45.000	45.000	0.000	8.090
j107_9	3	44.000	44.000	0.000	8.751
j108_3	3	27.000	27.000	0.000	1.483
j108_5	3	38.000	38.000	0.000	2.480
j108_6	3	33.000	33.000	0.000	2.419
j108_7	3	30.000	30.000	0.000	6.606
j108_8	3	20.000	20.000	0.000	2.270
j108_10	3	33.000	33.000	0.000	3.960
j1010_1	3	26.000	26.000	0.000	0.335
j1010_2	3	34.000	34.000	0.000	0.315
j1010_3	3	30.000	30.000	0.000	0.325
j1010_4	3	23.000	23.000	0.000	0.142
j1010_5	3	31.000	31.000	0.000	0.418
j1010_6	3	20.000	20.000	0.000	2.766
j1010_7	3	20.000	20.000	0.000	0.167
j1010_8	3	18.000	18.000	0.000	0.999
j1010_9	3	15.000	15.000	0.000	1.595
j1010_10	3	19.000	19.000	0.000	0.565
j1011_1	3	30.000	30.000	0.000	0.302
j1011_2	3	16.000	16.000	0.000	0.131
j1011_3	3	19.000	19.000	0.000	0.375
j1011_4	3	36.000	36.000	0.000	0.885
j1011_5	3	23.000	23.000	0.000	0.720
j1011_6	3	23.000	23.000	0.000	0.229
j1011_7	3	17.000	17.000	0.000	0.367
j1011_8	3	23.000	23.000	0.000	1.332
j1011_9	3	24.000	24.000	0.000	0.244
j1011_10	3	30.000	30.000	0.000	0.533
j1012_1	3	23.000	23.000	0.000	0.125
j1012_2	3	24.000	24.000	0.000	0.158
j1012_3	3	24.000	24.000	0.000	1.371
j1012_4	3	27.000	27.000	0.000	0.335
j1012_5	3	21.000	21.000	0.000	0.804
j1012_6	3	33.000	33.000	0.000	1.264
j1012_7	3	19.000	19.000	0.000	0.454
j1012_8	3	28.000	28.000	0.000	0.616
j1012_9	3	32.000	32.000	0.000	0.373
j1012_10	3	14.000	14.000	0.000	0.146
j1013_1	3	24.000	24.000	0.000	0.278
