instance	Gamma	objval	objbound	gap	runtime
j102_2	5	29.000	29.000	0.000	5.183
j102_4	5	28.000	28.000	0.000	7.669
j102_5	5	22.000	22.000	0.000	10.457
j102_6	5	26.000	26.000	0.000	16.464
j102_7	5	42.000	42.000	0.000	7.078
j102_9	5	27.000	27.000	0.000	16.329
j102_10	5	40.000	40.000	0.000	49.977
j103_2	5	20.000	20.000	0.000	4.567
j103_3	5	29.000	29.000	0.000	12.537
j103_4	5	36.000	36.000	0.000	5.146
j103_5	5	32.000	32.000	0.000	10.046
j103_6	5	46.000	46.000	0.000	36.889
j103_7	5	22.000	22.000	0.000	1.819
j103_8	5	37.000	37.000	0.000	22.594
j103_9	5	32.000	32.000	0.000	5.573
j103_10	5	25.000	25.000	0.000	1.964
j104_1	5	43.000	43.000	0.000	5.379
j104_2	5	32.000	32.000	0.000	9.875
j104_3	5	37.000	37.000	0.000	3.771
j104_4	5	22.000	22.000	0.000	6.183
j104_5	5	49.000	49.000	0.000	10.920
j104_6	5	34.000	34.000	0.000	2.765
j104_8	5	30.000	30.000	0.000	14.113
j104_9	5	33.000	33.000	0.000	14.251
j104_10	5	24.000	24.000	0.000	1.931
j105_1	5	52.000	52.000	0.000	8.958
j105_3	5	20.000	20.000	0.000	0.284
j105_4	5	22.000	22.000	0.000	7.534
j105_6	5	27.000	27.000	0.000	1.506
j105_8	5	33.000	33.000	0.000	21.590
j105_10	5	25.000	25.000	0.000	4.727
j106_1	5	27.000	27.000	0.000	3.158
j106_3	5	36.000	36.000	0.000	3.373
j106_4	5	29.000	29.000	0.000	13.929
j106_5	5	55.000	55.000	0.000	21.536
j106_7	5	32.000	32.000	0.000	11.335
j106_8	5	29.000	29.000	0.000	14.261
j107_1	5	20.000	20.000	0.000	5.286
j107_2	5	35.000	35.000	0.000	16.594
j107_3	5	34.000	34.000	0.000	10.054
j107_4	5	24.000	24.000	0.000	1.519
j107_5	5	39.000	39.000	0.000	10.876
j107_6	5	57.000	57.000	0.000	26.204
j107_8	5	49.000	49.000	0.000	22.272
j107_9	5	46.000	46.000	0.000	15.612
j108_3	5	27.000	27.000	0.000	5.044
j108_5	5	40.000	40.000	0.000	13.032
j108_6	5	36.000	36.000	0.000	8.821
j108_7	5	32.000	32.000	0.000	20.478
j108_8	5	21.000	21.000	0.000	2.574
j108_10	5	36.000	36.000	0.000	13.035
j1010_1	5	26.000	26.000	0.000	1.323
j1010_2	5	35.000	35.000	0.000	0.994
j1010_3	5	32.000	32.000	0.000	0.664
j1010_4	5	24.000	24.000	0.000	1.190
j1010_5	5	34.000	34.000	0.000	0.431
j1010_6	5	20.000	20.000	0.000	2.241
j1010_7	5	20.000	20.000	0.000	0.609
j1010_8	5	18.000	18.000	0.000	2.264
j1010_9	5	15.000	15.000	0.000	1.858
j1010_10	5	20.000	20.000	0.000	1.307
j1011_1	5	31.000	31.000	0.000	1.214
j1011_2	5	16.000	16.000	0.000	0.581
j1011_3	5	19.000	19.000	0.000	0.865
j1011_4	5	38.000	38.000	0.000	0.896
j1011_5	5	24.000	24.000	0.000	1.235
j1011_6	5	23.000	23.000	0.000	1.098
j1011_7	5	17.000	17.000	0.000	1.420
j1011_8	5	23.000	23.000	0.000	2.552
j1011_9	5	24.000	24.000	0.000	0.522
j1011_10	5	33.000	33.000	0.000	0.732
j1012_1	5	25.000	25.000	0.000	1.438
j1012_2	5	24.000	24.000	0.000	0.885
j1012_3	5	25.000	25.000	0.000	2.369
j1012_4	5	27.000	27.000	0.000	0.552
j1012_5	5	21.000	21.000	0.000	0.690
j1012_6	5	35.000	35.000	0.000	1.613
j1012_7	5	19.000	19.000	0.000	1.744
j1012_8	5	30.000	30.000	0.000	0.553
j1012_9	5	33.000	33.000	0.000	0.734
