instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j102_2	7	29.000	29.000	0.000	20	2.234	44.869
j102_4	7	28.000	28.000	0.000	309	6.528	2017.361
j102_5	7	22.000	19.000	0.136	336	21.349	7200.000
j102_6	7	26.000	26.000	0.000	82	6.741	552.856
j102_7	7	42.000	42.000	0.000	296	7.302	2161.598
j102_9	7	27.000	27.000	0.000	54	7.521	406.244
j102_10	7	40.000	36.000	0.100	708	10.154	7200.000
j103_2	7	20.000	20.000	0.000	129	1.587	204.882
j103_3	7	29.000	24.000	0.172	633	11.322	7200.000
j103_4	7	36.000	36.000	0.000	129	2.340	301.989
j103_5	7	32.000	32.000	0.000	251	3.528	885.608
j103_6	7	46.000	41.000	0.109	582	12.336	7200.000
j103_7	7	22.000	22.000	0.000	184	0.920	169.401
j103_8	7	37.000	32.000	0.135	419	17.071	7200.000
j103_9	7	32.000	32.000	0.000	137	1.238	169.767
j103_10	7	25.000	25.000	0.000	145	2.874	416.889
j104_1	7	43.000	40.000	0.070	581	12.334	7200.000
j104_2	7	32.000	32.000	0.000	520	10.214	5311.538
j104_3	7	37.000	37.000	0.000	260	2.088	543.031
j104_4	7	22.000	22.000	0.000	356	5.806	2067.042
j104_5	7	49.000	39.000	0.204	875	8.202	7200.000
j104_6	7	34.000	34.000	0.000	214	1.608	344.305
j104_8	7	30.000	30.000	0.000	153	5.987	916.199
j104_9	7	33.000	33.000	0.000	123	2.425	298.365
j104_10	7	24.000	24.000	0.000	44	1.218	53.766
j105_1	7	53.000	46.000	0.132	1413	5.090	7200.000
j105_3	7	20.000	20.000	0.000	58	0.146	8.643
j105_4	7	22.000	21.000	0.045	485	14.809	7200.000
j105_6	7	27.000	27.000	0.000	67	0.461	31.054
j105_8	7	33.000	29.000	0.121	748	9.594	7200.000
j105_10	7	25.000	25.000	0.000	150	10.189	1528.545
j106_1	7	27.000	27.000	0.000	207	4.419	914.909
j106_3	7	36.000	36.000	0.000	193	4.058	783.363
j106_4	7	28.000	27.000	0.036	628	11.407	7200.000
j106_5	7	57.000	46.000	0.193	1024	7.023	7200.000
j106_7	7	32.000	31.000	0.031	817	8.795	7200.000
j106_8	7	29.000	29.000	0.000	299	5.026	1502.884
j107_1	7	20.000	20.000	0.000	120	2.274	272.977
j107_2	7	35.000	35.000	0.000	57	1.655	94.424
j107_3	7	34.000	34.000	0.000	99	3.544	350.976
j107_4	7	24.000	24.000	0.000	80	1.502	120.242
j107_5	7	39.000	39.000	0.000	34	0.683	23.318
j107_6	7	59.000	43.000	0.271	1099	6.538	7200.000
j107_8	7	50.000	50.000	0.000	82	4.569	374.847
j107_9	7	46.000	46.000	0.000	11	3.067	33.818
j108_3	7	27.000	27.000	0.000	178	1.139	202.766
j108_5	7	40.000	40.000	0.000	37	0.634	23.554
j108_6	7	36.000	36.000	0.000	457	4.279	1955.455
j108_7	7	32.000	30.000	0.062	444	16.149	7200.000
j108_8	7	21.000	21.000	0.000	31	1.311	40.783
j108_10	7	36.000	36.000	0.000	140	3.035	424.977
j1010_1	7	26.000	26.000	0.000	63	0.372	23.519
j1010_2	7	35.000	35.000	0.000	172	0.393	67.620
j1010_3	7	32.000	32.000	0.000	286	0.274	78.594
j1010_4	7	24.000	24.000	0.000	25	1.092	27.384
j1010_5	7	34.000	34.000	0.000	184	1.373	252.683
j1010_6	7	20.000	20.000	0.000	62	2.293	142.369
j1010_7	7	20.000	20.000	0.000	13	0.229	3.147
j1010_8	7	18.000	18.000	0.000	75	2.349	176.330
j1010_9	7	15.000	15.000	0.000	65	0.675	44.046
j1010_10	7	20.000	20.000	0.000	78	2.163	168.890
j1011_1	7	31.000	31.000	0.000	222	0.478	106.316
j1011_2	7	16.000	16.000	0.000	18	0.198	3.722
j1011_3	7	19.000	19.000	0.000	18	0.142	2.706
j1011_4	7	38.000	38.000	0.000	232	1.718	398.814
j1011_5	7	24.000	24.000	0.000	78	0.231	18.118
j1011_6	7	23.000	23.000	0.000	56	0.297	16.730
j1011_7	7	17.000	17.000	0.000	36	0.513	18.557
j1011_8	7	23.000	23.000	0.000	59	0.405	23.988
j1011_9	7	24.000	24.000	0.000	95	0.225	21.491
j1011_10	7	33.000	33.000	0.000	138	0.289	40.020
j1012_1	7	25.000	25.000	0.000	49	0.198	9.864
j1012_2	7	24.000	24.000	0.000	12	0.251	3.171
j1012_3	7	25.000	25.000	0.000	104	0.933	97.151
j1012_4	7	27.000	27.000	0.000	57	0.213	12.300
j1012_5	7	21.000	21.000	0.000	32	1.118	35.921
j1012_6	7	35.000	35.000	0.000	562	8.461	4755.216
j1012_7	7	19.000	19.000	0.000	61	0.398	24.497
j1012_8	7	30.000	30.000	0.000	69	0.142	9.879
j1012_9	7	33.000	33.000	0.000	120	0.438	52.678
j1012_10	7	14.000	14.000	0.000	3	0.081	0.347
j1013_1	7	25.000	25.000	0.000	69	0.235	16.295
j1013_2	7	28.000	28.000	0.000	28	0.912	25.660
j1013_3	7	27.000	27.000	0.000	63	0.247	15.697
j1013_4	7	31.000	31.000	0.000	84	0.176	15.007
