instance	Gamma	objval	objbound	gap	runtime
j1027_4	3	22.000	22.000	0.000	0.194
j1027_5	3	25.000	25.000	0.000	0.140
j1027_6	3	22.000	22.000	0.000	0.091
j1027_7	3	15.000	15.000	0.000	0.101
j1027_8	3	19.000	19.000	0.000	0.131
j1027_9	3	23.000	23.000	0.000	0.105
j1027_10	3	22.000	22.000	0.000	0.159
j1028_1	3	30.000	30.000	0.000	0.134
j1028_2	3	37.000	37.000	0.000	0.209
j1028_3	3	31.000	31.000	0.000	0.155
j1028_4	3	25.000	25.000	0.000	0.108
j1028_5	3	27.000	27.000	0.000	0.098
j1028_6	3	13.000	13.000	0.000	0.066
j1028_7	3	24.000	24.000	0.000	0.106
j1028_8	3	24.000	24.000	0.000	0.111
j1028_9	3	18.000	18.000	0.000	0.107
j1028_10	3	28.000	28.000	0.000	0.151
j1029_1	3	23.000	23.000	0.000	0.071
j1029_2	3	20.000	20.000	0.000	0.094
j1029_3	3	24.000	24.000	0.000	0.131
j1029_4	3	26.000	26.000	0.000	0.099
j1029_5	3	27.000	27.000	0.000	0.157
j1029_6	3	26.000	26.000	0.000	0.102
j1029_7	3	23.000	23.000	0.000	0.091
j1029_8	3	15.000	15.000	0.000	0.062
j1029_9	3	22.000	22.000	0.000	0.104
j1029_10	3	25.000	25.000	0.000	0.128
j1030_1	3	23.000	23.000	0.000	0.102
j1030_2	3	16.000	16.000	0.000	0.106
j1030_3	3	27.000	27.000	0.000	0.118
j1030_4	3	18.000	18.000	0.000	0.151
j1030_5	3	36.000	36.000	0.000	0.143
j1030_6	3	33.000	33.000	0.000	0.137
j1030_7	3	20.000	20.000	0.000	0.100
j1030_8	3	20.000	20.000	0.000	0.071
j1030_9	3	21.000	21.000	0.000	0.142
j1030_10	3	27.000	27.000	0.000	0.097
j1031_1	3	26.000	26.000	0.000	0.142
j1031_2	3	23.000	23.000	0.000	0.128
j1031_3	3	24.000	24.000	0.000	0.137
j1031_4	3	27.000	27.000	0.000	0.146
j1031_5	3	21.000	21.000	0.000	0.063
j1031_6	3	32.000	32.000	0.000	0.114
j1031_7	3	21.000	21.000	0.000	0.065
j1031_8	3	25.000	25.000	0.000	0.142
j1031_9	3	22.000	22.000	0.000	0.098
j1031_10	3	18.000	18.000	0.000	0.104
j1032_1	3	26.000	26.000	0.000	0.088
j1032_2	3	18.000	18.000	0.000	0.183
j1032_3	3	30.000	30.000	0.000	0.139
j1032_4	3	19.000	19.000	0.000	0.105
j1032_5	3	17.000	17.000	0.000	0.129
j1032_6	3	27.000	27.000	0.000	0.104
j1032_7	3	26.000	26.000	0.000	0.104
j1032_8	3	19.000	19.000	0.000	0.259
j1032_9	3	23.000	23.000	0.000	0.086
j1032_10	3	20.000	20.000	0.000	0.105
j1034_1	3	32.000	32.000	0.000	4.687
j1034_2	3	18.000	18.000	0.000	3.884
j1034_3	3	32.000	32.000	0.000	32.296
j1034_4	3	27.000	27.000	0.000	76.664
j1034_5	3	30.000	30.000	0.000	10.173
j1034_6	3	42.000	42.000	0.000	39.359
j1034_7	3	36.000	36.000	0.000	33.646
j1034_8	3	25.000	25.000	0.000	10.857
j1034_9	3	35.000	35.000	0.000	7.895
j1034_10	3	18.000	18.000	0.000	6.404
j1035_1	3	40.000	40.000	0.000	26.842
j1035_2	3	46.000	46.000	0.000	33.925
j1035_3	3	49.000	49.000	0.000	86.078
j1035_4	3	33.000	33.000	0.000	14.688
j1035_5	3	31.000	31.000	0.000	10.788
j1035_6	3	27.000	27.000	0.000	5.378
j1035_7	3	31.000	31.000	0.000	13.300
j1035_8	3	40.000	40.000	0.000	12.183
j1035_9	3	25.000	25.000	0.000	3.090
j1035_10	3	28.000	28.000	0.000	3.943
j1036_1	3	46.000	46.000	0.000	2.821
j1036_2	3	32.000	32.000	0.000	13.838
j1036_3	3	23.000	23.000	0.000	4.738
j1036_4	3	34.000	34.000	0.000	3.322
j1036_5	3	31.000	31.000	0.000	1047.665
j1036_6	3	32.000	32.000	0.000	9.494
j1036_7	3	37.000	37.000	0.000	9.767
j1036_8	3	33.000	33.000	0.000	11.434
j1036_10	3	47.000	47.000	0.000	31.668
j1037_1	3	35.000	35.000	0.000	12.784
j1037_2	3	16.000	16.000	0.000	4.687
j1037_3	3	27.000	27.000	0.000	6.638
j1037_4	3	36.000	36.000	0.000	59.513
j1037_5	3	45.000	45.000	0.000	30.127
j1037_6	3	34.000	34.000	0.000	50.337
j1037_7	3	29.000	29.000	0.000	15.722
j1037_8	3	38.000	38.000	0.000	19.017
j1037_9	3	26.000	26.000	0.000	9.038
j1037_10	3	42.000	42.000	0.000	185.493
j1038_1	3	40.000	40.000	0.000	2.418
j1038_2	3	28.000	28.000	0.000	20.238
j1038_3	3	31.000	31.000	0.000	7.444
j1038_4	3	30.000	30.000	0.000	5.403
j1038_5	3	26.000	26.000	0.000	2.372
j1038_6	3	27.000	27.000	0.000	16.242
j1038_7	3	32.000	32.000	0.000	2.286
j1038_8	3	36.000	36.000	0.000	5.726
j1038_9	3	36.000	36.000	0.000	9.361
j1038_10	3	22.000	22.000	0.000	3.907
j1039_1	3	23.000	23.000	0.000	39.133
j1039_2	3	26.000	26.000	0.000	18.448
j1039_3	3	38.000	38.000	0.000	6.884
j1039_4	3	22.000	22.000	0.000	25.294
j1039_5	3	42.000	42.000	0.000	21.998
j1039_6	3	32.000	32.000	0.000	107.766
j1039_7	3	21.000	21.000	0.000	1.388
j1039_8	3	33.000	33.000	0.000	19.601
j1039_9	3	38.000	38.000	0.000	11.097
j1039_10	3	47.000	47.000	0.000	10.174
j1040_1	3	25.000	25.000	0.000	143.802
j1040_2	3	45.000	45.000	0.000	33.129
j1040_3	3	35.000	35.000	0.000	42.727
j1040_5	3	31.000	31.000	0.000	12.993
j1040_6	3	27.000	27.000	0.000	4.081
j1040_7	3	36.000	36.000	0.000	7.771
j1040_8	3	41.000	41.000	0.000	26.317
j1040_9	3	26.000	26.000	0.000	14.203
j1040_10	3	23.000	23.000	0.000	24.533
j1042_1	3	26.000	26.000	0.000	1.612
j1042_2	3	21.000	21.000	0.000	0.670
j1042_3	3	37.000	37.000	0.000	1.165
j1042_4	3	19.000	19.000	0.000	0.946
j1042_5	3	31.000	31.000	0.000	0.270
j1042_6	3	17.000	17.000	0.000	0.496
j1042_7	3	38.000	38.000	0.000	1.359
j1042_8	3	28.000	28.000	0.000	0.953
j1042_9	3	18.000	18.000	0.000	0.309
j1042_10	3	15.000	15.000	0.000	2.151
j1043_1	3	28.000	28.000	0.000	1.738
j1043_2	3	23.000	23.000	0.000	0.187
j1043_3	3	24.000	24.000	0.000	0.893
j1043_4	3	22.000	22.000	0.000	0.519
j1043_5	3	28.000	28.000	0.000	3.224
j1043_6	3	22.000	22.000	0.000	0.513
j1043_7	3	17.000	17.000	0.000	0.998
j1043_8	3	31.000	31.000	0.000	0.288
j1043_9	3	18.000	18.000	0.000	0.168
j1043_10	3	26.000	26.000	0.000	6.288
j1044_1	3	27.000	27.000	0.000	0.308
j1044_2	3	24.000	24.000	0.000	0.882
j1044_3	3	30.000	30.000	0.000	0.725
j1044_4	3	35.000	35.000	0.000	1.015
j1044_5	3	35.000	35.000	0.000	6.536
j1044_7	3	22.000	22.000	0.000	0.648
j1044_8	3	24.000	24.000	0.000	0.800
j1044_9	3	26.000	26.000	0.000	0.541
j1044_10	3	19.000	19.000	0.000	0.185
j1045_1	3	31.000	31.000	0.000	0.695
j1045_2	3	20.000	20.000	0.000	0.502
j1045_3	3	20.000	20.000	0.000	0.127
j1045_4	3	16.000	16.000	0.000	0.204
j1045_5	3	19.000	19.000	0.000	0.722
j1045_6	3	19.000	19.000	0.000	0.371
j1045_7	3	33.000	33.000	0.000	1.194
j1045_8	3	26.000	26.000	0.000	0.819
j1045_9	3	24.000	24.000	0.000	0.209
j1045_10	3	30.000	30.000	0.000	1.428
j1046_1	3	32.000	32.000	0.000	3.458
j1046_2	3	17.000	17.000	0.000	1.078
j1046_3	3	20.000	20.000	0.000	0.775
j1046_4	3	25.000	25.000	0.000	1.058
j1046_5	3	18.000	18.000	0.000	0.524
j1046_6	3	28.000	28.000	0.000	0.954
j1046_7	3	28.000	28.000	0.000	2.528
j1046_8	3	24.000	24.000	0.000	0.896
j1046_9	3	23.000	23.000	0.000	0.345
