instance	Gamma	objval	objbound	gap	runtime
j102_2	7	29.000	29.000	0.000	1.030
j102_4	7	28.000	28.000	0.000	1.941
j102_5	7	22.000	22.000	0.000	5.956
j102_6	7	26.000	26.000	0.000	6.510
j102_7	7	42.000	42.000	0.000	6.446
j102_9	7	27.000	27.000	0.000	7.683
j102_10	7	40.000	40.000	0.000	14.876
j103_2	7	20.000	20.000	0.000	1.880
j103_3	7	29.000	29.000	0.000	3.651
j103_4	7	36.000	36.000	0.000	6.105
j103_5	7	32.000	32.000	0.000	8.599
j103_6	7	46.000	46.000	0.000	13.240
j103_7	7	22.000	22.000	0.000	0.937
j103_8	7	37.000	37.000	0.000	6.949
j103_9	7	32.000	32.000	0.000	2.860
j103_10	7	25.000	25.000	0.000	0.910
j104_1	7	43.000	43.000	0.000	2.630
j104_2	7	32.000	32.000	0.000	3.972
j104_3	7	37.000	37.000	0.000	8.597
j104_4	7	22.000	22.000	0.000	4.638
j104_5	7	49.000	49.000	0.000	6.843
j104_6	7	34.000	34.000	0.000	1.171
j104_8	7	30.000	30.000	0.000	8.202
j104_9	7	33.000	33.000	0.000	2.959
j104_10	7	24.000	24.000	0.000	1.286
j105_1	7	53.000	53.000	0.000	7.636
j105_3	7	20.000	20.000	0.000	0.450
j105_4	7	22.000	22.000	0.000	2.232
j105_6	7	27.000	27.000	0.000	0.786
j105_8	7	33.000	33.000	0.000	10.346
j105_10	7	25.000	25.000	0.000	2.000
j106_1	7	27.000	27.000	0.000	1.536
j106_3	7	36.000	36.000	0.000	0.920
j106_4	7	29.000	29.000	0.000	3.586
j106_5	7	57.000	57.000	0.000	9.123
j106_7	7	32.000	32.000	0.000	7.165
j106_8	7	29.000	29.000	0.000	3.315
j107_1	7	20.000	20.000	0.000	2.215
j107_2	7	35.000	35.000	0.000	5.588
j107_3	7	34.000	34.000	0.000	6.553
j107_4	7	24.000	24.000	0.000	1.198
j107_5	7	39.000	39.000	0.000	3.387
j107_6	7	59.000	59.000	0.000	14.297
j107_8	7	50.000	50.000	0.000	16.994
j107_9	7	46.000	46.000	0.000	11.386
j108_3	7	27.000	27.000	0.000	1.434
j108_5	7	40.000	40.000	0.000	2.432
j108_6	7	36.000	36.000	0.000	5.875
j108_7	7	32.000	32.000	0.000	4.182
j108_8	7	21.000	21.000	0.000	1.536
j108_10	7	36.000	36.000	0.000	4.480
j1010_1	7	26.000	26.000	0.000	0.372
j1010_2	7	35.000	35.000	0.000	0.378
j1010_3	7	32.000	32.000	0.000	0.552
j1010_4	7	24.000	24.000	0.000	0.344
j1010_5	7	34.000	34.000	0.000	0.609
j1010_6	7	20.000	20.000	0.000	2.258
j1010_7	7	20.000	20.000	0.000	0.328
j1010_8	7	18.000	18.000	0.000	0.695
j1010_9	7	15.000	15.000	0.000	0.543
j1010_10	7	20.000	20.000	0.000	0.598
j1011_1	7	31.000	31.000	0.000	0.455
j1011_2	7	16.000	16.000	0.000	0.156
j1011_3	7	19.000	19.000	0.000	0.344
j1011_4	7	38.000	38.000	0.000	0.470
j1011_5	7	24.000	24.000	0.000	0.459
j1011_6	7	23.000	23.000	0.000	0.424
j1011_7	7	17.000	17.000	0.000	0.640
j1011_8	7	23.000	23.000	0.000	0.439
j1011_9	7	24.000	24.000	0.000	0.243
j1011_10	7	33.000	33.000	0.000	0.392
j1012_1	7	25.000	25.000	0.000	0.351
j1012_2	7	24.000	24.000	0.000	0.490
j1012_3	7	25.000	25.000	0.000	0.926
j1012_4	7	27.000	27.000	0.000	0.353
j1012_5	7	21.000	21.000	0.000	0.390
j1012_6	7	35.000	35.000	0.000	0.750
j1012_7	7	19.000	19.000	0.000	0.351
j1012_8	7	30.000	30.000	0.000	0.285
j1012_9	7	33.000	33.000	0.000	0.303
j1012_10	7	14.000	14.000	0.000	0.393
j1013_1	7	25.000	25.000	0.000	0.131
j1013_2	7	28.000	28.000	0.000	0.525
j1013_3	7	27.000	27.000	0.000	0.488
j1013_4	7	31.000	31.000	0.000	0.366
j1013_5	7	16.000	16.000	0.000	0.856
j1013_6	7	28.000	28.000	0.000	0.374
j1013_7	7	19.000	19.000	0.000	0.429
j1013_8	7	15.000	15.000	0.000	0.239
j1013_9	7	23.000	23.000	0.000	0.365
j1013_10	7	20.000	20.000	0.000	0.324
j1014_1	7	21.000	21.000	0.000	0.294
j1014_2	7	22.000	22.000	0.000	0.382
j1014_3	7	30.000	30.000	0.000	0.634
j1014_4	7	27.000	27.000	0.000	0.285
j1014_5	7	30.000	30.000	0.000	0.341
j1014_6	7	23.000	23.000	0.000	1.208
j1014_7	7	24.000	24.000	0.000	0.671
j1014_8	7	30.000	30.000	0.000	0.807
j1014_9	7	32.000	32.000	0.000	0.626
j1014_10	7	14.000	14.000	0.000	0.410
j1015_1	7	20.000	20.000	0.000	0.775
j1015_2	7	39.000	39.000	0.000	0.506
j1015_3	7	23.000	23.000	0.000	0.310
j1015_4	7	16.000	16.000	0.000	0.467
j1015_5	7	10.000	10.000	0.000	0.353
j1015_6	7	30.000	30.000	0.000	1.079
j1015_7	7	13.000	13.000	0.000	0.329
j1015_8	7	16.000	16.000	0.000	0.378
j1015_9	7	21.000	21.000	0.000	1.369
j1015_10	7	27.000	27.000	0.000	0.531
j1016_1	7	21.000	21.000	0.000	0.352
j1016_2	7	27.000	27.000	0.000	0.222
j1016_3	7	18.000	18.000	0.000	0.790
j1016_4	7	33.000	33.000	0.000	0.398
j1016_5	7	40.000	40.000	0.000	0.392
j1016_6	7	33.000	33.000	0.000	1.585
j1016_7	7	19.000	19.000	0.000	0.317
j1016_8	7	13.000	13.000	0.000	0.591
j1016_9	7	25.000	25.000	0.000	0.529
j1016_10	7	42.000	42.000	0.000	0.420
j1018_1	7	21.000	21.000	0.000	0.565
j1018_2	7	24.000	24.000	0.000	0.882
j1018_3	7	25.000	25.000	0.000	0.443
j1018_4	7	28.000	28.000	0.000	0.432
j1018_5	7	20.000	20.000	0.000	0.415
j1018_6	7	24.000	24.000	0.000	0.280
j1018_7	7	19.000	19.000	0.000	0.242
j1018_8	7	25.000	25.000	0.000	0.200
j1018_9	7	21.000	21.000	0.000	0.370
j1018_10	7	23.000	23.000	0.000	0.350
j1019_1	7	21.000	21.000	0.000	0.346
j1019_2	7	24.000	24.000	0.000	0.202
j1019_3	7	26.000	26.000	0.000	0.431
j1019_4	7	24.000	24.000	0.000	0.781
j1019_5	7	20.000	20.000	0.000	0.282
j1019_6	7	26.000	26.000	0.000	0.148
j1019_7	7	22.000	22.000	0.000	0.225
j1019_8	7	22.000	22.000	0.000	0.278
j1019_9	7	18.000	18.000	0.000	0.446
j1019_10	7	16.000	16.000	0.000	0.269
j1020_1	7	18.000	18.000	0.000	0.263
j1020_2	7	28.000	28.000	0.000	0.605
j1020_3	7	34.000	34.000	0.000	0.375
j1020_4	7	27.000	27.000	0.000	0.333
j1020_5	7	19.000	19.000	0.000	0.457
